Sample,SAMPLE TYPE ,TEXTURAL GROUP ,SEDIMENT NAME ,MoM_ari_MEAN,MoM_ari_SORTING,MoM_ari_SKEWNESS,MoM_ari_KURTOSIS,MoM_geo_MEAN,MoM_geo_SORTING,MoM_geo_SKEWNESS,MoM_geo_KURTOSIS,MoM_log_MEAN,MoM_log_SORTING,MoM_log_SKEWNESS,MoM_log_KURTOSIS,FW_geo_MEAN,FW_geo_SORTING,FW_geo_SKEWNESS,FW_geo_KURTOSIS,FW_log_MEAN,FW_log_SORTING,FW_log_SKEWNESS,FW_log_KURTOSIS,FW_des_MEAN,FW_des_SORTING,FW_des_SKEWNESS,FW_des_KURTOSIS,MODE 1 (µm),MODE 2 (µm),MODE 3 (µm),MODE 1 (f),MODE 2 (f),MODE 3 (f),D10 (µm),D50 (µm),D90 (µm),(D90 div D10) (µm),(D90 - D10) (µm),(D75 div D25) (µm),(D75 - D25) (µm),D10 (f),D50 (f),D90 (f),(D90 div D10) (f),(D90 - D10) (f),(D75 div D25) (f),(D75 - D25) (f),perc GRAVEL,perc SAND,perc MUD,perc V COARSE GRAVEL,perc COARSE GRAVEL,perc MEDIUM GRAVEL,perc FINE GRAVEL,perc V FINE GRAVEL,perc V COARSE SAND,perc COARSE SAND,perc MEDIUM SAND,perc FINE SAND,perc V FINE SAND,perc V COARSE SILT,perc COARSE SILT,perc MEDIUM SILT,perc FINE SILT,perc V FINE SILT,perc CLAY
Schlei_S18,"Bimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,30.21,30.54,1.443,5.001,16.18,3.518,-0.453,2.502,5.949,1.815,0.453,2.502,16.76,3.526,-0.164,0.804,5.898,1.818,0.164,0.804,Coarse Silt,Poorly Sorted,Fine Skewed,Platykurtic,48.42,7.76,,4.371,7.012,,2.892,19.03,73.97,25.57,71.08,7.25,39.4,3.757,5.715,8.433,2.245,4.677,1.642,2.858,0,14.9,85.1,0,0,0,0,0,0,0,0,1.3,13.6,22.1,17.7,15.6,14.8,9.8,5.3
Schlei_S18_15cm,"Unimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,32.59,45.52,7.674,108.9,17.83,3.206,-0.279,2.71,5.81,1.681,0.279,2.71,18.15,3.2,-0.11,0.856,5.784,1.678,0.11,0.856,Coarse Silt,Poorly Sorted,Fine Skewed,Platykurtic,42.86,,,4.547,,,3.691,19.51,74,20.05,70.31,5.764,36.62,3.756,5.679,8.082,2.151,4.325,1.562,2.527,0,14.4,85.6,0,0,0,0,0,0,0.2,0.3,1.6,12.3,21.8,19.9,18.5,14.5,7.8,3.1
Schlei_S19,"Unimodal, Moderately Well Sorted",Sand,Moderately Well Sorted Fine Sand,212.1,125.1,3.994,37.99,182.3,1.844,-2.134,15.88,2.446,0.855,1.719,12.56,188.2,1.613,0.003,0.97,2.41,0.69,-0.003,0.97,Fine Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,185.4,,,2.434,,,101.7,187.8,349.2,3.434,247.5,1.934,126.4,1.518,2.413,3.298,2.173,1.78,1.492,0.951,0,98.3,1.7,0,0,0,0,0,0.5,1.4,26.1,52,18.4,0.2,0.4,0.6,0.4,0.1,0
Schlei_S1_15cm,"Bimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Medium Silt,30.56,54.24,7.51,87.97,13.89,3.659,-0.107,2.746,6.17,1.871,0.107,2.746,14.26,3.62,0.013,0.851,6.132,1.856,-0.013,0.851,Medium Silt,Poorly Sorted,Symmetrical,Platykurtic,9.906,54.71,,6.66,4.195,,2.684,13.67,73.59,27.42,70.91,6.915,32.77,3.764,6.193,8.542,2.269,4.777,1.593,2.79,0,13.7,86.3,0,0,0,0,0,0,0.3,0.4,1.7,11.1,15.9,16.8,19.4,17.5,10.9,5.9
Schlei_S2,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Medium Sand,278.6,192.6,1.213,6.916,180.2,3.511,-1.834,6.075,2.467,1.804,1.825,6.038,215.4,2.944,-0.458,1.976,2.215,1.558,0.458,1.976,Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,302.1,,,1.729,,,28.73,256.6,520,18.1,491.3,2.492,227.8,0.943,1.963,5.121,5.428,4.178,1.945,1.317,0,86,14,0,0,0,0,0,0.5,11.1,40.1,28.1,6.3,3.6,2.5,2.8,2.8,1.8,0.4
Schlei_S20,"Unimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,101.5,70.8,0.31,2.476,45.08,8.42,-2.224,7.484,4.471,3.074,2.224,7.484,53.26,6.723,-0.709,2.746,4.231,2.749,0.709,2.746,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,128.6,,,2.962,,,3.056,99.93,196.4,64.26,193.3,3.128,101.2,2.348,3.323,8.354,3.558,6.006,1.598,1.645,0,69.9,30.1,0,0,0,0,0,0,0,2.4,33.7,33.8,8,3.1,3.6,4,3.4,8
Schlei_S21,"Trimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,38.33,71.62,5.075,34.74,14.23,4.548,-0.275,2.798,6.135,2.185,0.275,2.798,14.68,4.455,-0.11,0.902,6.09,2.155,0.11,0.902,Medium Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,54.71,6.868,0.529,4.195,7.188,10.89,2.081,15.32,83.3,40.03,81.22,9.228,41.51,3.586,6.028,8.908,2.485,5.323,1.725,3.206,0,17,83,0,0,0,0,0,0,0.6,1.7,1.8,12.8,18.1,14.6,15.3,15.4,10.4,9.3
Schlei_S22,"Unimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,44.02,31.51,0.929,3.699,31.35,2.555,-0.873,3.314,4.996,1.353,0.873,3.314,32.4,2.541,-0.316,1.051,4.948,1.345,0.316,1.051,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Mesokurtic,54.71,,,4.195,,,7.754,38.48,87.83,11.33,80.08,3.338,43.66,3.509,4.7,7.011,1.998,3.502,1.434,1.739,0,24.9,75.1,0,0,0,0,0,0,0,0,1.9,22.9,34.3,19.7,11.1,6.5,3,0.6
Schlei_S23,"Bimodal, Poorly Sorted",Mud,Medium Silt,25.2,53.87,7.2,65.55,10.91,3.659,-0.096,3.066,6.518,1.872,0.096,3.066,11.12,3.573,-0.056,0.937,6.491,1.837,0.056,0.937,Medium Silt,Poorly Sorted,Symmetrical,Mesokurtic,7.76,0.598,,7.012,10.71,,2.138,11.24,52.96,24.77,50.82,6.164,23.57,4.239,6.476,8.869,2.092,4.63,1.509,2.624,0,7.1,92.9,0,0,0,0,0,0,0.3,1,0.2,5.5,15.1,18.7,19.3,18.5,12.4,8.8
Schlei_S24,"Bimodal, Very Poorly Sorted",Sandy Mud,Fine Sandy Fine Silt,143,207.4,2.776,14.46,42.61,5.964,-0.12,1.769,4.536,2.573,0.115,1.763,43.64,6.135,-0.107,0.688,4.518,2.617,0.107,0.688,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,236.7,6.868,,2.082,7.188,,3.826,50.26,401.2,104.9,397.4,23.97,200.2,1.318,4.314,8.03,6.094,6.712,3.029,4.583,0,47.7,52.3,0,0,0,0,0,1.1,5.1,14.5,16,11,7.3,9.8,12.3,12.6,8.1,2.2
Schlei_S25,"Unimodal, Poorly Sorted",Mud,Coarse Silt,28.54,44.09,12.55,259.4,17.23,2.764,-0.134,2.912,5.859,1.467,0.134,2.912,17.28,2.792,-0.089,0.976,5.855,1.481,0.089,0.976,Coarse Silt,Poorly Sorted,Symmetrical,Mesokurtic,23.28,,,5.428,,,4.286,18.3,61.36,14.32,57.08,4.08,26.62,4.026,5.772,7.866,1.954,3.84,1.42,2.028,0,9.6,90.4,0,0,0,0,0,0,0.1,0.1,1.3,8.1,19.6,26.7,21.7,13.8,7,1.6
Schlei_S26,"Bimodal, Very Poorly Sorted",Muddy Sand,Fine Silty Medium Sand,289.8,299.8,1.701,6.788,115.6,6.016,-0.947,2.788,3.057,2.548,0.94,2.772,111.7,6.14,-0.521,1.007,3.162,2.618,0.521,1.007,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,341.3,6.079,,1.553,7.365,,5.851,224.4,677.9,115.9,672.1,9.693,382.1,0.561,2.156,7.417,13.22,6.856,3.662,3.277,0,72.6,27.4,0,0,0,0,0,3.9,15.1,27.1,18.7,7.7,4.6,4.5,5.6,6.6,4.6,1.6
Schlei_S27,"Unimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,38.25,69.65,6.644,59.82,16.45,4.268,-0.612,3.312,5.926,2.094,0.612,3.312,17.22,4.04,-0.303,0.936,5.86,2.014,0.303,0.936,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,42.86,,,4.547,,,2.346,22.14,76.92,32.79,74.58,7.424,40.99,3.7,5.497,8.736,2.361,5.035,1.657,2.892,0,15.7,84.3,0,0,0,0,0,0,0.7,1,1.2,12.8,24,18.5,13.2,11.9,8.5,8.2
Schlei_S29,"Unimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,47.07,87.96,5.955,50.24,16.22,5.678,-0.882,4.224,5.946,2.505,0.882,4.224,17.89,5.102,-0.244,0.972,5.805,2.351,0.244,0.972,Coarse Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,61.81,,,4.019,,,1.932,21.42,103.1,53.36,101.2,10.14,53.01,3.278,5.545,9.015,2.751,5.738,1.818,3.342,0,23.2,76.8,0,0,0,0,0,0.1,1,0.9,4.5,16.8,18.6,14.5,13.2,12.1,8.3,10.1
Schlei_S2_15cm,"Unimodal, Poorly Sorted",Muddy Sand,Medium Silty Medium Sand,289.2,206.3,1.718,10.11,185.6,3.572,-1.843,6.013,2.41,1.809,1.814,5.877,235.3,2.797,-0.426,2.125,2.087,1.484,0.426,2.125,Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,302.1,,,1.729,,,23.85,265.3,527.7,22.13,503.8,2.337,221.5,0.922,1.914,5.39,5.844,4.468,1.895,1.225,0,86.4,13.6,0,0,0,0,0,1.2,11,41.8,28.2,4.3,2.6,2.6,3.4,3.1,1.6,0.2
Schlei_S3,"Bimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Medium Silt,38.25,72.33,4.15,24.19,14.16,4.028,0.207,2.739,6.142,2.01,-0.207,2.739,14.06,4.005,0.128,0.921,6.152,2.002,-0.128,0.921,Medium Silt,Very Poorly Sorted,Coarse Skewed,Mesokurtic,7.76,267.4,,7.012,1.906,,2.648,12.54,89.84,33.93,87.19,7.351,32.97,3.477,6.317,8.561,2.463,5.085,1.611,2.878,0,15.7,84.3,0,0,0,0,0,0,0.4,2.6,3.6,9.1,13.3,15.4,19,18.9,12,5.8
Schlei_S30,"Polymodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Fine Silt,136.9,255.5,3.438,16.62,34.01,6.219,0.006,2.02,4.818,2.634,-0.019,2.011,35.9,6.339,-0.103,0.794,4.8,2.664,0.103,0.794,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,100.7,5.381,435.7,3.314,7.541,1.201,3.306,44.27,413.8,125.2,410.5,19.37,128.3,1.273,4.498,8.241,6.473,6.968,2.481,4.276,0,45,55,0,0,0,0,0,2.9,5.1,7,12,17.9,8.6,8.3,10.9,14.4,8.8,4
Schlei_S31,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Fine Sand,185.1,192,3.588,22.35,103.2,4.036,-1.56,5.703,3.255,1.995,1.545,5.725,114.8,3.406,-0.456,1.626,3.122,1.768,0.456,1.626,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,185.4,,,2.434,,,13.44,151.8,349.1,25.97,335.6,3.157,162.9,1.518,2.72,6.217,4.095,4.699,1.802,1.658,0,77.9,22.1,0,0,0,0,0,1.5,2.5,18.5,37,18.4,6.8,4.5,3.4,3.2,2.2,1.9
Schlei_S32,"Bimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,62.82,72.55,4.341,32.61,34.08,3.728,-0.949,3.595,4.875,1.899,0.949,3.595,34.12,3.577,-0.435,1.07,4.873,1.839,0.435,1.07,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Mesokurtic,69.83,8.768,,3.843,6.836,,4.506,49.45,124.3,27.58,119.8,4.89,66.3,3.008,4.338,7.794,2.591,4.786,1.639,2.29,0,39,61,0,0,0,0,0,0,0.7,1.1,8.1,29.2,26.4,10.6,8,7.4,5.1,3.5
Schlei_S4,"Unimodal, Poorly Sorted",Muddy Sand,Fine Silty Fine Sand,299,280.7,2.283,9.315,184,3.443,-1.683,6.78,2.391,1.707,1.55,6.319,222.8,2.869,-0.178,1.877,2.166,1.52,0.178,1.877,Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic,209.5,,,2.258,,,57.42,223.3,633.7,11.04,576.3,2.635,225.8,0.658,2.163,4.122,6.264,3.464,1.958,1.398,0,89.7,10.3,0,0,0,0,0,4.4,10.4,28.7,35.2,11,2.2,2.2,2,2.2,1.4,0.3
Schlei_S4_15cm,"Unimodal, Poorly Sorted",Muddy Sand,Medium Silty Fine Sand,210.5,194.7,2.504,13.96,119.3,3.857,-1.258,4.025,3.056,1.937,1.242,3.975,119.9,3.714,-0.476,1.634,3.06,1.893,0.476,1.634,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,209.5,,,2.258,,,12.07,175,420.2,34.82,408.2,3.125,189.7,1.251,2.514,6.373,5.095,5.122,1.893,1.644,0,79.3,20.7,0,0,0,0,0,1.1,5.3,24.1,35.2,13.6,4.1,4.8,4.9,4.2,2.3,0.4
Schlei_S5,"Unimodal, Moderately Sorted",Sand,Moderately Sorted Medium Sand,327,208.6,1.94,10.63,254.5,2.406,-2.393,12.41,1.947,1.2,2.066,10.26,282.5,1.92,-0.18,1.287,1.824,0.941,0.18,1.287,Medium Sand,Moderately Sorted,Fine Skewed,Leptokurtic,302.1,,,1.729,,,121.4,291.3,572.8,4.718,451.4,2.148,224.2,0.804,1.779,3.042,3.784,2.238,1.88,1.103,0,95,5,0,0,0,0,0,1.5,14,45,28.8,5.6,2,1,0.9,0.8,0.4,0
Schlei_S6,"Bimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,54.8,123.2,6.374,55.17,18.25,4.879,-0.347,3.189,5.773,2.288,0.343,3.194,18.64,4.355,-0.188,0.835,5.745,2.123,0.188,0.835,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,54.71,6.868,,4.195,7.188,,2.472,22.74,100.6,40.7,98.16,9.849,52.27,3.313,5.459,8.66,2.614,5.347,1.804,3.3,0,22.7,77.3,0,0,0,0,0,0.4,1.4,1.8,3.1,15.9,20.8,13,12.9,13.5,9.9,7.3
Schlei_S7,"Bimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,43.54,53.68,2.895,17.64,18.45,4.691,-0.58,2.662,5.76,2.23,0.58,2.662,19.64,4.66,-0.269,0.862,5.67,2.22,0.269,0.862,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,61.81,7.76,,4.019,7.012,,2.237,25.01,105.7,47.24,103.4,10.48,57.81,3.242,5.321,8.804,2.715,5.562,1.854,3.389,0,25.7,74.3,0,0,0,0,0,0,0.1,0.9,5.7,19.2,19.8,12.6,12.3,12.3,8.6,8.7
Schlei_S8,"Unimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,41.83,64.94,3.865,23.07,18.16,3.9,-0.136,2.599,5.783,1.964,0.136,2.599,18.19,3.905,-0.06,0.892,5.781,1.965,0.06,0.892,Coarse Silt,Poorly Sorted,Symmetrical,Platykurtic,37.93,,,4.723,,,2.982,19.32,98.47,33.02,95.49,7.384,43.15,3.344,5.694,8.39,2.509,5.045,1.667,2.884,0,19.3,80.7,0,0,0,0,0,0,0.2,2,4.6,12.5,18.3,17.7,16.5,14,9.1,5.1
