Sample;SAMPLE TYPE ;TEXTURAL GROUP ;SEDIMENT NAME ;MoM_ari_MEAN;MoM_ari_SORTING;MoM_ari_SKEWNESS;MoM_ari_KURTOSIS;MoM_geo_MEAN;MoM_geo_SORTING;MoM_geo_SKEWNESS;MoM_geo_KURTOSIS;MoM_log_MEAN;MoM_log_SORTING;MoM_log_SKEWNESS;MoM_log_KURTOSIS;FW_geo_MEAN;FW_geo_SORTING;FW_geo_SKEWNESS;FW_geo_KURTOSIS;FW_log_MEAN;FW_log_SORTING;FW_log_SKEWNESS;FW_log_KURTOSIS;FW_des_MEAN;FW_des_SORTING;FW_des_SKEWNESS;FW_des_KURTOSIS;MODE 1 (mm);MODE 2 (mm);MODE 3 (mm);MODE 1 (f);MODE 2 (f);MODE 3 (f);D10 (mm);D50 (mm);D90 (mm);(D90 / D10) (mm);(D90 - D10) (mm);(D75 / D25) (mm);(D75 - D25) (mm);D10 (f);D50 (f);D90 (f);(D90 / D10) (f);(D90 - D10) (f);(D75 / D25) (f);(D75 - D25) (f);% GRAVEL;% SAND;% MUD;% V COARSE GRAVEL;% COARSE GRAVEL;% MEDIUM GRAVEL;% FINE GRAVEL;% V FINE GRAVEL;% V COARSE SAND;% COARSE SAND;% MEDIUM SAND;% FINE SAND;% V FINE SAND;% V COARSE SILT;% COARSE SILT;% MEDIUM SILT;% FINE SILT;% V FINE SILT;% CLAY
Schlei_S18;Bimodal, Poorly Sorted;Sandy Mud;Very Fine Sandy Very Coarse Silt;30,21;30,54;1,443;5,001;16,18;3,518;-0,453;2,502;5,949;1,815;0,453;2,502;16,76;3,526;-0,164;0,804;5,898;1,818;0,164;0,804;Coarse Silt;Poorly Sorted;Fine Skewed;Platykurtic;48,42;7,76;;4,371;7,012;;2,892;19,03;73,97;25,57;71,08;7,25;39,4;3,757;5,715;8,433;2,245;4,677;1,642;2,858;0,0%;14,9%;85,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,3%;13,6%;22,1%;17,7%;15,6%;14,8%;9,8%;5,3%
Schlei_S18_15cm;Unimodal, Poorly Sorted;Sandy Mud;Very Fine Sandy Very Coarse Silt;32,59;45,52;7,674;108,9;17,83;3,206;-0,279;2,71;5,81;1,681;0,279;2,71;18,15;3,2;-0,11;0,856;5,784;1,678;0,11;0,856;Coarse Silt;Poorly Sorted;Fine Skewed;Platykurtic;42,86;;;4,547;;;3,691;19,51;74;20,05;70,31;5,764;36,62;3,756;5,679;8,082;2,151;4,325;1,562;2,527;0,0%;14,4%;85,6%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,3%;1,6%;12,3%;21,8%;19,9%;18,5%;14,5%;7,8%;3,1%
Schlei_S19;Unimodal, Moderately Well Sorted;Sand;Moderately Well Sorted Fine Sand;213,9;135;4,928;49,88;183,6;1,813;-1,671;12,55;2,445;0,858;1,671;12,55;188,2;1,613;0,003;0,97;2,41;0,69;-0,003;0,97;Fine Sand;Moderately Well Sorted;Symmetrical;Mesokurtic;185,4;;;2,434;;;101,7;187,8;349,2;3,434;247,5;1,934;126,4;1,518;2,413;3,298;2,173;1,78;1,492;0,951;0,0%;98,3%;1,7%;0,0%;0,0%;0,0%;0,0%;0,0%;0,5%;1,4%;26,1%;52,0%;18,4%;0,2%;0,4%;0,6%;0,4%;0,1%;0,0%
Schlei_S1_15cm;Bimodal, Poorly Sorted;Sandy Mud;Very Fine Sandy Medium Silt;30,56;54,24;7,51;87,97;13,89;3,659;-0,107;2,746;6,17;1,871;0,107;2,746;14,26;3,62;0,013;0,851;6,132;1,856;-0,013;0,851;Medium Silt;Poorly Sorted;Symmetrical;Platykurtic;9,906;54,71;;6,66;4,195;;2,684;13,67;73,59;27,42;70,91;6,915;32,77;3,764;6,193;8,542;2,269;4,777;1,593;2,79;0,0%;13,7%;86,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,4%;1,7%;11,1%;15,9%;16,8%;19,4%;17,5%;10,9%;5,9%
Schlei_S2;Unimodal, Poorly Sorted;Muddy Sand;Very Coarse Silty Medium Sand;279,7;196,2;1,439;8,897;180,9;3,495;-1,822;6,034;2,467;1,805;1,822;6,034;215,4;2,944;-0,458;1,976;2,215;1,558;0,458;1,976;Fine Sand;Poorly Sorted;Very Fine Skewed;Very Leptokurtic;302,1;;;1,729;;;28,73;256,6;520;18,1;491,3;2,492;227,8;0,943;1,963;5,121;5,428;4,178;1,945;1,317;0,0%;86,0%;14,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,5%;11,1%;40,1%;28,1%;6,3%;3,6%;2,5%;2,8%;2,8%;1,8%;0,4%
Schlei_S20;Unimodal, Very Poorly Sorted;Muddy Sand;Very Coarse Silty Very Fine Sand;101,5;70,8;0,31;2,476;45,08;8,42;-2,224;7,484;4,471;3,074;2,224;7,484;53,26;6,723;-0,709;2,746;4,231;2,749;0,709;2,746;Very Coarse Silt;Very Poorly Sorted;Very Fine Skewed;Very Leptokurtic;128,6;;;2,962;;;3,056;99,93;196,4;64,26;193,3;3,128;101,2;2,348;3,323;8,354;3,558;6,006;1,598;1,645;0,0%;69,9%;30,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;2,4%;33,7%;33,8%;8,0%;3,1%;3,6%;4,0%;3,4%;8,0%
Schlei_S21;Trimodal, Very Poorly Sorted;Sandy Mud;Very Fine Sandy Very Coarse Silt;38,33;71,62;5,075;34,74;14,23;4,548;-0,275;2,798;6,135;2,185;0,275;2,798;14,68;4,455;-0,11;0,902;6,09;2,155;0,11;0,902;Medium Silt;Very Poorly Sorted;Fine Skewed;Mesokurtic;54,71;6,868;0,529;4,195;7,188;10,89;2,081;15,32;83,3;40,03;81,22;9,228;41,51;3,586;6,028;8,908;2,485;5,323;1,725;3,206;0,0%;17,0%;83,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;1,7%;1,8%;12,8%;18,1%;14,6%;15,3%;15,4%;10,4%;9,3%
Schlei_S22;Unimodal, Poorly Sorted;Sandy Mud;Very Fine Sandy Very Coarse Silt;44,02;31,51;0,929;3,699;31,35;2,555;-0,873;3,314;4,996;1,353;0,873;3,314;32,4;2,541;-0,316;1,051;4,948;1,345;0,316;1,051;Very Coarse Silt;Poorly Sorted;Very Fine Skewed;Mesokurtic;54,71;;;4,195;;;7,754;38,48;87,83;11,33;80,08;3,338;43,66;3,509;4,7;7,011;1,998;3,502;1,434;1,739;0,0%;24,9%;75,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,9%;22,9%;34,3%;19,7%;11,1%;6,5%;3,0%;0,6%
Schlei_S23;Bimodal, Poorly Sorted;Mud;Medium Silt;25,2;53,87;7,2;65,55;10,91;3,659;-0,096;3,066;6,518;1,872;0,096;3,066;11,12;3,573;-0,056;0,937;6,491;1,837;0,056;0,937;Medium Silt;Poorly Sorted;Symmetrical;Mesokurtic;7,76;0,598;;7,012;10,71;;2,138;11,24;52,96;24,77;50,82;6,164;23,57;4,239;6,476;8,869;2,092;4,63;1,509;2,624;0,0%;7,1%;92,9%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;1,0%;0,2%;5,5%;15,1%;18,7%;19,3%;18,5%;12,4%;8,8%
Schlei_S24;Bimodal, Very Poorly Sorted;Sandy Mud;Fine Sandy Fine Silt;146,2;219,1;3,147;18,06;43,15;5,964;-0,109;1,772;4,535;2,576;0,109;1,772;43,64;6,135;-0,107;0,688;4,518;2,617;0,107;0,688;Very Coarse Silt;Very Poorly Sorted;Fine Skewed;Platykurtic;236,7;6,868;;2,082;7,188;;3,826;50,26;401,2;104,9;397,4;23,97;200,2;1,318;4,314;8,03;6,094;6,712;3,029;4,583;0,0%;47,7%;52,3%;0,0%;0,0%;0,0%;0,0%;0,0%;1,1%;5,1%;14,5%;16,0%;11,0%;7,3%;9,8%;12,3%;12,6%;8,1%;2,2%
