Polymer Type,Color,Shape,Size_1_um,Size_2_um,Area_um2,manual_Size_3_um
Poly(ethylene terephthalate),white,irregular,84,67,4273,17.50
Poly(ethylene terephthalate),white,irregular,114,100,8320,15.00
Poly(ethylene terephthalate),white,irregular,30,21,455,15.33
Poly(ethylene terephthalate),white,irregular,112,39,2327,3.00
Poly(ethylene terephthalate),white,irregular,136,66,3654,78.33
Poly(ethylene terephthalate),white,irregular,100,28,2131,30.00
Poly(ethylene terephthalate),white,irregular,56,39,1541,33.50
Poly(ethylene terephthalate),white,irregular,112,68,5458,20.00
Poly(ethylene terephthalate),white,irregular,388,64,15929,69.00
Poly(ethylene terephthalate),white,irregular,34,14,348,9.00
Poly(ethylene terephthalate),white,irregular,222,73,8779,39.00
Poly(ethylene terephthalate),white,irregular,90,69,4277,20.33
Poly(ethylene terephthalate),white,irregular,91,62,4256,13.00
Poly(ethylene terephthalate),white,irregular,112,50,4294,51.33
Poly(ethylene terephthalate),white,irregular,39,33,935,13.67
Poly(ethylene terephthalate),white,irregular,138,54,5816,65.33
Poly(ethylene terephthalate),white,irregular,223,142,23572,63.67
Poly(ethylene terephthalate),white,irregular,110,82,5959,10.50
Poly(ethylene terephthalate),white,irregular,124,64,5619,5.00
Poly(ethylene terephthalate),white,irregular,186,43,4938,36.50
Poly(ethylene terephthalate),white,irregular,199,46,5623,13.50
Poly(ethylene terephthalate),white,irregular,120,28,2271,20.50
Poly(ethylene terephthalate),white,irregular,287,43,8314,52.00
Poly(ethylene terephthalate),white,irregular,90,21,1068,3.00
Poly(ethylene terephthalate),white,irregular,203,61,6120,32.00
Poly(ethylene terephthalate),white,irregular,256,66,9025,46.00
Poly(ethylene terephthalate),white,irregular,146,57,6349,59.33
Poly(ethylene terephthalate),white,irregular,59,42,1812,6.00
Poly(ethylene terephthalate),non-determinable,irregular,94,72,4955,79.00
Poly(ethylene terephthalate),white,irregular,73,30,1640,14.67
Poly(ethylene terephthalate),white,irregular,40,23,633,17.50
Polystyrene,white,irregular,70,50,2618,60.00
Polystyrene,white,irregular,291,71,8843,70.25
Polystyrene,white,irregular,35,28,734,9.00
Polystyrene,white,irregular,60,50,2279,20.00
Polystyrene,white,irregular,87,38,2297,66.00
Polystyrene,white,irregular,122,37,2519,7.00
Polystyrene,white,irregular,101,34,2521,35.00
Polystyrene,white,irregular,17,8,96,10.50
Polystyrene,white,irregular,49,36,1330,46.00
Polystyrene,white,irregular,140,99,10653,20.50
Polystyrene,white,irregular,69,53,2838,65.00
Polystyrene,white,irregular,156,134,13488,29.00
Polystyrene,white,irregular,120,37,2451,15.67
Polystyrene,white,irregular,99,46,3333,53.00
Polystyrene,white,irregular,77,65,3627,10.50
Polystyrene,white,irregular,266,43,6308,15.75
Polystyrene,white,irregular,328,91,16990,62.25
Polystyrene,white,irregular,88,45,2856,15.00
Polystyrene,white,irregular,268,50,7822,34.33
Polystyrene,white,irregular,71,52,2760,4.50
Polystyrene,white,irregular,107,91,6562,7.00
Polystyrene,white,irregular,95,32,1695,7.50
Polystyrene,white,irregular,221,33,3724,1.50
Polystyrene,white,irregular,32,19,443,0.00
Polystyrene,white,irregular,40,30,905,11.00
Polystyrene,white,irregular,125,35,2278,27.50
Polystyrene,white,irregular,47,36,1186,26.00
Polystyrene,white,irregular,268,81,11564,37.67
Polystyrene,white,irregular,244,47,5455,10.67
Polystyrene,white,irregular,255,214,38398,113.50
Polystyrene,white,irregular,116,92,8036,95.50
Polystyrene,white,irregular,87,33,2089,80.00
Polystyrene,white,irregular,262,127,25197,63.50
Polystyrene,white,irregular,178,136,16981,110.50
Polystyrene,white,irregular,150,52,3925,15.00
Polypropylene,white,irregular,169,153,5787,31.50
Polypropylene,white,irregular,1185,186,98614,152.00
Polyethylene,white,irregular,173,158,20080,42.50
Polyethylene,white,irregular,127,74,6362,30.00
Polyethylene,white,irregular,670,448,218665,193.67
Polyethylene,non-determinable,irregular,139,95,9563,40.00
Polyethylene,white,irregular,57,26,1105,3.00
Polyethylene,white,irregular,88,43,2757,35.00
Polyethylene,white,irregular,149,102,10669,45.00
Polyethylene,white,irregular,21,15,244,2.00
