Sample,OM_20,OM_25,OM_32,OM_38,OM_45,OM_53,OM_63,OM_75,OM_90,OM_106,OM_125,OM_150,OM_180,OM_212,OM_250,OM_300,OM_355,OM_425,OM_500,OM_600,OM_710,OM_850,OM_1000,OM_1180,OM_1400,OM_1700,OM_2000,OM_2360,OM_2800,OM_3350,OM_4000,OM_4750,OM_5600,OM_6300,OM_6700,OM_8000,OM_9500,OM_smaller63,OM_smaller90,OM_smaller125,OM_smaller180,OM_smaller250,OM_smaller355,OM_smaller500,OM_smaller710,OM_smaller1000,OM_smaller1400,OM_smaller2000,OM_above2000,OM_D10,OM_D16,OM_D25,OM_D50,OM_D75,OM_D84,OM_D90,TOC,Hg,TIC
Schlei_S8,5.23,6.24,4.55,4.63,4.66,5.12,5.32,5.6,4.85,4.53,4.3,3.54,2.56,2.06,1.96,1.63,1.66,1.44,1.49,1.17,0.98,0.58,0.34,0.17,0.09,0.06,0.04,0.03,0.01,0,0,0,0,0,0,0,0,55.59,66.5,75.88,83.72,88.34,91.93,95.03,97.69,99.26,99.76,99.91,0.09,8.25,12.5,19.9,52.2,121,183,291,16.396,304.9,0.92
Schlei_S9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808,13.5,0.27
Schlei_S10,4.61,4.75,2.98,2.67,2.34,2.29,2.2,2.25,2,2,2.16,2.1,1.85,1.88,2.16,2.13,2.46,2.37,2.79,2.64,2.84,2.56,2.62,2.72,3.05,2.38,2.11,1.59,0.93,0.15,0,0,0,0,0,0,0,48.05,52.5,56.5,60.76,64.48,68.78,73.61,79.04,84.44,89.78,95.22,4.78,7.65,10.9,17,73.5,548,972,1420,0.3995,5,0.21
Schlei_S10_15cm,7.14,8.04,5.54,5.3,4.9,4.85,4.5,4.1,3.12,2.59,2.14,1.55,1.01,0.74,0.67,0.54,0.51,0.42,0.44,0.37,0.38,0.29,0.23,0.17,0.1,0.04,0.02,0,0,0,0,0,0,0,0,0,0,76.07,84.67,90.38,94.07,95.82,97.03,97.97,98.77,99.44,99.84,99.98,0.02,5.89,8.11,11.8,27.1,60.6,87.1,122,0.1685,16.2791,0.225
Schlei_S11,4.25,5.02,3.83,4.12,4.43,5.12,5.49,5.86,5.06,4.66,4.29,3.38,2.31,1.72,1.51,1.17,1.1,0.91,0.88,0.63,0.48,0.27,0.18,0.16,0.18,0.14,0.12,0.09,0.05,0.01,0,0,0,0,0,0,0,59.35,70.71,80.43,88.09,92.11,94.79,96.8,98.32,99.06,99.4,99.72,0.28,5.45,8,13.3,45.4,103,145,206,10.8215,221.3,0.645
Schlei_S12,2.71,3.12,2.26,2.32,2.38,2.69,2.88,3.17,2.92,2.94,3.17,3.07,2.68,2.68,3.01,2.88,3.23,3.03,3.5,3.29,3.54,3.2,3.26,3.35,3.66,2.8,2.44,1.82,1.06,0.17,0,0,0,0,0,0,0,32.26,38.31,44.17,50.41,55.76,61.65,67.9,74.7,81.44,88.05,94.51,5.49,10.8,18.7,38.4,176,721,1140,1550,2.967,61.2,1.11
Schlei_S13,3.76,4.78,3.81,4.17,4.53,5.28,5.72,6.27,5.63,5.46,5.49,4.83,3.75,3.2,3.07,2.46,2.29,1.83,1.75,1.3,1.05,0.61,0.34,0.14,0.03,0,0,0,0,0,0,0,0,0,0,0,0,44.77,56.77,67.85,78.18,85.13,90.66,94.77,97.83,99.49,99.97,100,0.0000006,10.6,17,29,73.9,159,235,339,6.9315,172.9,0.465
Schlei_S14,3.36,3.77,2.69,2.75,2.87,3.34,3.72,4.31,4.12,4.28,4.73,4.6,3.95,3.79,4.03,3.57,3.62,3.08,3.15,2.52,2.26,1.57,1.18,0.87,0.6,0.26,0.16,0.1,0.04,0.01,0,0,0,0,0,0,0,39.48,47.51,55.91,65.24,72.99,80.58,87.28,92.95,96.78,98.83,99.69,0.31,9.16,14.5,26.6,99.5,273,421,584,1.0503,31.2,0.39
Schlei_S15,5.36,5.9,4.15,4.14,4.06,4.3,4.25,4.16,3.35,2.92,2.55,1.96,1.37,1.13,1.15,1.06,1.18,1.08,1.16,0.94,0.81,0.49,0.28,0.15,0.09,0.04,0.03,0.02,0.01,0,0,0,0,0,0,0,0,69.8,78.22,84.49,88.99,91.49,93.7,95.96,98.07,99.36,99.8,99.93,0.07,5.2,6.97,10.1,28,78.1,121,203,0.64,11,0.225
Schlei_S16,6.14,7.23,5.19,5.16,5.01,5.28,5.26,5.37,4.64,4.44,4.46,3.87,2.8,1.93,1.2,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.7,76.33,85.4,93.73,98.46,100,100,100,100,100,100,7E-14,6.86,9.93,15.3,37.7,86,119,151,12.146,230.9,0.42
Schlei_S17,4.73,6.45,5.49,6.21,6.8,7.69,7.81,7.5,5.68,4.45,3.18,1.81,0.85,0.48,0.49,0.58,0.78,0.75,0.78,0.58,0.47,0.31,0.24,0.21,0.23,0.18,0.16,0.12,0.07,0.01,0,0,0,0,0,0,0,62.29,77.6,87.73,92.71,94.04,95.11,96.63,98,98.78,99.23,99.63,0.37,7.42,11.7,20.1,47.5,84.2,108,141,0.6665,10,0.31
Schlei_S18,4.16,5.22,4.17,4.58,4.98,5.79,6.21,6.62,5.72,5.28,4.91,3.91,2.69,2,1.71,1.27,1.15,0.92,0.88,0.63,0.5,0.29,0.22,0.2,0.18,0.12,0.1,0.08,0.04,0.01,0,0,0,0,0,0,0,54.36,67.19,78.2,87.02,91.71,94.69,96.75,98.26,99.05,99.47,99.77,0.23,6.84,11,19.5,55.4,113,156,217,9.7265,212.5,0.4875
Schlei_S18_15cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4,,,,9.7265,212.5,0.4875
Schlei_S19,6.06,6.27,4.04,3.76,3.46,3.52,3.42,3.34,2.72,2.4,2.12,1.62,1.07,0.76,0.62,0.44,0.44,0.43,0.58,0.69,0.93,1.17,1.6,2.05,2.6,2.08,1.78,1.26,0.66,0.1,0,0,0,0,0,0,0,65.14,71.9,77.01,80.75,82.58,83.64,84.51,85.78,87.88,91.52,96.2,3.8,6.52,8.75,12.5,31.5,109,412,1240,0.0615,3.7,0.11
Schlei_S20,4.8,5.55,4.09,4.26,4.43,4.99,5.25,5.5,4.69,4.29,4,3.29,2.43,2.02,1.87,1.32,0.85,0.34,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.1,74.84,83.82,91.11,95.56,98.75,99.94,100,100,100,100,1E-11,4.88,7.15,11.7,37.4,90.5,126,168,1.3055,30.6,0.32
