Sample,Date,LAT,LON,Depth,TOC
20170329_G1,29/03/2017,54.5172333333333,9.67076666666667,3.44,6.487
20170330_G1,30/03/2017,54.51465,9.662,3.95,5.7665
20170330_G2,30/03/2017,54.5137166666667,9.6583,3.71,4.0025
20170330_G3,30/03/2017,54.51255,9.66065,3.44,5.92
20170330_G4,30/03/2017,54.5156833333333,9.66811666666667,3.84,7.9975
20170330_G5,30/03/2017,54.5153833333333,9.67531666666667,3.44,0.7315
20170330_G6,30/03/2017,54.5154666666667,9.67761666666667,3.37,0.6375
20170330_G7,30/03/2017,54.5146666666667,9.6832,3.5,3.924
20170330_G8,30/03/2017,54.5150666666667,9.68551666666667,3.22,0.6455
20170330_G9,30/03/2017,54.51405,9.69,3.33,0.8405
20170330_G10,30/03/2017,54.5112,9.68315,3.86,8.4755
20170330_G11,30/03/2017,54.5127333333333,9.67671666666667,3.7,9.914
20170330_G12,30/03/2017,54.5116833333333,9.66936666666667,3.78,6.947
20170330_G13,30/03/2017,54.5093,9.68716666666667,3.49,0.5622
20170330_G14,30/03/2017,54.5095833333333,9.69856666666667,3.92,8.494
20170330_G15,30/03/2017,54.50815,9.6962,3.75,1.0835
20170330_G16,30/03/2017,54.5064833333333,9.69218333333333,3.66,10.174
20170330_G17,30/03/2017,54.50665,9.68896666666667,2.92,0.654
20170330_G18,30/03/2017,54.5073833333333,9.68696666666667,2.46,0.4335
20170330_G19,30/03/2017,54.5063333333333,9.6776,3.7,10.2305
20170330_G20,30/03/2017,54.5029333333333,9.68231666666667,3.49,10.5135
20170330_G21,30/03/2017,54.5002666666667,9.6834,3.78,12.4665
20170330_G22,30/03/2017,54.4994333333333,9.69138333333333,3.29,10.156
20170330_G23,30/03/2017,54.5018666666667,9.68816666666667,3.48,9.4395
20170330_G24,30/03/2017,54.5028166666667,9.69478333333333,3.67,7.7665
20170330_G25,30/03/2017,54.52165,9.6987,3.0,1.3695
20170330_G26,30/03/2017,54.5250333333333,9.69551666666667,3.58,2.9785
20170330_G27,30/03/2017,54.5235166666667,9.68996666666667,3.08,0.172
20170330_G28,30/03/2017,54.5186333333333,9.68525,3.36,1.012
20170330_G29,30/03/2017,54.5228666666667,9.682,2.99,0.8615
20170330_G30,30/03/2017,54.5194833333333,9.6789,3.32,5.0605
20170330_G31,30/03/2017,54.5204166666667,9.67101666666667,3.7,6.829
20170330_G32,30/03/2017,54.5213833333333,9.6678,2.95,0.759
20170403_G33,03/04/2017,54.5176333333333,9.70581666666667,7.44,2.2415
20170403_G34,03/04/2017,54.5176833333333,9.70818333333333,5.4,0.688
20170403_G35,03/04/2017,54.5256333333333,9.71746666666667,7.29,3.587
20170403_G36,03/04/2017,54.5284,9.71816666666667,7.36,1.9605
20170403_G37,03/04/2017,54.5303,9.73548333333333,5.73,3.27
20170403_G38,03/04/2017,54.53275,9.73716666666667,5.12,3.3735
20170403_G39,03/04/2017,54.5360333333333,9.73878333333333,8.48,2.3425
20170403_G40,03/04/2017,54.5392333333333,9.74108333333333,4.26,5.506
20170403_G41,03/04/2017,54.5395,9.74033333333333,6.19,7.418
20170403_G42,03/04/2017,54.5467166666667,9.74505,6.96,11.327
20170403_G43,03/04/2017,54.5489,9.74971666666667,5.78,8.9745
20170403_G44,03/04/2017,54.5523333333333,9.75246666666667,3.32,10.8425
20170403_G45,03/04/2017,54.5563833333333,9.76078333333333,3.66,9.792
20170403_G46,03/04/2017,54.5585166666667,9.76486666666667,3.77,11.956
20170403_G47,03/04/2017,54.5616333333333,9.76603333333333,3.25,1.419
20170403_G48,03/04/2017,54.5627833333333,9.77051666666667,3.74,8.286
20170403_G49,03/04/2017,54.5631333333333,9.77108333333333,3.79,9.447
20170403_G50,03/04/2017,54.5642833333333,9.77823333333333,3.61,12.2525
20170403_G51,03/04/2017,54.5647833333333,9.77806666666667,3.44,10.323
20170403_G52,03/04/2017,54.5647833333333,9.77831666666667,3.66,10.309
20170403_G53,03/04/2017,54.5596666666667,9.7818,3.22,9.46
20170403_G54,03/04/2017,54.5625333333333,9.78611666666667,3.36,11.1675
