Sample,WWTP_influence_as_tracer_mean_dist__nosed_18µm_autumn_222,WWTP_influence_as_endpoints_mean_dist__nosed_18µm_autumn_222,WWTP_influence_as_cumulated_residence__nosed_18µm_autumn_222,WWTP_influence_as_mean_time_travelled__nosed_18µm_autumn_222,WWTP_influence_as_tracer_mean_dist__nosed_18µm_allseasons_222,WWTP_influence_as_endpoints_mean_dist__nosed_18µm_allseasons_222,WWTP_influence_as_cumulated_residence__nosed_18µm_allseasons_222,WWTP_influence_as_mean_time_travelled__nosed_18µm_allseasons_222,WWTP_influence_as_tracer_mean_dist__nosed_0µm_allseasons_222_,WWTP_influence_as_endpoints_mean_dist__nosed_0µm_allseasons_222_,WWTP_influence_as_cumulated_residence__nosed_0µm_allseasons_222_,WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_,WWTP_influence_as_tracer_mean_dist__sed_18µm_autumn_222,WWTP_influence_as_endpoints_mean_dist__sed_18µm_autumn_222,WWTP_influence_as_cumulated_residence__sed_18µm_autumn_222,WWTP_influence_as_mean_time_travelled__sed_18µm_autumn_222,WWTP_influence_as_tracer_mean_dist__sed_18µm_allseasons_444,WWTP_influence_as_endpoints_mean_dist__sed_18µm_allseasons_444,WWTP_influence_as_cumulated_residence__sed_18µm_allseasons_444,WWTP_influence_as_mean_time_travelled__sed_18µm_allseasons_444
20170329_G1,4216.81477028785,4854.23823558274,707,216.093922651934,3945.42499975565,4222.61965948982,2231,206.240963855422,4206.09310043087,5730.0969646194,2971,182.577464788732,4296.668901443,4780.89070851659,990,162.699029126214,3980.5896075484,4205.98742463246,11989,157.242937853107
20170330_G1,3914.97443504964,4645.72101873669,992,218.627705627706,3608.92632955022,3937.90324378072,2715,191.825581395349,4012.90248856173,5637.93347775422,3961,174.050675675676,3949.407282065,4465.01960032624,1051,177.595744680851,3611.44112243171,3846.28315680084,13059,148.475949367089
20170330_G10,4694.49889637567,5241.98476431132,986,219.914772727273,4485.72054722513,4697.9831189739,2641,203.640449438202,4594.27532641966,6026.45788075569,3115,190.03515625,4850.02102991708,5328.33291924432,672,188.175,4579.09017953951,4800.81896955652,6480,163.936599423631
20170330_G11,4427.93056947363,5027.83315366603,696,219.978378378378,4189.64516801765,4435.16999244857,2373,198.517615176152,4377.44035255766,5865.66397034446,3053,179.016981132075,4550.49400735908,5038.60498821849,387,184.513513513514,4257.50332107738,4483.38129174564,6907,159.536269430052
20170330_G12,4173.4589649197,4846.98629827008,928,199.296296296296,3905.74708683149,4192.04633559461,3121,194.432065217391,4203.51549859408,5768.37190906218,3544,177.676923076923,4257.02288006099,4765.12804548082,546,161.881355932203,3944.62968282496,4175.2387043939,8898,146.942786069652
20170330_G13,4887.93627586484,5410.4692323336,814,227.232258064516,4697.95187858571,4891.44070439077,1899,216.472972972973,4766.05823194019,6166.35287005176,2851,189.901826484018,5061.59115055453,5537.1379633232,571,178.5,4805.68976814438,5023.87360433141,6863,164.497076023392
20170330_G14,5419.12659548039,5848.95603143401,1044,217.509554140127,5264.65378768927,5407.56390522087,2645,207.845117845118,5208.14794205789,6498.69051097672,3064,197.496314496314,5624.81158543695,6066.28654179703,798,182.53982300885,5399.01520915713,5603.43520515753,6641,162.603498542274
20170330_G15,5322.39316957321,5777.5851837904,1174,200.851485148515,5163.19655899341,5316.94052054837,3156,202.296511627907,5138.03114605091,6456.16803859076,3357,186.221518987342,5523.79709446147,5978.2042761951,908,165.013888888889,5293.75303338608,5502.16997865533,8818,166.936111111111
20170330_G16,5164.74051332278,5660.32872479524,1183,211.065359477124,4995.92371777591,5168.43800286685,3079,195.445205479452,5022.43901379103,6384.26018221804,3037,191.9216152019,5356.18819499602,5828.195888357,907,176.721153846154,5118.22440328554,5331.98687508542,8955,168.638483965015
20170330_G17,5016.44290924146,5537.65498622558,975,215.880597014925,4837.08922272986,5023.94602451892,2269,203.415584415584,4898.50065173154,6290.46984295792,2481,194.06043956044,5197.87208034112,5678.19624492748,818,180.235294117647,4951.26788034514,5168.33463343332,7823,174.108695652174
20170330_G18,4913.58837791139,5448.31725916164,541,224.176470588235,4726.1991671583,4921.9411381155,1372,212.055970149254,4806.77243753885,6215.86168349634,2205,193.927835051546,5087.8420568914,5571.09000891335,383,183.383177570093,4834.57319575799,5053.49642241655,6972,170.551839464883
20170330_G19,4566.40580490107,5188.92102488606,1312,200.939698492462,4344.96026507131,4588.6094619694,3755,200.302631578947,4549.68446053487,6054.93858755348,3395,173.204899777283,4700.98064467311,5208.28766201522,909,158.503875968992,4422.62632469017,4649.32378254899,8980,164.326086956522
20170330_G2,3807.88409816779,4576.77523089196,919,199.256198347107,3486.4032235153,3837.34228836632,2654,184.752192982456,3954.48052847292,5620.36565840753,4098,171.26936026936,3822.78467762498,4351.36510532803,759,159.38255033557,3475.096716683,3714.51986465645,8687,130.336384439359
20170330_G20,4853.77650902382,5446.46659577208,1114,208.689265536723,4656.06600200501,4875.94583666031,2584,216.786231884058,4818.32362362904,6286.76320395194,3216,188.657216494845,5009.17258064042,5512.01056593687,780,169.321428571429,4750.09644904535,4971.2051890154,8334,176.784246575342
20170330_G21,5006.00343053492,5598.11705203165,1296,212.391304347826,4814.3546962885,5029.0922405474,4081,218.791519434629,4979.32726918596,6443.83347183787,3108,190.134020618557,5162.55099509811,5664.67769423265,865,175.840336134454,4909.67586109651,5127.09386987119,9110,164.263665594855
20170330_G22,5368.77315206838,5899.84819408408,1097,213.561983471074,5203.59356139861,5381.62265374401,2332,225.761658031088,5281.37179259127,6671.77146479931,2644,202.102310231023,5551.52856794675,6036.24366214893,900,186.586206896552,5319.86571473742,5529.31171786065,8352,179.991935483871
20170330_G23,5129.81869108726,5677.54711588501,848,211,4953.17157987299,5145.24568507342,2278,215.848837209302,5051.93222539403,6466.15739853227,2916,204.575129533679,5306.21646304772,5797.44782809711,638,175.233009708738,5063.99354765895,5279.38957052218,9559,183.440860215054
