Sample,WWTP_influence_as_tracer_mean_dist__nosed_18µm_autumn_222,WWTP_influence_as_endpoints_mean_dist__nosed_18µm_autumn_222,WWTP_influence_as_cumulated_residence__nosed_18µm_autumn_222,WWTP_influence_as_mean_time_travelled__nosed_18µm_autumn_222,WWTP_influence_as_tracer_mean_dist__nosed_18µm_allseasons_222,WWTP_influence_as_endpoints_mean_dist__nosed_18µm_allseasons_222,WWTP_influence_as_cumulated_residence__nosed_18µm_allseasons_222,WWTP_influence_as_mean_time_travelled__nosed_18µm_allseasons_222,WWTP_influence_as_tracer_mean_dist__nosed_0µm_allseasons_222_,WWTP_influence_as_endpoints_mean_dist__nosed_0µm_allseasons_222_,WWTP_influence_as_cumulated_residence__nosed_0µm_allseasons_222_,WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_,WWTP_influence_as_tracer_mean_dist__sed_18µm_autumn_222,WWTP_influence_as_endpoints_mean_dist__sed_18µm_autumn_222,WWTP_influence_as_cumulated_residence__sed_18µm_autumn_222,WWTP_influence_as_mean_time_travelled__sed_18µm_autumn_222,WWTP_influence_as_tracer_mean_dist__sed_18µm_allseasons_444,WWTP_influence_as_endpoints_mean_dist__sed_18µm_allseasons_444,WWTP_influence_as_cumulated_residence__sed_18µm_allseasons_444,WWTP_influence_as_mean_time_travelled__sed_18µm_allseasons_444
20170330_G24,5388.43463969422,5880.20836858086,1127,215.349112426036,5231.11395258825,5393.41905449015,2792,214.364285714286,5251.58730434333,6599.32647435631,3030,199.315403422983,5585.26201946341,6057.96334833334,902,182,5358.41146802637,5567.56587109877,8688,168.439189189189
20170330_G25,5475.55698133024,5847.36309567579,409,207.908571428571,5305.76183867785,5442.41464590041,1004,194.961904761905,5205.11867063148,6433.76037947338,2103,183.420233463035,5659.69134889524,6052.94104438007,271,179.5,5425.38857752531,5620.55573866857,2275,160.955271565495
20170330_G26,5404.84134506439,5792.46117219832,414,203.082802547771,5220.8411273553,5371.26010997521,918,191.732600732601,5150.87774981559,6390.45081190343,2062,174.488172043011,5571.60877385696,5966.19445918437,254,161.707865168539,5327.77016255335,5525.32587235327,2079,164.138513513514
20170330_G27,5111.10673111247,5544.84955313886,502,210.96682464455,4909.18834255477,5083.56597863529,1425,204.307901907357,4903.00080770013,6204.46268329433,2634,186.166986564299,5263.95830002979,5675.01353122514,303,183.514492753623,5003.51190127741,5207.70657867419,3439,164.45671641791
20170330_G28,4804.26465375537,5294.32360727376,475,211.987654320988,4590.69805828088,4787.81603243299,1542,213.126245847176,4648.01062782468,6021.943924755,2619,188.263157894737,4951.85159787234,5389.10368235284,312,185.94495412844,4677.99131164035,4889.95419260374,6738,165.278996865204
20170330_G29,4753.29980310903,5260.41270356438,516,211.421621621622,4521.59393569412,4736.25262680415,1470,198.221893491124,4616.07822192151,5998.82264503404,2459,186.09375,4877.01992104742,5311.74474110541,347,175.276785714286,4591.40605816646,4804.84733283987,7421,165.778761061947
20170330_G3,3887.86372392582,4637.74111015156,784,195.766839378238,3579.71179423248,3915.89119743925,2097,184.917553191489,4011.64048236003,5659.18125231694,3534,167.283018867925,3917.82939019266,4442.80468141444,435,155,3579.2663175295,3815.6638157899,9810,128.006833712984
20170330_G30,4553.88967277633,5102.46086646923,606,219.259259259259,4313.64612281661,4544.65078140933,2079,206.892307692308,4453.24754311362,5884.51194181266,2970,184.711827956989,4671.17594449509,5124.39351147543,867,177.769911504425,4376.50498707553,4593.97887794439,11509,161.834782608696
20170330_G31,4272.78115513917,4896.09688537961,843,206.217391304348,3998.18879598575,4274.32422661786,2453,206.327464788732,4250.46911626661,5755.15945079055,3240,187.288782816229,4348.72509694233,4822.78557212285,470,160.935064935065,4030.82231364964,4255.8087119677,10292,171.38338658147
20170330_G32,4181.16240287226,4833.61199776207,678,208.064935064935,3891.37480240273,4187.79788075578,1816,203.825242718447,4192.26603301594,5724.62685140796,2887,191.695852534562,4238.67806166022,4721.26527708403,415,171.898876404494,3911.33992252144,4140.95364944549,7515,166.160493827161
20170330_G4,4114.62114981351,4783.74611542655,730,223.141361256545,3834.13562426995,4126.99888122433,2314,200.149863760218,4138.48600750421,5696.98768291717,3252,182.814371257485,4182.53373246991,4679.05278419138,898,177.439252336449,3860.75924135485,4089.37347876592,11287,152.65873015873
20170330_G5,4372.22602319591,4973.56745586809,572,220.021739130435,4123.21910778822,4375.38452961617,1980,192.779944289694,4321.8598449194,5810.86724066241,2740,182.513800424628,4481.56292492045,4961.70987096344,310,190.209090909091,4180.52874780876,4404.74509936754,8261,155.492105263158
20170330_G6,4460.83111140699,5039.40712179226,569,214.634020618557,4221.34995579084,4460.71255286972,1935,193.677966101695,4387.48845097063,5853.55665626625,2850,181.676348547718,4581.83968427164,5055.54916010769,317,178.836065573771,4287.50802486686,4510.10029757202,6450,157.435967302452
20170330_G7,4684.48511862308,5212.60178325502,572,229.333333333333,4469.24040522403,4678.90254526638,1893,204.483974358974,4563.47667852578,5978.985238398,2721,187.303493449782,4833.40587832932,5295.0237265179,358,188.865168539326,4557.22026754879,4775.93284644584,5518,156.693641618497
20170330_G8,4784.44866017198,5288.47366721515,502,235.866141732283,4577.5950308765,4775.18888826971,1673,212.007272727273,4641.27120708719,6032.10405934673,2574,196.895631067961,4941.98897047626,5394.69776654915,320,199.620253164557,4672.4411815252,4888.1761418442,5686,160.25748502994
20170330_G9,4982.01646205045,5451.0784146857,727,210.849397590361,4793.64846375824,4969.91362341236,1982,213.320261437909,4807.52120072354,6160.18536162197,2760,195.223476297968,5158.13773265748,5602.37929922398,512,181.461538461538,4903.4325714193,5114.66695388863,5421,164.388235294118
20170403_G33,5779.51400010546,6120.69115458286,315,227.554140127389,5635.16610748264,5746.57085634069,771,213.724637681159,5476.11964654479,6662.4230132082,1662,201.298245614035,5988.01493636099,6377.40539299774,199,189.858585858586,5774.14548364624,5963.46183672326,1149,167.38783269962
20170403_G34,5903.61959143916,6230.49449997843,310,219.592105263158,5765.57011149931,5868.74699317057,784,209.131868131868,5585.28896546752,6750.30930108133,1720,199.545454545455,6116.2279060149,6499.90773752703,201,187.19387755102,5908.33033550688,6094.68766358415,1242,165.847908745247
20170403_G35,6508.75468028982,6763.52053566937,256,229.618320610687,6389.20438057789,6462.31240992405,627,214.614107883817,6107.69546387995,7147.84229447019,1203,204.777493606138,6722.06821312635,7066.73289014626,161,200.10989010989,6537.2074320375,6709.38274602044,829,167.55504587156
20170403_G36,6610.98075309628,6856.75807053058,251,218.969696969697,6491.91311118445,6562.98958120132,643,216.300429184549,6198.94670572664,7216.93367299496,1320,193.414043583535,6819.94109505341,7157.98865532578,159,183.022727272727,6637.8265789118,6808.07880881082,900,177.746606334842
20170403_G37,7572.7771930343,7721.22102243963,415,236.486486486486,7495.61860616968,7509.82298538767,1137,224.982378854626,7060.13992244161,7916.45394963434,1848,203.839901477833,7801.14674034429,8094.45047339545,235,188.8,7660.93637741974,7806.72123511535,1759,176.837837837838
20170403_G38,7725.52260809331,7859.06661882671,396,228.279411764706,7652.1197174527,7659.98812583329,1110,218.599137931034,7197.70664074376,8023.77611966266,1793,194.578406169666,7951.71640294149,8235.60221455094,252,202.979591836735,7817.09892434687,7958.95636519654,1755,181.073394495413
20170403_G39,7907.68227296449,8026.29094404554,345,240.016260162602,7838.04122298664,7840.10385874308,1049,229.961722488038,7363.78662658093,8154.37330002238,1650,201.315789473684,8129.91252170756,8402.93127451792,222,216.011764705882,8001.64592683443,8139.18432309296,1622,176.844559585492
20170403_G40,8135.12270322398,8237.39795586123,337,258.01652892562,8071.17208000659,8066.52014051051,1077,234.742574257426,7572.7902843073,8322.71058521001,1578,203.906849315068,8353.90473805573,8614.24337287322,181,226.608695652174,8233.88461991113,8366.12108853746,1689,185.263440860215
20170403_G41,8105.53144274982,8211.26459280562,330,255.25641025641,8039.83808748625,8037.39255465151,1080,232.91959798995,7546.53413527679,8300.96101213739,1499,207.197674418605,8323.05120543589,8584.80494454391,178,222.985714285714,8201.53792322709,8334.62049035565,1699,185.548913043478
20170403_G42,8633.25300011204,8704.8125939925,283,247.889908256881,8580.66792268205,8566.42822919529,887,232,8037.6983607405,8702.35256323747,1181,213.304207119741,8841.1851489733,9073.60978378643,159,220.294117647059,8738.81169217063,8859.48754349105,1211,193.940476190476
20170403_G43,8964.04348194651,9008.29840989192,295,249.88,8923.47682999933,8896.2845799548,876,236.74251497006,8341.05494835666,8949.15072211064,1252,218.165562913907,9171.80565212113,9385.56973580449,173,212.772727272727,9083.19026675156,9194.98532172307,2265,194.15
20170403_G44,9259.25292490964,9283.64582561441,197,260.026666666667,9226.74531256001,9191.68146950101,644,234.968,8617.35530244457,9174.9248685571,923,221.427906976744,9462.09152946583,9659.55001911982,111,213.119047619048,9385.1937993461,9489.65726432313,2542,185.628571428571
20170403_G45,9868.80733904667,9841.92066385224,337,249.535714285714,9857.60179640743,9796.52698724828,776,243.68115942029,9180.4913587346,9632.6965261449,1067,227.013513513514,10069.1039373874,10231.0700109247,363,221.440677966102,10019.5036328434,10106.5309573595,2874,200.691780821918
20170403_G46,10178.53020367,10124.5244851132,313,248.894736842105,10177.4755286806,10103.06332164,653,236.213740458015,9468.16191714633,9866.96142538762,1104,229.674418604651,10377.3883446948,10520.6227887971,610,210.586956521739,10340.9463247106,10419.3123391179,2821,195.776978417266
20170403_G47,10396.6558128913,10327.5722457855,132,268.851063829787,10399.4711038789,10319.2730723801,390,235.478723404255,9677.22321482311,10040.1137248697,739,239.477707006369,10591.1054617157,10721.0865152096,81,243.068965517241,10561.7206905594,10634.6452571287,1765,191.26
20170403_G48,10678.8426294993,10582.5288325952,151,270.38,10691.8990476785,10597.2774108892,419,252.510204081633,9937.56491001384,10251.8625047471,856,247.793939393939,10874.8171715368,10987.011580656,385,246.129032258065,10857.3311415183,10921.7943975006,1747,197.87
20170403_G49,10725.3983520445,10625.0587511727,149,270.466666666667,10739.8070206748,10643.1977256643,400,255.033333333333,9981.21918209578,10287.7220761987,834,251.472049689441,10921.2452443566,11030.5570299456,444,244.62962962963,10905.4839655264,10968.654934267,1609,195.583333333333
20170403_G50,11143.7860262201,11002.7260152799,226,286.730769230769,11173.6097855813,11055.0876220731,470,270.034482758621,10367.8195227884,10603.4347051214,818,251.308176100629,11343.7202639033,11427.650047407,509,229.724137931034,11344.5688418036,11395.9075010494,1551,201.629213483146
20170403_G51,11161.2832048108,11019.6797744242,210,288.183673469388,11190.9687249478,11072.5590403084,464,266.045977011494,10385.4535279856,10618.3157250566,804,256.326666666667,11360.391401013,11443.2569533168,192,253.28,11361.4748006504,11412.4924275883,1408,203.448275862069
20170403_G52,11173.8959214872,11031.021920807,217,285.803921568627,11204.0913407152,11084.9679855794,463,270.976744186047,10397.0438065158,10627.7889733653,799,257.322368421053,11373.2075490536,11455.3291683529,194,245.346153846154,11374.7990937403,11425.4677912923,1411,200.720930232558
20170403_G53,11103.7383382012,10958.1596494009,141,231.32,11137.9928652495,11013.2083582113,304,242.884615384615,10320.8935247272,10564.9107819869,809,228.657894736842,11313.4505531896,11401.8172368509,100,212.128205128205,11314.5379382634,11366.684713649,626,199.814814814815
20170403_G54,11463.9827954761,11289.63175441,139,239.052631578947,11508.1998623088,11369.311458523,268,254.107692307692,10660.4817884659,10844.7680356021,688,238.203592814371,11672.3845093042,11739.6079521272,85,202.931034482759,11685.8580862509,11728.8494647521,648,209.628865979381
20170403_G55,11385.2524546598,11217.9985638505,145,252.380952380952,11426.6237163186,11291.7711409494,289,255.313432835821,10587.1760103921,10783.8410349998,703,237.458598726115,11592.5673111506,11663.9202672437,90,216.354838709677,11603.2955977569,11648.2058712859,774,205.203883495146
20170403_G56,11642.0461616914,11459.3212312874,135,286.458333333333,11686.1389793207,11547.1559097613,395,277.175,10837.3389622304,10991.6995698548,725,252.902097902098,11842.4606366215,11897.6498427807,66,267.846153846154,11859.6259628785,11898.8293995669,728,221.904109589041
20170403_G57,12036.5005750932,11820.6560987818,149,277.75,12093.5100479839,11936.8972182915,347,284.22972972973,11207.5197459926,11299.447490191,739,259.118421052632,12239.0665123723,12273.4261732489,366,226.896551724138,12269.6556969137,12299.5565642565,942,219
20170403_G58,11610.4352173276,11441.6959810595,97,323.434782608696,11645.2578636259,11517.6917939761,503,291.023255813954,10824.8659594625,10991.0459349717,633,275.607142857143,11801.4410099896,11859.9287059766,33,311.2,11811.8679688965,11854.5084118139,373,240.076923076923
20170403_G59,12744.3401065676,12476.3169978574,141,268.107142857143,12820.9484501827,12639.4508694131,286,274.5,11880.2433724473,11867.5421184248,590,256.9625,12947.6953835659,12947.8325900926,669,225.727272727273,12998.8622645252,13014.0918866967,2058,216.686046511628
20170403_G60,14868.4182747027,14449.3340996506,126,294.787234042553,14993.0957385685,14747.6822383673,302,286.605263157895,13921.2518581664,13624.5466100056,531,256.56204379562,15074.06062797,14978.9804812376,60,249.428571428571,15175.0233878306,15151.6542248431,477,216.225
20170403_G61,14938.1554965484,14514.2780388181,121,287.333333333333,15064.2014970212,14816.7788184574,306,279.986486486487,13988.6760831549,13683.3477396485,535,255.015037593985,15143.6153182231,15045.5587506704,57,239.083333333333,15246.0937128199,15221.5007531539,657,217.830985915493
20170403_G62,15486.7618812227,15022.9714994649,136,265.268292682927,15625.1329109642,15359.9631472526,308,273.109589041096,14515.6844279012,14141.1357707659,592,258.2875,15692.6042310892,15570.3912641213,63,217.51724137931,15808.2376070542,15773.4190986998,642,218.302631578947
20170403_G63,15990.5606930317,15494.1740505595,116,268.111111111111,16138.8408483303,15860.1917882418,232,267.68115942029,15002.9695206346,14566.4195386173,513,257.717791411043,16194.8678765228,16049.8438873918,54,230.407407407407,16321.8063336017,16277.8858961161,331,207.397260273973
20170403_G64,16605.1647603313,16069.0802709033,51,311.25,16764.1345198477,16469.8434216344,173,272.205128205128,15600.5353813281,15091.0439248884,297,270.957746478873,16806.2090680577,16633.029670678,6,161.75,16945.8363851503,16891.0731446399,596,206.289473684211
20170403_G65,16934.7601729573,16373.7223996618,116,282.428571428571,17102.6760451662,16796.1944953266,265,276.875,15913.9781487292,15363.6979084864,444,276.4609375,17137.9287821254,16949.4204294927,49,233,17286.6654302116,17225.3293995907,977,212.814285714286
20170403_G66,17328.6999637065,16741.8802946674,121,269,17504.536404857,17186.4586939013,244,270.216666666667,16294.510887073,15697.0708442104,398,265.958333333333,17531.4490056198,17324.9243220024,72,225.466666666667,17689.0924366311,17620.5278043593,826,221.467741935484
20170403_G67,17735.8720079054,17123.1748475698,109,301.896551724138,17918.6666675744,17589.6776403269,252,292.632653061225,16690.2016759961,16044.0713040503,378,276.971962616822,17936.6036141353,17711.0282229187,788,275.933333333333,18102.8624755325,18027.011774596,1237,234.68
20170403_G68,18155.9131789969,17515.401287569,100,286.875,18346.0503850133,18005.0353970066,211,286.104166666667,17097.6003810044,16401.815702749,350,274.758241758242,18357.428897637,18111.7208648763,48,238.166666666667,18531.0759490858,18447.5621391322,1504,235.565217391304
20170403_G69,18255.5241141029,17610.4173184274,65,327.52380952381,18445.8404811922,18104.0717790771,174,300.305555555556,17197.4105886029,16490.1324910961,340,296.454545454545,18455.2011758603,18204.5276753699,213,237,18629.4684226491,18544.4186674177,1062,245.5
20170403_G70,18822.9782966538,18139.5708508618,97,270.65625,19024.0632410061,18664.3735435753,178,275.444444444444,17744.9618151347,16972.2448980612,325,257.818181818182,19026.7569750561,18749.5156725436,346,240,19210.8711767644,19115.7401907418,622,223.8
20170403_G71,18988.1828486602,18296.5009548869,68,285.75,19190.270485237,18828.6179927743,165,288.837209302326,17909.014075428,17116.8492452246,303,271.14606741573,19190.1425182532,18904.4779660093,443,252.6,19375.6509664949,19277.8183572434,555,228.219512195122
20170403_G72,19748.7019195371,19008.7447233077,76,287.407407407407,19961.8796624454,19580.7386897079,123,294.857142857143,18648.7979304956,17770.4133860463,225,280.953488372093,19954.6744646232,19635.1012656296,89,229.555555555556,20149.2275884649,20039.0279203641,959,223.976744186047
20170403_G73,20144.514177064,19382.2394520303,76,306.961538461538,20360.8467918309,19973.0489641643,114,296.771428571429,19039.187481678,18115.6387945131,216,286.592105263158,20349.8602766353,20013.3798206386,290,265.375,20547.0083941558,20431.2128931222,716,259.866666666667
20170403_G74,21039.179485944,20221.940833224,32,300.15,21265.4283211281,20856.524758492,69,296.107142857143,19913.2883117373,18889.4490137783,241,295.910112359551,21249.4315902305,20877.124356426,17,230,21453.7592934761,21325.4167900907,289,243.387096774194
20170405_R10_2cm,5282.08959688961,5682.2830482367,565,216.460784313726,5097.62501665407,5251.32966343814,1474,201.0888252149,5041.39823728472,6307.32091028816,2817,189.167619047619,5452.89277657209,5854.61785579011,531,180.30534351145,5206.23256502911,5405.73877887298,3255,156.743202416918
20170405_R12_6cm,5841.6960653074,6175.43257476239,322,220.58064516129,5700.4870421549,5807.71919817504,781,210.69741697417,5530.5972656814,6706.01565790776,1716,202.466814159292,6052.22862238314,6438.54554486263,211,183.19801980198,5841.34963487208,6029.14339637917,1181,164.238636363636
20170405_R13_2cm,6980.31162149805,7188.33684233854,280,228.087591240876,6877.47253387656,6926.96147479056,735,218.90756302521,6527.23521338289,7481.20494967336,1394,196.173267326733,7196.4178193847,7517.58123738822,407,189.341463414634,7030.94578140499,7192.26221241508,1376,175.625
20170405_R14_0cm,10014.1653752045,9971.79198065672,256,238.735632183908,10009.6229746546,9939.70639015324,518,241.204379562044,9311.94871720474,9738.77003084499,899,222.208,10216.873106511,10370.0843885693,428,212.984848484849,10174.2303632225,10256.8033134649,2424,200.231292517007
20170405_R15_3cm,10671.5616317881,10574.2787438936,215,256.714285714286,10685.4833957974,10589.8105416978,521,245.609523809524,9928.66548328794,10243.6850837067,963,249.176795580111,10868.9854507279,10981.5292253973,488,226.257142857143,10851.8212977847,10916.2148570106,1834,197.064814814815
20170405_R16_0cm,10847.2956535775,10738.092482351,93,283.235294117647,10864.1270133914,10763.7337302939,285,260.541666666667,10097.8014649963,10384.5020091196,632,260.648,11041.6508566735,11143.7108888864,221,239.684210526316,11029.5649619402,11089.7767149977,1437,206.2875
20170405_R8_3.5cmAV,4256.60048590826,4901.3633762174,821,210.285,3998.50428275387,4269.76072716748,2821,194.402010050251,4253.32205620602,5787.74425023138,3216,177.456721915285,4353.93729902666,4853.09422835664,467,176.083333333333,4047.42540589411,4276.07224655341,7759,154.658914728682
20170405_R9_5cm,5161.39346049881,5686.8460826244,1118,218.826923076923,4990.04873643582,5172.65505159297,2544,212.845878136201,5056.07736310549,6445.89571527703,3167,203.706310679612,5345.9631383628,5830.34925182629,872,182.038461538462,5107.21038138403,5322.06545995677,8671,178.219512195122
20170406_R1L_4.5cm,5446.07699759073,6835.63813587565,2120,191.034482758621,5120.4601401149,5789.84962252026,4457,177.095041322314,6736.3891147457,8825.30548172337,1842,138.517391304348,5142.36623465624,5829.60357711453,1408,157.49494949495,4869.39764092614,5112.05048307605,10276,139.490476190476
20170406_R2_1cm,4534.26748257183,5934.52267334709,2293,171.735294117647,4194.80871413326,4851.66215135936,3842,173.347962382445,5771.79934254735,7871.58244705633,2850,140.40251572327,4216.49696268384,4912.47457392963,1557,132.771241830065,3933.74039138721,4164.16361791699,10489,125.949090909091
20170406_R3_13.5cm,3935.26136815376,5311.89979661927,2923,151.247058823529,3555.95259065635,4191.52955694596,5318,152.823376623377,5091.47475979313,7184.5915774456,3617,135.820779220779,3599.34733704328,4286.23251616232,3986,118.367924528302,3281.84592498817,3496.6426877475,19529,116.633867276888
20170406_R4_3cm,3214.0047658075,4479.40018759037,4071,133.4,2733.38278403305,3325.74533530965,16798,139.830747531735,4155.12451162855,6213.15885417451,10748,117.710067114094,2882.45816610096,3530.68786874649,6091,99.4398976982097,2456.69879715215,2652.8768724875,58831,99.0898203592814
20170406_R5_2.5cmAV,2986.24027241212,4222.21121714757,4817,95.2712609970674,2440.87924719826,3069.87041391697,18562,103.632508833922,3797.27508642705,5848.69476483048,12692,99.1120186697783,2685.3257195491,3374.47304877452,8808,68.8219178082192,2192.82993030027,2451.08834029733,96333,79.609977324263
20170406_R6_3cm,2995.81630934671,4225.9486343525,5526,83.7400881057269,2446.40742062558,3089.49452574504,23818,106.059665871122,3771.03481587319,5814.27810842383,13422,93.6828978622328,2715.37730188062,3420.68819686733,8327,63.687595712098,2220.03326372188,2506.37802420272,100735,77.950056753689
20170407_R18_5cm,11817.4170748072,11617.6699229189,152,271.895833333333,11868.8027839595,11719.8054634194,412,276.6,10998.9625354169,11125.0389272811,739,247.292517006803,12020.9514041187,12066.9092215323,85,235.821428571429,12044.9184488055,12079.6110756028,962,223.5
20170407_R19_0cm,15340.9721586159,14887.6700438872,135,278.463414634146,15475.9505921932,15215.5401576924,305,280.530303030303,14375.889870219,14019.9060298575,534,265.619402985075,15546.5868413958,15430.8949931767,55,228.4,15658.602450208,15626.5337816558,639,219.402985074627
20170407_R20_0cm,18773.9268896653,18094.4115737141,74,288.09375,18973.6134064794,18616.1359482938,185,288.040816326531,17698.7427278288,16931.2538202028,324,268.60396039604,18976.3259688202,18701.0605949048,404,241.526315789474,19159.4644408673,19065.20029952,770,222.6
20170407_R21_6cm,19951.4317685478,19198.5938281628,82,244.965517241379,20167.3056655346,19781.1650103814,112,257.777777777778,18846.2302627027,17944.9350637378,299,257.728070175439,20158.4080050505,19830.2733721004,218,180.684210526316,20355.1458761391,20241.8590312305,950,223.627906976744
20170407_R22_2cm,20505.8431928029,19719.9875497669,61,292.538461538462,20727.3356058308,20329.6321625363,88,301.029411764706,19389.6938515279,18425.5946152093,294,276.150537634409,20714.4668048634,20363.5061855329,40,261.315789473684,20915.3537078971,20794.2357236271,281,233.871794871795
20170407_R23_0.5cm,24599.5300811168,23597.4749866267,34,279.454545454545,24842.7946539422,24370.1375758531,39,277.44,23444.1345828331,22042.8756405118,232,286.688679245283,24811.508359866,24316.5960340316,19,226.857142857143,25028.8758460382,24860.2291577133,45,248.842105263158
