Sample,SAMPLE TYPE ,TEXTURAL GROUP ,SEDIMENT NAME ,MoM_ari_MEAN,MoM_ari_SORTING,MoM_ari_SKEWNESS,MoM_ari_KURTOSIS,MoM_geo_MEAN,MoM_geo_SORTING,MoM_geo_SKEWNESS,MoM_geo_KURTOSIS,MoM_log_MEAN,MoM_log_SORTING,MoM_log_SKEWNESS,MoM_log_KURTOSIS,FW_geo_MEAN,FW_geo_SORTING,FW_geo_SKEWNESS,FW_geo_KURTOSIS,FW_log_MEAN,FW_log_SORTING,FW_log_SKEWNESS,FW_log_KURTOSIS,FW_des_MEAN,FW_des_SORTING,FW_des_SKEWNESS,FW_des_KURTOSIS,MODE 1 (µm),MODE 2 (µm),MODE 3 (µm),MODE 1 (f),MODE 2 (f),MODE 3 (f),D10 (µm),D50 (µm),D90 (µm),(D90 div D10) (µm),(D90 - D10) (µm),(D75 div D25) (µm),(D75 - D25) (µm),D10 (f),D50 (f),D90 (f),(D90 div D10) (f),(D90 - D10) (f),(D75 div D25) (f),(D75 - D25) (f),perc GRAVEL,perc SAND,perc MUD,perc V COARSE GRAVEL,perc COARSE GRAVEL,perc MEDIUM GRAVEL,perc FINE GRAVEL,perc V FINE GRAVEL,perc V COARSE SAND,perc COARSE SAND,perc MEDIUM SAND,perc FINE SAND,perc V FINE SAND,perc V COARSE SILT,perc COARSE SILT,perc MEDIUM SILT,perc FINE SILT,perc V FINE SILT,perc CLAY
Schlei_S1,"Trimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Fine Silt,42.65,88.3,3.885,19.82,12.54,4.889,0.095,2.73,6.318,2.29,-0.095,2.73,12.48,5.12,0.064,1.056,6.324,2.356,-0.064,1.056,Medium Silt,Very Poorly Sorted,Symmetrical,Mesokurtic,6.166,0.599,340.3,7.343,10.71,1.557,1.819,11.53,92.82,51.04,91,8.995,33.99,3.429,6.438,9.103,2.654,5.673,1.673,3.169,0.0,15.7,84.3,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.7,3.0,8.2,13.4,14.2,16.3,17.4,12.2,10.8
Schlei_S10,"Unimodal, Poorly Sorted",Slightly Gravelly Sand,Slightly Very Fine Gravelly Fine Sand,277.8,219.9,2.603,14.41,207.8,2.367,-1.472,8.264,2.267,1.243,1.472,8.264,219.9,2.02,-0.034,1.053,2.185,1.014,0.034,1.053,Fine Sand,Poorly Sorted,Symmetrical,Mesokurtic,213.5,,,2.23,,,89.38,220.7,527.4,5.901,438,2.523,211.4,0.923,2.18,3.484,3.775,2.561,1.882,1.335,0.1,95.0,5.0,0.0,0.0,0.0,0.0,0.1,1.4,10.1,31.3,36.7,15.5,1.9,1.0,0.8,0.8,0.5,0.0
Schlei_S10_15cm,"Unimodal, Poorly Sorted",Slightly Gravelly Muddy Sand,Slightly Very Fine Gravelly Very Coarse Silty Medium Sand,269,223.7,2.104,10.76,176.7,3.099,-1.567,6.209,2.501,1.632,1.567,6.209,200.9,2.761,-0.282,1.474,2.316,1.465,0.282,1.474,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,257.2,,,1.96,,,52.31,217,535.4,10.24,483.1,2.997,238.6,0.901,2.204,4.257,4.723,3.356,2.069,1.583,0.0,88.4,11.6,0.0,0.0,0.0,0.0,0.0,1.3,10.6,30.9,30.7,14.8,4.1,2.0,2.0,2.0,1.3,0.3
Schlei_S11,"Bimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,53.97,91.8,4.056,22.58,21.57,4.327,-0.322,2.826,5.535,2.113,0.322,2.826,21.6,4.229,-0.228,0.935,5.533,2.08,0.228,0.935,Coarse Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,52.68,7.43,,4.248,7.074,,2.958,28.49,102.7,34.73,99.77,8.142,52.64,3.283,5.133,8.401,2.559,5.118,1.745,3.025,0.0,23.5,76.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.4,2.9,16.2,24.1,14.1,12.2,12.3,8.0,5.8
Schlei_S118_15cm,"Unimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Coarse Silt,27.15,31.01,2.442,10.18,15.65,3.023,-0.253,2.887,5.998,1.596,0.253,2.887,15.77,3.043,-0.067,0.997,5.987,1.605,0.067,0.997,Coarse Silt,Poorly Sorted,Symmetrical,Mesokurtic,20.73,,,5.594,,,3.58,16.67,63.63,17.77,60.05,4.521,26.26,3.974,5.907,8.126,2.045,4.152,1.445,2.177,0.0,10.3,89.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,7.9,17.2,24.8,21.5,14.9,8.0,3.3
Schlei_S12,"Bimodal, Very Poorly Sorted",Slightly Gravelly Muddy Sand,Slightly Very Fine Gravelly Medium Silty Medium Sand,355.8,380.1,2.256,8.482,179,4.494,-1.269,4.203,2.482,2.168,1.269,4.203,176,4.372,-0.422,2.133,2.507,2.128,0.422,2.133,Fine Sand,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,282.4,1378.7,,1.826,-0.462,,12.96,257.4,776.6,59.9,763.6,2.822,266.3,0.365,1.958,6.269,17.19,5.905,2.172,1.497,0.4,81.5,18.1,0.0,0.0,0.0,0.0,0.4,7.0,10.7,33.6,26.5,3.7,3.4,3.7,4.1,4.1,2.3,0.6
Schlei_S13,"Bimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,59.68,87.61,5.527,48.07,26.19,4.572,-0.734,3.021,5.255,2.193,0.734,3.021,27.19,4.298,-0.439,0.863,5.201,2.104,0.439,0.863,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,69.69,8.157,,3.844,6.939,,2.895,42.4,120.5,41.61,117.6,8.921,70.65,3.053,4.56,8.432,2.762,5.379,1.865,3.157,0.0,35.5,64.5,0.0,0.0,0.0,0.0,0.0,0.1,0.9,1.1,6.9,26.5,21.9,9.8,9.7,9.6,7.0,6.5
Schlei_S14,"Bimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Medium Sand,213.1,196.7,1.143,4.134,91.86,6.262,-1.517,5.148,3.444,2.647,1.517,5.148,95.57,5.487,-0.508,1.248,3.387,2.456,0.508,1.248,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,282.4,6.166,,1.826,7.343,,5.405,166.4,490.5,90.74,485.1,6.164,269.3,1.028,2.587,7.531,7.328,6.504,2.603,2.624,0.0,72.6,27.4,0.0,0.0,0.0,0.0,0.0,0.1,9.3,25.8,23.1,14.3,6.8,3.6,4.4,5.0,3.5,4.2
Schlei_S15,"Unimodal, Very Poorly Sorted",Slightly Gravelly Muddy Sand,Slightly Very Fine Gravelly Very Coarse Silty Medium Sand,321.4,300.2,1.93,8.965,154,5.115,-1.251,3.677,2.699,2.355,1.251,3.677,148.2,4.952,-0.573,1.347,2.754,2.308,0.573,1.347,Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,340.3,,,1.557,,,8.916,275.1,655.9,73.56,647,4.974,350.2,0.608,1.862,6.809,11.19,6.201,2.945,2.314,0.1,76.7,23.2,0.0,0.0,0.0,0.0,0.1,3.2,15.6,35.8,18.3,3.7,4.9,4.4,4.9,4.8,3.0,1.3
Schlei_S16,"Trimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,51.93,94.2,3.845,20.65,18.82,4.337,0.022,2.557,5.731,2.117,-0.022,2.557,18.36,4.381,-0.02,0.92,5.768,2.131,0.02,0.92,Coarse Silt,Very Poorly Sorted,Symmetrical,Mesokurtic,47.99,7.43,340.3,4.383,7.074,1.557,2.829,19.71,111.3,39.34,108.5,8.761,47.96,3.168,5.665,8.465,2.672,5.298,1.744,3.131,0.0,21.2,78.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,3.9,12.4,18.6,15.0,14.9,15.0,9.9,5.4
