Sample,SAMPLE TYPE ,TEXTURAL GROUP ,SEDIMENT NAME ,MoM_ari_MEAN,MoM_ari_SORTING,MoM_ari_SKEWNESS,MoM_ari_KURTOSIS,MoM_geo_MEAN,MoM_geo_SORTING,MoM_geo_SKEWNESS,MoM_geo_KURTOSIS,MoM_log_MEAN,MoM_log_SORTING,MoM_log_SKEWNESS,MoM_log_KURTOSIS,FW_geo_MEAN,FW_geo_SORTING,FW_geo_SKEWNESS,FW_geo_KURTOSIS,FW_log_MEAN,FW_log_SORTING,FW_log_SKEWNESS,FW_log_KURTOSIS,FW_des_MEAN,FW_des_SORTING,FW_des_SKEWNESS,FW_des_KURTOSIS,MODE 1 (µm),MODE 2 (µm),MODE 3 (µm),MODE 1 (f),MODE 2 (f),MODE 3 (f),D10 (µm),D50 (µm),D90 (µm),(D90 div D10) (µm),(D90 - D10) (µm),(D75 div D25) (µm),(D75 - D25) (µm),D10 (f),D50 (f),D90 (f),(D90 div D10) (f),(D90 - D10) (f),(D75 div D25) (f),(D75 - D25) (f),perc GRAVEL,perc SAND,perc MUD,perc V COARSE GRAVEL,perc COARSE GRAVEL,perc MEDIUM GRAVEL,perc FINE GRAVEL,perc V FINE GRAVEL,perc V COARSE SAND,perc COARSE SAND,perc MEDIUM SAND,perc FINE SAND,perc V FINE SAND,perc V COARSE SILT,perc COARSE SILT,perc MEDIUM SILT,perc FINE SILT,perc V FINE SILT,perc CLAY
Schlei_S17,"Unimodal, Moderately Well Sorted",Slightly Gravelly Mud,Slightly Very Fine Gravelly Mud,2.625,2.169,78.39,18220.3,2.355,1.51,1.469,6.044,8.73,0.595,-1.469,6.044,2.279,1.466,0.38,1.029,8.778,0.552,-0.38,1.029,Very Fine Silt,Moderately Well Sorted,Very Coarse Skewed,Mesokurtic,1.522,,,9.362,,,1.552,2.112,4.15,2.674,2.598,1.661,1.141,7.913,8.887,9.332,1.179,1.419,1.087,0.732,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.1,1.5,10.1,47.4,40.9
Schlei_S18,"Unimodal, Moderately Well Sorted",Mud,Clay,0.722,0.764,13.28,617.1,0.6,1.653,1.998,7.778,10.7,0.725,-1.998,7.778,0.561,1.536,0.45,1.439,10.8,0.619,-0.45,1.439,Clay,Moderately Well Sorted,Very Coarse Skewed,Leptokurtic,0.453,,,11.11,,,0.385,0.519,1.181,3.065,0.796,1.585,0.252,9.726,10.91,11.34,1.166,1.616,1.063,0.665,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,3.7,95.4
Schlei_S18_15cm,"Trimodal, Moderately Sorted",Mud,Clay,1.163,1.329,10.46,369.1,0.893,1.885,1.246,4.393,10.13,0.915,-1.246,4.393,0.871,1.852,0.449,1.055,10.17,0.889,-0.449,1.055,Clay,Moderately Sorted,Very Coarse Skewed,Mesokurtic,0.657,0.497,1.671,10.57,10.98,9.227,0.467,0.731,2.299,4.923,1.832,2.169,0.674,8.765,10.42,11.06,1.262,2.299,1.116,1.117,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,2.7,10.5,86.3
Schlei_S19,"Bimodal, Moderately Well Sorted",Slightly Gravelly Mud,Slightly Very Fine Gravelly Fine Silt,5.728,10.13,15.76,339.7,4.699,1.579,2.707,17.28,7.733,0.659,-2.707,17.28,4.491,1.46,0.294,1.156,7.799,0.546,-0.294,1.156,Fine Silt,Moderately Well Sorted,Coarse Skewed,Leptokurtic,3.868,2.924,,8.016,8.42,,3.005,4.278,7.958,2.648,4.953,1.586,2.057,6.973,7.869,8.378,1.201,1.405,1.089,0.666,0,0.6,99.4,0,0,0,0,0,0,0,0,0.2,0.4,0,1.1,8.7,51.4,38.1,0
Schlei_S1_15cm,"Unimodal, Moderately Well Sorted",Mud,Clay,0.651,0.698,12.46,635.8,0.54,1.656,1.934,8.008,10.86,0.728,-1.934,8.008,0.508,1.544,0.349,1.47,10.94,0.626,-0.349,1.47,Clay,Moderately Well Sorted,Very Coarse Skewed,Leptokurtic,0.412,,,11.25,,,0.337,0.481,0.973,2.889,0.636,1.598,0.235,10.01,11.02,11.54,1.153,1.531,1.064,0.677,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,2.9,96.3
Schlei_S2,"Unimodal, Moderately Well Sorted",Slightly Gravelly Mud,Slightly Very Fine Gravelly Mud,2.475,2.061,47.8,7052,2.203,1.534,1.345,5.889,8.826,0.617,-1.345,5.889,2.138,1.494,0.314,1.021,8.87,0.579,-0.314,1.021,Very Fine Silt,Moderately Well Sorted,Very Coarse Skewed,Mesokurtic,1.522,,,9.362,,,1.402,2.007,3.939,2.81,2.537,1.708,1.133,7.988,8.961,9.479,1.187,1.49,1.091,0.772,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.1,1.2,8.9,42.5,47.2
Schlei_S20,"Unimodal, Very Well Sorted",Mud,Clay,0.057,0.029,369.3,1387870.3,0.054,1.287,2.245,12.97,14.17,0.364,-2.245,12.97,0.053,1.24,0.435,1.046,14.2,0.311,-0.435,1.046,Clay,Very Well Sorted,Very Coarse Skewed,Mesokurtic,0.044,,,14.48,,,0.043,0.051,0.076,1.748,0.032,1.33,0.015,13.69,14.27,14.5,1.059,0.806,1.029,0.411,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Schlei_S21,"Unimodal, Moderately Well Sorted",Mud,Clay,0.399,0.364,21.49,2624.7,0.352,1.533,1.755,8.976,11.47,0.616,-1.755,8.976,0.34,1.451,0.213,1.015,11.52,0.537,-0.213,1.015,Clay,Moderately Well Sorted,Coarse Skewed,Mesokurtic,0.284,,,11.78,,,0.225,0.327,0.579,2.576,0.354,1.651,0.17,10.75,11.58,12.12,1.127,1.365,1.065,0.723,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,99.2
Schlei_S22,"Unimodal, Moderately Well Sorted",Mud,Mud,2.878,2.82,9.077,162.6,2.408,1.669,1.508,6.264,8.698,0.739,-1.508,6.264,2.312,1.6,0.349,1.074,8.757,0.678,-0.349,1.074,Very Fine Silt,Moderately Well Sorted,Very Coarse Skewed,Mesokurtic,1.671,,,9.227,,,1.43,2.127,4.805,3.359,3.374,1.831,1.381,7.701,8.877,9.449,1.227,1.748,1.104,0.873,0,0,100,0,0,0,0,0,0,0,0,0,0,0.1,0.6,2.7,11.9,43,41.7
Schlei_S23,"Unimodal, Moderately Well Sorted",Mud,Clay,0.61,0.57,13.14,717.1,0.529,1.554,2.112,9.5,10.88,0.636,-2.112,9.5,0.501,1.45,0.325,1.284,10.96,0.536,-0.325,1.284,Clay,Moderately Well Sorted,Very Coarse Skewed,Leptokurtic,0.412,,,11.25,,,0.35,0.481,0.849,2.428,0.499,1.55,0.218,10.2,11.02,11.48,1.125,1.28,1.059,0.632,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,2,97.5
