Sample,Frequency,FrequencyA500,FrequencyB500,MPmass,Mass,Split,MP_D50,Concentration,ConcentrationA500,ConcentrationB500,ConcentrationA500_div_B500,MassConcentration,Depth,LON,LAT,Dist_Marina,Dist_WWTP,Dist_WWTP2,SAMPLE TYPE ,TEXTURAL GROUP ,SEDIMENT NAME ,MoM_ari_MEAN,MoM_ari_SORTING,MoM_ari_SKEWNESS,MoM_ari_KURTOSIS,MoM_geo_MEAN,MoM_geo_SORTING,MoM_geo_SKEWNESS,MoM_geo_KURTOSIS,MoM_log_MEAN,MoM_log_SORTING,MoM_log_SKEWNESS,MoM_log_KURTOSIS,FW_geo_MEAN,FW_geo_SORTING,FW_geo_SKEWNESS,FW_geo_KURTOSIS,FW_log_MEAN,FW_log_SORTING,FW_log_SKEWNESS,FW_log_KURTOSIS,FW_des_MEAN,FW_des_SORTING,FW_des_SKEWNESS,FW_des_KURTOSIS,SED_MODE1,SED_MODE2,SED_MODE3,MODE 1 (f),MODE 2 (f),MODE 3 (f),SED_D10,SED_D50,SED_D90,(D90 div D10) (µm),(D90 - D10) (µm),(D75 div D25) (µm),(D75 - D25) (µm),D10 (f),D50 (f),D90 (f),(D90 div D10) (f),(D90 - D10) (f),(D75 div D25) (f),(D75 - D25) (f),perc_GRAVEL,perc_SAND,perc_MUD,perc V COARSE GRAVEL,perc COARSE GRAVEL,perc MEDIUM GRAVEL,perc FINE GRAVEL,perc V FINE GRAVEL,perc V COARSE SAND,perc COARSE SAND,perc MEDIUM SAND,perc FINE SAND,perc V FINE SAND,perc V COARSE SILT,perc COARSE SILT,perc MEDIUM SILT,perc FINE SILT,perc V FINE SILT,perc_CLAY,OM_D50,TOC,Hg,TIC,regio_sep,PC1,PC2
S10,300.0,38.0,262.0,638.0052244154489,0.25,1.0,85.71464106996271,1200.0,152.0,1048.0,0.1450381679389313,2552.0,0.8,9.60355,54.5252666666667,824,27.5,27.5,"Unimodal, Poorly Sorted",Slightly Gravelly Sand,Slightly Very Fine Gravelly Fine Sand,277.8,219.9,2.603,14.41,207.8,2.367,-1.472,8.264,2.267,1.243,1.472,8.264,219.9,2.02,-0.034,1.053,2.185,1.014,0.034,1.053,Fine Sand,Poorly Sorted,Symmetrical,Mesokurtic,213.5,,,2.23,,,89.38,220.7,527.4,5.901,438.0,2.523,211.4,0.923,2.18,3.484,3.775,2.561,1.882,1.335,0.1,95.0,5.0,0.0,0.0,0.0,0.0,0.1,1.4,10.1,31.3,36.7,15.5,1.9,1.0,0.8,0.8,0.5,0.0,73.5,0.3995,5.0,0.21,WWTP,-0.4751466740250474,-0.0931521793649218
S10d,464.0,163.0,301.0,7077.299280447078,0.03,1.0,109.13979240396873,15467.0,5433.0,10033.0,0.5415130070766471,235910.0,0.8,9.60355,54.5252666666667,824,27.5,27.5,"Unimodal, Poorly Sorted",Slightly Gravelly Muddy Sand,Slightly Very Fine Gravelly Very Coarse Silty Medium Sand,269.0,223.7,2.104,10.76,176.7,3.099,-1.567,6.209,2.501,1.632,1.567,6.209,200.9,2.761,-0.282,1.474,2.316,1.465,0.282,1.474,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,257.2,,,1.96,,,52.31,217.0,535.4,10.24,483.1,2.997,238.6,0.901,2.204,4.257,4.723,3.356,2.069,1.583,0.0,88.4,11.6,0.0,0.0,0.0,0.0,0.0,1.3,10.6,30.9,30.7,14.8,4.1,2.0,2.0,2.0,1.3,0.3,27.1,0.1685,16.2791,0.225,WWTP,-0.4051509610191491,-0.04749999809703367
S11,187.0,33.0,154.0,338.5703132608747,0.081,0.5,96.65402216152208,2309.0,407.0,1901.0,0.2140978432403998,4180.0,2.9,9.61441666666667,54.5237666666667,379,750.0,750.0,"Bimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,53.97,91.8,4.056,22.58,21.57,4.327,-0.322,2.826,5.535,2.113,0.322,2.826,21.6,4.229,-0.228,0.935,5.533,2.08,0.228,0.935,Coarse Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,52.68,7.43,,4.248,7.074,,2.958,28.49,102.7,34.73,99.77,8.142,52.64,3.283,5.133,8.401,2.559,5.118,1.745,3.025,0.0,23.5,76.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.4,2.9,16.2,24.1,14.1,12.2,12.3,8.0,5.8,45.4,10.8215,221.3,0.645,WWTP,0.28875026918371804,-0.011884332642344769
S13,335.0,47.0,288.0,393.9034743845603,0.071,0.25,90.78546139112804,4718.0,662.0,4056.0,0.16321499013806706,5548.0,3.0,9.62153333333333,54.5156666666667,1320,1605.0,1605.0,"Bimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,59.68,87.61,5.527,48.07,26.19,4.572,-0.734,3.021,5.255,2.193,0.734,3.021,27.19,4.298,-0.439,0.863,5.201,2.104,0.439,0.863,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,69.69,8.157,,3.844,6.939,,2.895,42.4,120.5,41.61,117.6,8.921,70.65,3.053,4.56,8.432,2.762,5.379,1.865,3.157,0.0,35.5,64.5,0.0,0.0,0.0,0.0,0.0,0.1,0.9,1.1,6.9,26.5,21.9,9.8,9.7,9.6,7.0,6.5,73.9,6.9315,172.9,0.465,inner,0.23398021719996506,-0.14528005693637253
S14,37.0,2.0,35.0,12.088701567366268,0.25,1.0,74.64583042608609,148.0,8.0,140.0,0.05714285714285714,48.0,2.3,9.63885,54.5171666666667,950,2933.0,2933.0,"Bimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Medium Sand,213.1,196.7,1.143,4.134,91.86,6.262,-1.517,5.148,3.444,2.647,1.517,5.148,95.57,5.487,-0.508,1.248,3.387,2.456,0.508,1.248,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,282.4,6.166,,1.826,7.343,,5.405,166.4,490.5,90.74,485.1,6.164,269.3,1.028,2.587,7.531,7.328,6.504,2.603,2.624,0.0,72.6,27.4,0.0,0.0,0.0,0.0,0.0,0.1,9.3,25.8,23.1,14.3,6.8,3.6,4.4,5.0,3.5,4.2,99.5,1.0503,31.2,0.39,inner,-0.25166370632344304,-0.026519787270019152
S15,107.0,11.0,96.0,142.921131900293,0.25,1.0,94.64142856064674,428.0,44.0,384.0,0.11458333333333333,572.0,2.2,9.64575,54.52005,1382,3455.0,3455.0,"Unimodal, Very Poorly Sorted",Slightly Gravelly Muddy Sand,Slightly Very Fine Gravelly Very Coarse Silty Medium Sand,321.4,300.2,1.93,8.965,154.0,5.115,-1.251,3.677,2.699,2.355,1.251,3.677,148.2,4.952,-0.573,1.347,2.754,2.308,0.573,1.347,Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,340.3,,,1.557,,,8.916,275.1,655.9,73.56,647.0,4.974,350.2,0.608,1.862,6.809,11.19,6.201,2.945,2.314,0.1,76.7,23.2,0.0,0.0,0.0,0.0,0.1,3.2,15.6,35.8,18.3,3.7,4.9,4.4,4.9,4.8,3.0,1.3,28.0,0.64,11.0,0.225,inner,-0.3364219554838393,0.16519843832510606
S16,457.0,39.0,418.0,220.57005994790288,0.09,0.25,82.64986388373546,5078.0,433.0,4644.0,0.09323858742463394,2451.0,3.5,9.67003333333333,54.5139666666667,1500,4729.0,4729.0,"Trimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,51.93,94.2,3.845,20.65,18.82,4.337,0.022,2.557,5.731,2.117,-0.022,2.557,18.36,4.381,-0.02,0.92,5.768,2.131,0.02,0.92,Coarse Silt,Very Poorly Sorted,Symmetrical,Mesokurtic,47.99,7.43,340.3,4.383,7.074,1.557,2.829,19.71,111.3,39.34,108.5,8.761,47.96,3.168,5.665,8.465,2.672,5.298,1.744,3.131,0.0,21.2,78.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,3.9,12.4,18.6,15.0,14.9,15.0,9.9,5.4,37.7,12.146,230.9,0.42,inner,0.2831738060346912,0.040882692189352705
S17,149.0,13.0,136.0,72.82089662523946,0.25,1.0,83.83913167489273,596.0,52.0,544.0,0.09558823529411764,291.0,2.3,9.68298333333333,54.5072166666667,1126,5643.0,5643.0,"Unimodal, Poorly Sorted",Slightly Gravelly Sand,Slightly Very Fine Gravelly Medium Sand,475.2,312.5,1.254,5.533,329.8,3.235,-2.345,8.999,1.6,1.694,2.345,8.999,406.9,2.615,-0.306,2.201,1.297,1.387,0.306,2.201,Medium Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,410.1,,,1.288,,,159.8,415.5,878.6,5.498,718.8,2.24,341.3,0.187,1.267,2.646,14.17,2.459,2.668,1.164,0.1,91.8,8.1,0.0,0.0,0.0,0.0,0.1,6.4,31.1,41.7,12.0,0.6,1.4,1.4,2.0,1.9,1.1,0.2,47.5,0.6665,10.0,0.31,inner,-0.48408381072809453,0.29489116158727796
S19,52.0,4.0,48.0,17.496347738746135,0.25,1.0,68.12471096615599,208.0,16.0,192.0,0.08333333333333333,70.0,0.6,9.70261666666667,54.51255,2375,6836.0,6836.0,"Unimodal, Moderately Well Sorted",Slightly Gravelly Sand,Slightly Very Fine Gravelly Fine Sand,214.3,139.3,5.286,54.6,183.8,1.815,-1.64,12.56,2.444,0.86,1.64,12.56,188.4,1.612,0.007,0.976,2.408,0.689,-0.007,0.976,Fine Sand,Moderately Well Sorted,Symmetrical,Mesokurtic,177.1,,,2.499,,,102.0,187.8,348.3,3.416,246.4,1.928,125.8,1.521,2.413,3.294,2.165,1.772,1.489,0.947,0.0,98.3,1.7,0.0,0.0,0.0,0.0,0.0,0.5,1.3,26.1,52.2,18.2,0.2,0.4,0.6,0.4,0.1,0.0,31.5,0.0615,3.7,0.11,inner,-0.46757088458509205,-0.24149207071624368
S20,384.0,27.0,357.0,158.54034895615084,0.20000000000000004,0.25,92.10863151735563,1920.0,135.0,1785.0,0.07563025210084033,793.0,3.5,9.69136666666667,54.52185,1436,6230.0,6230.0,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,104.5,69.31,0.291,2.527,57.12,5.379,-2.227,8.077,4.13,2.427,2.227,8.077,63.59,3.857,-0.621,1.954,3.975,1.947,0.621,1.954,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,133.9,,,2.902,,,4.907,102.7,197.8,40.31,192.9,2.723,95.24,2.338,3.284,7.671,3.281,5.333,1.529,1.445,0.0,72.2,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,34.8,34.9,8.2,3.2,3.7,4.2,3.5,5.1,37.4,1.3055,30.6,0.32,inner,-0.10367977627479022,-0.3579084210397293
