Sample,Frequency,FrequencyA500,FrequencyB500,MPmass,Mass,Split,MP_D50,Concentration,ConcentrationA500,ConcentrationB500,ConcentrationA500_div_B500,MassConcentration,Depth,LON,LAT,Dist_Marina,Dist_WWTP,Dist_WWTP2,SAMPLE TYPE ,TEXTURAL GROUP ,SEDIMENT NAME ,MoM_ari_MEAN,MoM_ari_SORTING,MoM_ari_SKEWNESS,MoM_ari_KURTOSIS,MoM_geo_MEAN,MoM_geo_SORTING,MoM_geo_SKEWNESS,MoM_geo_KURTOSIS,MoM_log_MEAN,MoM_log_SORTING,MoM_log_SKEWNESS,MoM_log_KURTOSIS,FW_geo_MEAN,FW_geo_SORTING,FW_geo_SKEWNESS,FW_geo_KURTOSIS,FW_log_MEAN,FW_log_SORTING,FW_log_SKEWNESS,FW_log_KURTOSIS,FW_des_MEAN,FW_des_SORTING,FW_des_SKEWNESS,FW_des_KURTOSIS,SED_MODE1,SED_MODE2,SED_MODE3,MODE 1 (f),MODE 2 (f),MODE 3 (f),SED_D10,SED_D50,SED_D90,(D90 div D10) (µm),(D90 - D10) (µm),(D75 div D25) (µm),(D75 - D25) (µm),D10 (f),D50 (f),D90 (f),(D90 div D10) (f),(D90 - D10) (f),(D75 div D25) (f),(D75 - D25) (f),perc_GRAVEL,perc_SAND,perc_MUD,perc V COARSE GRAVEL,perc COARSE GRAVEL,perc MEDIUM GRAVEL,perc FINE GRAVEL,perc V FINE GRAVEL,perc V COARSE SAND,perc COARSE SAND,perc MEDIUM SAND,perc FINE SAND,perc V FINE SAND,perc V COARSE SILT,perc COARSE SILT,perc MEDIUM SILT,perc FINE SILT,perc V FINE SILT,perc_CLAY,OM_D50,TOC,Hg,TIC,regio_sep,PC1,PC2
S21,477.0,106.0,371.0,473.66102751490376,0.08,0.25,112.65433857601757,5962.0,1325.0,4638.0,0.2856834842604571,5921.0,2.1,9.73118333333333,54.5275666666667,523,9723.0,9723.0,"Trimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,38.29,71.65,5.093,35.01,14.23,4.547,-0.275,2.798,6.135,2.185,0.275,2.798,14.68,4.454,-0.111,0.901,6.09,2.155,0.111,0.901,Medium Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,52.68,7.43,0.545,4.248,7.074,10.84,2.084,15.32,83.4,40.03,81.32,9.233,41.52,3.584,6.028,8.907,2.485,5.323,1.725,3.207,0.0,17.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.7,1.7,12.9,18.1,14.5,15.3,15.4,10.4,9.3,28.2,10.9955,173.3,0.405,middle,0.3297586542324816,0.0327669243012607
S22,50.0,5.0,45.0,46.535738548658244,0.066,1.0,76.65038085648958,758.0,76.0,682.0,0.11143695014662756,705.0,4.0,9.76886666666667,54.5600833333333,537,14087.0,14087.0,"Unimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,43.95,31.4,0.916,3.643,31.34,2.553,-0.875,3.316,4.996,1.352,0.875,3.316,32.41,2.54,-0.316,1.051,4.948,1.345,0.316,1.051,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Mesokurtic,52.68,,,4.248,,,7.77,38.47,87.49,11.26,79.72,3.336,43.64,3.515,4.7,7.008,1.994,3.493,1.434,1.738,0.0,24.8,75.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,23.0,34.3,19.7,11.1,6.5,3.0,0.6,53.0,11.5525,175.6,0.455,middle,0.29840846089675926,-0.10930566877439504
S23,165.0,20.0,145.0,141.5782592889359,0.093,1.0,93.67496997597596,1774.0,215.0,1559.0,0.1379089159717768,1522.0,3.1,9.78108333333333,54.57215,1797,15662.0,14154.0,"Bimodal, Poorly Sorted",Mud,Medium Silt,25.19,53.91,7.219,65.93,10.91,3.659,-0.096,3.065,6.518,1.872,0.096,3.065,11.12,3.573,-0.056,0.936,6.49,1.837,0.056,0.936,Medium Silt,Poorly Sorted,Symmetrical,Mesokurtic,8.157,0.657,,6.939,10.57,,2.137,11.23,53.01,24.81,50.87,6.165,23.58,4.238,6.476,8.87,2.093,4.633,1.509,2.624,0.0,7.1,92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.2,5.6,15.1,18.7,19.3,18.5,12.4,8.8,112.0,12.224,231.7,0.426666666666667,middle,0.37044538529343796,0.14182616716921753
S24,36.0,12.0,24.0,161.49653591678046,0.188,0.5,155.86827288189758,191.0,64.0,128.0,0.5,859.0,4.7,9.81235,54.577,892,17538.0,12124.0,"Bimodal, Very Poorly Sorted",Slightly Gravelly Sandy Mud,Slightly Very Fine Gravelly Fine Sandy Fine Silt,147.3,224.3,3.308,19.69,43.26,5.978,-0.106,1.777,4.531,2.58,0.106,1.777,43.73,6.141,-0.107,0.688,4.515,2.618,0.107,0.688,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,234.3,6.768,,2.095,7.209,,3.829,50.42,402.4,105.1,398.6,24.01,200.6,1.313,4.31,8.029,6.113,6.716,3.032,4.586,0.1,47.7,52.3,0.0,0.0,0.0,0.0,0.1,1.1,5.0,14.5,16.0,11.0,7.3,9.8,12.3,12.6,8.1,2.2,23.7,1.979,50.6,3.465,middle,-0.007419104569673801,0.06037479287960817
S25,228.0,39.0,189.0,629.2690852536841,0.13,1.0,95.16300627824279,1754.0,300.0,1454.0,0.2063273727647868,4841.0,3.0,9.88715,54.6142833333333,473,24017.0,5771.0,"Unimodal, Poorly Sorted",Mud,Coarse Silt,28.51,44.01,12.54,258.6,17.23,2.763,-0.135,2.91,5.859,1.466,0.135,2.91,17.29,2.791,-0.089,0.977,5.854,1.481,0.089,0.977,Coarse Silt,Poorly Sorted,Symmetrical,Mesokurtic,22.76,,,5.459,,,4.29,18.31,61.28,14.29,56.99,4.077,26.63,4.028,5.771,7.865,1.952,3.837,1.42,2.027,0.0,9.6,90.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.3,8.1,19.7,26.7,21.7,13.7,7.0,1.6,46.7,8.713,166.0,0.215,middle,0.3554315860226177,0.0930061964432886
S26,19.0,3.0,16.0,8.84729891732973,0.25,1.0,119.05880899790658,76.0,12.0,64.0,0.1875,35.0,2.3,9.92366666666667,54.6247166666667,927,26567.0,3088.0,"Bimodal, Very Poorly Sorted",Slightly Gravelly Muddy Sand,Slightly Very Fine Gravelly Fine Silty Medium Sand,303.8,330.9,2.069,8.841,121.3,5.894,-0.922,2.772,3.043,2.559,0.922,2.772,112.1,6.157,-0.519,1.012,3.157,2.622,0.519,1.012,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,340.3,5.617,,1.557,7.478,,5.863,225.1,683.9,116.6,678.0,9.65,383.2,0.548,2.151,7.414,13.53,6.866,3.668,3.271,0.2,72.4,27.4,0.0,0.0,0.0,0.0,0.2,3.9,15.1,27.1,18.7,7.7,4.6,4.5,5.5,6.6,4.6,1.6,55.9,0.1885,17.6,3.07,middle,-0.2650013066514258,0.1135131082580441
S27,349.0,78.0,271.0,209.866983516029,0.25,0.25,96.91749068150702,1396.0,312.0,1084.0,0.2878228782287823,839.0,1.2,9.9332,54.6359166666667,195,28534.0,1435.0,"Unimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,38.21,69.65,6.656,59.99,16.45,4.268,-0.613,3.313,5.926,2.093,0.613,3.313,17.22,4.037,-0.304,0.936,5.86,2.013,0.304,0.936,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,43.72,,,4.517,,,2.345,22.15,76.92,32.81,74.58,7.424,40.99,3.7,5.497,8.736,2.361,5.036,1.657,2.892,0.0,15.7,84.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.1,12.8,24.0,18.5,13.1,11.9,8.5,8.2,35.9,6.8825,182.6,0.235,WWTP,0.3453196784370934,0.01727086479381748
S29,1165.0,159.0,1006.0,1493.884984054715,0.25,0.125,99.31767214348108,4660.0,636.0,4024.0,0.15805168986083498,5976.0,1.2,9.93985,54.6633,344,31509.0,1729.0,"Unimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,47.36,88.13,5.945,49.94,17.01,5.21,-0.67,3.495,5.877,2.381,0.67,3.495,18.29,4.909,-0.234,0.948,5.773,2.295,0.234,0.948,Coarse Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,63.49,,,3.979,,,2.088,21.81,103.4,49.51,101.3,9.896,53.19,3.274,5.519,8.904,2.719,5.63,1.811,3.307,0.0,23.4,76.6,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.9,4.4,16.9,18.7,14.6,13.3,12.2,8.3,9.4,131.0,5.7785,139.2687,0.49,outer,0.29120859989828063,-0.039003075811606974
S30,142.0,51.0,91.0,4499.035394950114,0.203,1.0,139.90886008750144,700.0,251.0,448.0,0.5602678571428571,22163.0,12.1,9.94451666666667,54.67195,403,32502.0,2750.0,"Polymodal, Very Poorly Sorted",Slightly Gravelly Sandy Mud,Slightly Very Fine Gravelly Very Fine Sandy Fine Silt,152.6,302.7,3.653,18.05,35.91,6.305,0.047,2.057,4.799,2.657,-0.047,2.057,36.26,6.393,-0.102,0.797,4.786,2.676,0.102,0.797,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,101.2,5.617,450.2,3.306,7.478,1.153,3.311,44.73,421.9,127.4,418.6,19.45,129.1,1.245,4.482,8.238,6.617,6.993,2.488,4.282,0.2,44.9,54.9,0.0,0.0,0.0,0.0,0.2,2.9,5.1,7.0,12.0,18.0,8.5,8.3,10.9,14.4,8.8,4.0,160.0,2.3875,56.0393,2.125,outer,0.07481072850176482,-0.015949240948750193
S31,12.0,1.0,11.0,1.7114190707585626,0.078,1.0,73.22235219004764,154.0,13.0,141.0,0.09219858156028368,22.0,4.0,10.0186333333333,54.6757,1462,37475.0,7860.0,"Unimodal, Poorly Sorted",Slightly Gravelly Muddy Sand,Slightly Very Fine Gravelly Very Coarse Silty Fine Sand,190.4,213.4,4.127,27.28,105.2,4.003,-1.52,5.707,3.249,2.001,1.52,5.707,115.0,3.409,-0.455,1.629,3.121,1.769,0.455,1.629,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,177.1,,,2.499,,,13.46,152.0,348.9,25.92,335.4,3.156,162.9,1.519,2.718,6.215,4.091,4.696,1.802,1.658,0.1,77.9,22.0,0.0,0.0,0.0,0.0,0.1,1.5,2.5,18.5,37.1,18.3,6.8,4.5,3.4,3.2,2.2,1.9,649.0,1.108,12.2936,0.385,outer,-0.2643115608372395,-0.1726674535854986
S32,845.0,254.0,591.0,5258.349835570911,0.179,0.25,127.7380131362626,4721.0,1419.0,3302.0,0.4297395517867959,29376.0,2.1,9.98658333333333,54.68735,170,36158.0,6130.0,"Bimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,62.72,72.51,4.365,32.93,34.07,3.727,-0.949,3.596,4.875,1.898,0.949,3.596,34.11,3.575,-0.436,1.069,4.873,1.838,0.436,1.069,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Mesokurtic,69.69,8.954,,3.844,6.805,,4.505,49.46,123.9,27.51,119.4,4.893,66.36,3.013,4.338,7.794,2.587,4.782,1.639,2.291,0.0,39.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.1,8.0,29.3,26.4,10.6,7.9,7.4,5.1,3.5,164.0,3.165,113.9237,0.17,outer,0.2069344483238631,-0.18568737017499412
