Sample,SAMPLE TYPE ,TEXTURAL GROUP ,SEDIMENT NAME ,MoM_ari_MEAN,MoM_ari_SORTING,MoM_ari_SKEWNESS,MoM_ari_KURTOSIS,MoM_geo_MEAN,MoM_geo_SORTING,MoM_geo_SKEWNESS,MoM_geo_KURTOSIS,MoM_log_MEAN,MoM_log_SORTING,MoM_log_SKEWNESS,MoM_log_KURTOSIS,FW_geo_MEAN,FW_geo_SORTING,FW_geo_SKEWNESS,FW_geo_KURTOSIS,FW_log_MEAN,FW_log_SORTING,FW_log_SKEWNESS,FW_log_KURTOSIS,FW_des_MEAN,FW_des_SORTING,FW_des_SKEWNESS,FW_des_KURTOSIS,MODE 1 (µm),MODE 2 (µm),MODE 3 (µm),MODE 1 (f),MODE 2 (f),MODE 3 (f),D10 (µm),D50 (µm),D90 (µm),(D90 div D10) (µm),(D90 - D10) (µm),(D75 div D25) (µm),(D75 - D25) (µm),D10 (f),D50 (f),D90 (f),(D90 div D10) (f),(D90 - D10) (f),(D75 div D25) (f),(D75 - D25) (f),perc GRAVEL,perc SAND,perc MUD,perc V COARSE GRAVEL,perc COARSE GRAVEL,perc MEDIUM GRAVEL,perc FINE GRAVEL,perc V FINE GRAVEL,perc V COARSE SAND,perc COARSE SAND,perc MEDIUM SAND,perc FINE SAND,perc V FINE SAND,perc V COARSE SILT,perc COARSE SILT,perc MEDIUM SILT,perc FINE SILT,perc V FINE SILT,perc CLAY
20170330_G25,"Bimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Fine Sand,242,213.9,1.773,6.83,141.8,3.982,-1.951,7.807,2.818,1.993,1.951,7.807,173.3,3.219,-0.282,1.719,2.529,1.687,0.282,1.719,Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic,234.3,1042.5,,2.095,-0.058,,34.69,184.7,520.9,15.02,486.2,3.111,213.2,0.941,2.436,4.849,5.154,3.908,1.98,1.637,0,85.4,14.6,0,0,0,0,0,1.4,9.6,24.4,31.8,18.2,5,2,1.8,1.7,1.5,2.6
20170330_G26,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,77.55,44.36,-0.325,2.154,48.03,4.1,-1.96,6.245,4.38,2.036,1.96,6.245,51.69,3.382,-0.726,2.091,4.274,1.758,0.726,2.091,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,101.2,,,3.306,,,4.851,85.26,130.4,26.88,125.5,2.373,63.71,2.939,3.552,7.688,2.616,4.748,1.392,1.247,0,68.4,31.6,0,0,0,0,0,0,0,0,13.2,55.2,10.3,4.4,4,4.1,3.3,5.5
20170330_G27,"Bimodal, Moderately Sorted",Slightly Gravelly Sand,Slightly Very Fine Gravelly Medium Sand,485.8,346.5,2.58,10.58,392.4,2.186,-3.55,31.37,1.35,1.128,3.55,31.37,403.7,1.719,0.071,1.36,1.309,0.782,-0.071,1.36,Medium Sand,Moderately Sorted,Symmetrical,Leptokurtic,410.1,2002.8,,1.288,-1,,216.4,402.8,764.5,3.533,548.1,1.846,251.3,0.387,1.312,2.208,5.7,1.821,2.02,0.885,0.7,97.9,1.4,0,0,0,0,0.7,5.2,25.6,53.1,12.5,1.5,0.3,0.2,0.1,0.1,0.1,0.5
20170330_G28,"Unimodal, Poorly Sorted",Sand,Poorly Sorted Medium Sand,444.8,226.5,-0.037,2.795,314.1,3.488,-2.812,11.35,1.671,1.803,2.812,11.35,411.2,2.437,-0.459,2.848,1.282,1.285,0.459,2.848,Medium Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,450.2,,,1.153,,,83.75,444,743.2,8.875,659.5,1.819,263.4,0.428,1.171,3.578,8.356,3.15,2.116,0.863,0,91.4,8.6,0,0,0,0,0,0.4,38.2,44.4,5.1,3.3,1.9,1.3,1.6,1.6,0.8,1.3
20170330_G29,"Polymodal, Poorly Sorted",Gravelly Sand,Very Fine Gravelly Very Coarse Sand,844.5,790.2,0.538,1.411,451,3.757,-1.211,7.511,1.149,1.91,1.211,7.511,474.5,3.019,0.205,0.568,1.075,1.594,-0.205,0.568,Medium Sand,Poorly Sorted,Coarse Skewed,Very Platykurtic,2002.8,161.4,257.2,-1,2.633,1.961,126.6,366.5,1982.3,15.66,1855.7,9.448,1613.1,-0.987,1.448,2.982,-3.021,3.969,-2.806,3.24,8.4,88.6,3,0,0,0,0,8.4,28.1,4.2,23.8,25.7,6.7,1,0.3,0.4,0.3,0.4,0.7
20170330_G3,"Polymodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,78.88,124.6,2.576,9.646,23.84,5.866,-0.315,2.434,5.391,2.552,0.315,2.434,24.26,6.03,-0.165,0.95,5.366,2.592,0.165,0.95,Coarse Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,63.49,7.43,22.76,3.979,7.074,5.459,2.009,30.3,231.8,115.4,229.7,12.99,78.5,2.109,5.045,8.959,4.247,6.85,2.04,3.699,0,33.8,66.2,0,0,0,0,0,0,2.6,6.6,7.5,17.1,15.8,11.1,11.2,11.1,7.2,9.8
20170330_G30,"Bimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,51.13,39.31,0.283,1.977,26.25,4.627,-1.181,3.5,5.252,2.21,1.181,3.5,28.24,4.329,-0.629,0.931,5.146,2.114,0.629,0.931,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,83.99,8.157,,3.575,6.939,,2.317,51.69,104.1,44.93,101.8,7.927,71.82,3.264,4.274,8.754,2.682,5.49,1.829,2.987,0,41.8,58.2,0,0,0,0,0,0,0,0,2.8,39,19.7,8.9,7.8,7.4,5.6,8.8
20170330_G31,"Trimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,31.23,28.36,0.562,1.894,14.83,4.517,-0.778,2.771,6.075,2.175,0.778,2.771,15.92,4.391,-0.33,0.796,5.973,2.134,0.33,0.796,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,69.7,30.11,8.954,3.844,5.055,6.805,1.609,20.65,73.07,45.41,71.46,10.73,52.39,3.775,5.598,9.279,2.458,5.505,1.832,3.424,0,20.3,79.7,0,0,0,0,0,0,0,0,0,20.3,21.4,13.3,13,12.2,8.1,11.7
20170330_G32,"Unimodal, Poorly Sorted",Slightly Gravelly Sand,Slightly Very Fine Gravelly Medium Sand,410.1,291.1,2.57,13.2,295.8,3.079,-3.02,15.02,1.757,1.622,3.02,15.02,353.6,2.149,-0.245,2.072,1.5,1.104,0.245,2.072,Medium Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic,340.3,,,1.557,,,160,355,692.4,4.328,532.4,1.943,240.5,0.53,1.494,2.644,4.986,2.114,1.946,0.958,0.4,93.5,6.1,0,0,0,0,0.4,2.6,21.5,51.8,15.4,2.3,1.1,1,1.3,1.1,0.6,1.1
20170330_G4,"Trimodal, Poorly Sorted",Mud,Very Coarse Silt,21.77,22.79,1.291,3.894,10.91,3.814,-0.477,2.565,6.518,1.931,0.477,2.565,11.57,3.947,-0.108,0.885,6.434,1.981,0.108,0.885,Medium Silt,Poorly Sorted,Fine Skewed,Platykurtic,52.69,8.157,18.88,4.248,6.939,5.729,1.635,11.89,57.66,35.27,56.02,7.461,29.62,4.116,6.394,9.257,2.249,5.14,1.595,2.899,0,7.7,92.3,0,0,0,0,0,0,0,0,0,7.6,19.3,16.4,18.2,16.7,9.9,11.9
20170330_G5,"Unimodal, Moderately Well Sorted",Sand,Moderately Well Sorted Medium Sand,262.4,117.7,1.227,8.042,220.3,2.332,-4.266,26.3,2.182,1.222,4.266,26.3,247.1,1.54,-0.147,1.452,2.017,0.623,0.147,1.452,Fine Sand,Moderately Well Sorted,Fine Skewed,Leptokurtic,257.2,,,1.961,,,148.9,249.6,393.9,2.646,245.1,1.602,118,1.344,2.003,2.748,2.045,1.404,1.407,0.68,0,96.2,3.8,0,0,0,0,0,0.1,3.6,46.1,43.3,3.1,0.8,0.6,0.5,0.5,0.4,1
20170330_G6,"Unimodal, Moderately Well Sorted",Sand,Moderately Well Sorted Medium Sand,278.1,131.7,1.015,5.562,228.9,2.443,-4.082,24.45,2.127,1.289,4.082,24.45,259.1,1.603,-0.091,1.421,1.949,0.681,0.091,1.421,Medium Sand,Moderately Well Sorted,Symmetrical,Leptokurtic,257.2,,,1.961,,,151.5,257.7,444.9,2.936,293.3,1.682,136.1,1.168,1.956,2.722,2.33,1.554,1.476,0.75,0,95.9,4.1,0,0,0,0,0,0,6.4,46.8,40.2,2.5,0.9,0.6,0.5,0.6,0.4,1.1
20170330_G7,"Polymodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Medium Sand,160.5,194.4,1.871,7.54,52.53,6.766,-0.751,2.793,4.251,2.758,0.751,2.793,53.12,6.799,-0.283,0.863,4.235,2.765,0.283,0.863,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,310,69.7,8.157,1.691,3.844,6.939,3.029,71.61,415.9,137.3,412.8,17.42,245.2,1.266,3.804,8.367,6.61,7.101,3.122,4.123,0,54,46,0,0,0,0,0,0.7,4.9,20.7,14.4,13.3,12.9,7.7,7,6.6,4.6,7.3
20170330_G8,"Unimodal, Moderately Well Sorted",Sand,Moderately Well Sorted Medium Sand,371.9,160,0.806,4.463,320.4,2.142,-4.696,34.08,1.642,1.099,4.696,34.08,348.6,1.502,-0.017,1.15,1.521,0.587,0.017,1.15,Medium Sand,Moderately Well Sorted,Symmetrical,Leptokurtic,340.3,,,1.557,,,209.8,346.9,580.8,2.768,371,1.661,178.9,0.784,1.528,2.253,2.874,1.469,1.635,0.732,0,97.6,2.4,0,0,0,0,0,0.1,17.4,63.5,15.3,1.3,0.6,0.4,0.3,0.3,0.3,0.7
20170330_G9,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Medium Sand,269.5,191.1,1.337,5.353,179.6,3.444,-2.333,9.536,2.477,1.784,2.333,9.536,216.3,2.694,-0.343,2.079,2.209,1.43,0.343,2.079,Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,234.3,,,2.095,,,55,235.6,513.4,9.334,458.4,2.286,192.4,0.962,2.086,4.184,4.351,3.223,1.771,1.193,0,89.1,10.9,0,0,0,0,0,0.3,10.4,34.8,34.8,8.8,3.1,1.7,1.6,1.5,1,1.9
20170403_G33,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Medium Sand,358.3,244.3,0.357,2.411,200.9,4.86,-1.996,6.676,2.316,2.281,1.996,6.676,251,3.767,-0.57,1.77,1.994,1.913,0.57,1.77,Medium Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,410.1,,,1.288,,,17.69,346.8,699.4,39.53,681.7,3.365,369.8,0.516,1.528,5.821,11.28,5.305,2.89,1.751,0,85.3,14.7,0,0,0,0,0,0.4,27.6,36.1,15,6.3,3,2.1,2.3,2.5,2,2.8
20170403_G35,"Trimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Fine Sand,200.5,214.6,1.885,6.46,96.01,4.864,-1.404,5.079,3.381,2.282,1.404,5.079,109.5,4.34,-0.292,1.8,3.191,2.118,0.292,1.8,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Very Leptokurtic,101.2,194.5,542.5,3.306,2.364,0.884,8.561,129,518.5,60.57,509.9,3.536,173.5,0.948,2.955,6.868,7.248,5.92,1.89,1.822,0,76.8,23.2,0,0,0,0,0,0.7,9.9,13.3,27.4,25.5,6.8,3.6,3.3,3.3,2.3,4
20170403_G36,"Unimodal, Poorly Sorted",Slightly Gravelly Muddy Sand,Slightly Very Fine Gravelly Very Coarse Silty Coarse Sand,444.7,378,1.142,3.911,245.8,4.463,-1.988,8.111,2.025,2.158,1.988,8.111,298.9,3.604,-0.366,1.353,1.742,1.85,0.366,1.353,Medium Sand,Poorly Sorted,Very Fine Skewed,Leptokurtic,494.2,,,1.019,,,55.5,356,991.4,17.86,935.9,4.414,490.2,0.012,1.49,4.171,336.1,4.159,4.256,2.142,0,89.1,10.9,0,0,0,0,0,9.8,25.7,25.7,16.9,11,3.2,1.6,1.5,1.4,1.1,2.1
20170403_G37,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,84.7,54.21,-0.084,1.965,48.26,4.525,-1.724,5.29,4.373,2.178,1.724,5.29,51.01,3.925,-0.704,1.517,4.293,1.973,0.704,1.517,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,122,,,3.037,,,4.209,91.06,152.9,36.33,148.7,3.575,91.14,2.709,3.457,7.892,2.913,5.183,1.616,1.838,0,66.2,33.8,0,0,0,0,0,0,0,0,26,40.1,10,5.1,4.7,4.5,3.5,6.1
20170403_G38,"Polymodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,217.5,270.2,1.695,5.05,77.5,6.303,-0.976,3.603,3.69,2.656,0.976,3.603,84.48,6.692,-0.282,1.378,3.565,2.742,0.282,1.378,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,133.9,542.5,24.99,2.902,0.884,5.324,4.583,111.2,658.6,143.7,654,6.423,210.6,0.602,3.169,7.769,12.9,7.167,2.34,2.683,0,67.4,32.6,0,0,0,0,0,2.2,13.7,9.2,20.6,21.8,9.3,5,4.7,4.6,3.3,5.7
20170403_G39,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Fine Sand,260.1,207.2,2.256,11.02,163.1,3.84,-2.207,8.354,2.616,1.941,2.207,8.354,197.9,2.91,-0.424,2.688,2.337,1.541,0.424,2.688,Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,234.3,,,2.095,,,34.96,227.6,481.2,13.76,446.2,2.038,158.1,1.055,2.135,4.838,4.584,3.783,1.609,1.027,0,87.4,12.6,0,0,0,0,0,1.4,7.8,32.5,38,7.7,2.9,2,1.9,2,1.4,2.5
20170403_G40,"Trimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,54.44,49.34,0.659,2.401,24.26,5.075,-0.841,2.681,5.365,2.343,0.841,2.681,26.47,4.962,-0.496,0.822,5.24,2.311,0.496,0.822,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,101.2,7.43,20.73,3.306,7.074,5.594,1.963,44.65,126.3,64.37,124.4,12.09,83.83,2.985,4.485,8.993,3.013,6.008,2.042,3.596,0,40.8,59.2,0,0,0,0,0,0,0,0,10.5,30.4,15,9.5,9.2,9.1,6.5,10
20170403_G41,"Trimodal, Poorly Sorted",Mud,Fine Silt,14.72,16.31,1.576,4.882,7.405,3.66,-0.332,2.406,7.077,1.872,0.332,2.406,7.576,3.852,-0.091,0.911,7.044,1.945,0.091,0.911,Fine Silt,Poorly Sorted,Symmetrical,Mesokurtic,7.43,22.76,48,7.074,5.459,4.383,1.175,8.006,40.38,34.35,39.2,6.831,17.73,4.63,6.965,9.733,2.102,5.102,1.496,2.772,0,1.9,98.1,0,0,0,0,0,0,0,0,0,1.9,13.2,17,18.6,18.9,13.2,17.2
20170403_G42,"Bimodal, Very Poorly Sorted",Mud,Medium Silt,21.95,32.15,3.347,19.59,9.483,4.027,-0.261,2.842,6.72,2.01,0.261,2.842,10.1,4.149,-0.012,1.064,6.629,2.053,0.012,1.064,Medium Silt,Very Poorly Sorted,Symmetrical,Mesokurtic,8.954,57.84,,6.805,4.113,,1.442,9.535,60.18,41.73,58.74,6.066,21.01,4.055,6.713,9.438,2.328,5.383,1.49,2.601,0,9.3,90.7,0,0,0,0,0,0,0,0.2,1.8,7.3,11.9,14.3,21.1,19.7,10.7,13
