Sample,SAMPLE TYPE ,TEXTURAL GROUP ,SEDIMENT NAME ,MoM_ari_MEAN,MoM_ari_SORTING,MoM_ari_SKEWNESS,MoM_ari_KURTOSIS,MoM_geo_MEAN,MoM_geo_SORTING,MoM_geo_SKEWNESS,MoM_geo_KURTOSIS,MoM_log_MEAN,MoM_log_SORTING,MoM_log_SKEWNESS,MoM_log_KURTOSIS,FW_geo_MEAN,FW_geo_SORTING,FW_geo_SKEWNESS,FW_geo_KURTOSIS,FW_log_MEAN,FW_log_SORTING,FW_log_SKEWNESS,FW_log_KURTOSIS,FW_des_MEAN,FW_des_SORTING,FW_des_SKEWNESS,FW_des_KURTOSIS,MODE 1 (µm),MODE 2 (µm),MODE 3 (µm),MODE 1 (f),MODE 2 (f),MODE 3 (f),D10 (µm),D50 (µm),D90 (µm),(D90 div D10) (µm),(D90 - D10) (µm),(D75 div D25) (µm),(D75 - D25) (µm),D10 (f),D50 (f),D90 (f),(D90 div D10) (f),(D90 - D10) (f),(D75 div D25) (f),(D75 - D25) (f),perc GRAVEL,perc SAND,perc MUD,perc V COARSE GRAVEL,perc COARSE GRAVEL,perc MEDIUM GRAVEL,perc FINE GRAVEL,perc V FINE GRAVEL,perc V COARSE SAND,perc COARSE SAND,perc MEDIUM SAND,perc FINE SAND,perc V FINE SAND,perc V COARSE SILT,perc COARSE SILT,perc MEDIUM SILT,perc FINE SILT,perc V FINE SILT,perc CLAY
20170329_G1,"Bimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,50.14,48.69,1.433,5.737,22.88,4.939,-0.93,3.033,5.449,2.304,0.93,3.033,24.38,4.75,-0.519,0.918,5.358,2.248,0.519,0.918,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,69.7,8.157,,3.844,6.939,,1.933,42.37,107.3,55.52,105.4,9.528,67.42,3.22,4.561,9.015,2.8,5.795,1.872,3.252,0,35.1,64.9,0,0,0,0,0,0,0,0.4,6.5,28.2,21,10.1,8.9,8.5,6.3,10.1
20170330_G1,"Trimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,45.73,38.85,0.518,2.178,22.31,4.636,-0.966,3.059,5.486,2.213,0.966,3.059,24.63,4.417,-0.522,0.863,5.343,2.143,0.522,0.863,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,76.51,22.76,8.954,3.71,5.459,6.805,2.146,40.35,100.6,46.91,98.49,9.484,68.12,3.313,4.631,8.864,2.676,5.552,1.874,3.245,0,35.5,64.5,0,0,0,0,0,0,0,0,2.6,32.9,19,10.6,10.3,9.2,6,9.3
20170330_G10,"Polymodal, Poorly Sorted",Mud,Very Coarse Silt,18.92,18.08,0.926,2.666,9.742,3.871,-0.635,2.667,6.682,1.953,0.635,2.667,10.42,3.98,-0.206,0.865,6.584,1.993,0.206,0.865,Medium Silt,Poorly Sorted,Fine Skewed,Platykurtic,48,20.73,8.954,4.383,5.594,6.805,1.341,11.76,48.38,36.07,47.04,7.674,27.05,4.369,6.409,9.542,2.184,5.173,1.587,2.94,0,1.4,98.6,0,0,0,0,0,0,0,0,0,1.4,23.5,18.1,17.3,15.4,10.2,14.1
20170330_G11,"Trimodal, Very Poorly Sorted",Mud,Very Coarse Silt,20.82,21.39,1.071,3.02,9.889,4.149,-0.513,2.411,6.66,2.053,0.513,2.411,10.44,4.352,-0.175,0.849,6.582,2.122,0.175,0.849,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,57.84,24.99,8.157,4.113,5.324,6.939,1.224,11.7,56.46,46.12,55.23,8.832,29.26,4.147,6.417,9.674,2.333,5.527,1.639,3.143,0,6.3,93.7,0,0,0,0,0,0,0,0,0,6.3,20,17.3,15.6,14.9,10.4,15.4
20170330_G12,"Trimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,26.4,29.71,1.385,4.273,11.3,4.594,-0.501,2.511,6.467,2.2,0.501,2.511,11.88,4.766,-0.147,0.858,6.395,2.253,0.147,0.858,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,63.49,8.954,22.76,3.979,6.805,5.459,1.252,13.02,72.51,57.93,71.26,10.26,37.87,3.786,6.264,9.642,2.547,5.856,1.734,3.358,0,14.2,85.8,0,0,0,0,0,0,0,0,0.6,13.6,17.1,14.8,15.4,14.2,9.5,14.7
20170330_G13,"Unimodal, Moderately Sorted",Slightly Gravelly Sand,Slightly Very Fine Gravelly Medium Sand,340.8,228.1,2.622,14.07,264.5,2.603,-3.492,20.9,1.918,1.38,3.492,20.9,296.4,1.71,0.058,1.3,1.755,0.774,-0.058,1.3,Medium Sand,Moderately Sorted,Symmetrical,Leptokurtic,257.2,,,1.961,,,162.2,284.7,592,3.651,429.8,1.86,184.5,0.756,1.812,2.624,3.47,1.868,1.675,0.895,0,96,4,0,0,0,0,0,1.9,13.2,46.9,32.2,1.9,0.8,0.6,0.6,0.6,0.5,1.1
20170330_G14,"Trimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,27.97,25.74,0.721,2.243,13.87,4.24,-0.796,2.95,6.172,2.084,0.796,2.95,15.01,4.169,-0.282,0.844,6.058,2.06,0.282,0.844,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,63.49,8.954,10.79,3.979,6.805,6.536,1.694,18.19,67.59,39.9,65.9,8.972,44.11,3.887,5.78,9.205,2.368,5.318,1.731,3.165,0,14.1,85.9,0,0,0,0,0,0,0,0,0,14.1,23.8,15.4,14.8,12.8,7.9,11.2
20170330_G15,"Unimodal, Poorly Sorted",Slightly Gravelly Sand,Slightly Very Fine Gravelly Medium Sand,454.9,330.6,1.387,5.108,313.4,3.19,-2.571,12.3,1.674,1.674,2.571,12.3,368.1,2.375,-0.175,1.539,1.442,1.248,0.175,1.539,Medium Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic,373.6,,,1.422,,,131.8,371.8,920.7,6.988,789,2.47,346.5,0.119,1.427,2.924,24.54,2.805,2.672,1.304,0,94,6,0,0,0,0,0,8,24.6,39.7,18.1,3.6,1.4,1,0.9,0.9,0.6,1.1
20170330_G16,"Trimodal, Poorly Sorted",Mud,Fine Silt,13.95,13.99,1.122,3.135,7.334,3.595,-0.418,2.344,7.091,1.846,0.418,2.344,7.7,3.83,-0.121,0.87,7.021,1.937,0.121,0.87,Fine Silt,Poorly Sorted,Fine Skewed,Platykurtic,39.83,18.88,6.769,4.652,5.729,7.209,1.144,8.145,37.87,33.11,36.73,6.876,17.8,4.723,6.94,9.772,2.069,5.049,1.498,2.782,0,0,100,0,0,0,0,0,0,0,0,0,0,16.4,16.7,18,18.5,12.7,17.5
20170330_G17,"Bimodal, Moderately Well Sorted",Sand,Moderately Well Sorted Fine Sand,308.7,221.2,3.103,14.97,254.2,2.069,-3.275,27.56,1.976,1.049,3.275,27.56,259.5,1.558,0.258,1.414,1.946,0.64,-0.258,1.414,Medium Sand,Moderately Well Sorted,Coarse Skewed,Leptokurtic,234.3,542.5,,2.095,0.884,,163,247.2,530,3.252,367.1,1.605,120.5,0.916,2.016,2.617,2.858,1.701,1.415,0.683,0,98.1,1.9,0,0,0,0,0,2.7,8.5,37.5,48.6,0.8,0.3,0.3,0.3,0.3,0.2,0.5
20170330_G18,"Unimodal, Moderately Sorted",Slightly Gravelly Sand,Slightly Very Fine Gravelly Medium Sand,447.2,255.4,1.622,6.295,376.3,2.046,-3.682,31.69,1.41,1.033,3.682,31.69,390.6,1.657,0.111,1.034,1.356,0.729,-0.111,1.034,Medium Sand,Moderately Sorted,Coarse Skewed,Mesokurtic,340.3,,,1.557,,,213.1,378.8,785.2,3.684,572.1,1.954,263.9,0.349,1.4,2.23,6.393,1.881,2.089,0.967,0,98.7,1.3,0,0,0,0,0,4.7,24.9,52.1,16.5,0.4,0.2,0.2,0.2,0.2,0.2,0.4
20170330_G19,"Trimodal, Very Poorly Sorted",Mud,Very Coarse Silt,19.05,20.42,1.249,3.586,8.969,4.094,-0.447,2.396,6.801,2.034,0.447,2.396,9.388,4.314,-0.137,0.861,6.735,2.109,0.137,0.861,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,52.69,22.76,8.157,4.248,5.459,6.939,1.175,10.21,53.08,45.16,51.91,8.556,25.53,4.236,6.614,9.733,2.298,5.497,1.606,3.097,0,5.2,94.8,0,0,0,0,0,0,0,0,0,5.2,18,16.9,16.5,15.7,11.3,16.4
20170330_G2,"Bimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Coarse Sand,328.1,313.2,0.204,1.385,84.44,9.516,-0.624,2.08,3.566,3.25,0.624,2.08,117.6,8.582,-0.793,0.684,3.088,3.101,0.793,0.684,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Platykurtic,595.6,57.84,,0.749,4.113,,3.068,412.1,727.3,237,724.2,45.47,596.6,0.459,1.279,8.348,18.17,7.889,8.722,5.507,0,54.4,45.6,0,0,0,0,0,0.2,42.5,8.1,0,3.6,11.5,7.7,7.2,7.3,4.9,7
20170330_G20,"Bimodal, Poorly Sorted",Mud,Medium Silt,15.93,16.38,1.392,4.132,8.531,3.539,-0.533,2.795,6.873,1.823,0.533,2.795,9.046,3.668,-0.129,1.002,6.789,1.875,0.129,1.002,Medium Silt,Poorly Sorted,Fine Skewed,Mesokurtic,8.954,48,,6.805,4.383,,1.401,9.579,43.4,30.97,41.99,5.6,18.2,4.526,6.706,9.479,2.094,4.953,1.452,2.485,0,1.5,98.5,0,0,0,0,0,0,0,0,0,1.5,15.6,17.9,21.6,18.7,11.1,13.7
20170330_G21,"Trimodal, Poorly Sorted",Mud,Medium Silt,14.8,14.24,1.136,3.338,8.124,3.488,-0.539,2.555,6.944,1.802,0.539,2.555,8.43,3.661,-0.171,0.93,6.89,1.872,0.171,0.93,Medium Silt,Poorly Sorted,Fine Skewed,Mesokurtic,39.83,18.88,8.157,4.652,5.729,6.939,1.265,9.353,38.47,30.42,37.2,5.978,18.31,4.7,6.74,9.627,2.048,4.927,1.468,2.58,0,0.1,99.9,0,0,0,0,0,0,0,0,0,0.1,16,19.4,20,18.3,10.8,15.4
20170330_G22,"Trimodal, Poorly Sorted",Mud,Very Coarse Silt,19.25,17.61,0.768,2.31,10.11,3.841,-0.674,2.642,6.629,1.941,0.674,2.642,10.71,3.909,-0.246,0.832,6.544,1.967,0.246,0.832,Medium Silt,Poorly Sorted,Fine Skewed,Platykurtic,43.72,20.73,7.43,4.517,5.594,7.074,1.357,12.58,46.96,34.61,45.61,8.019,29.64,4.412,6.313,9.525,2.159,5.113,1.615,3.003,0,0.7,99.3,0,0,0,0,0,0,0,0,0,0.7,26.5,17.8,16.3,15.1,9.7,13.9
20170330_G23,"Trimodal, Very Poorly Sorted",Mud,Very Coarse Silt,24.18,23.54,0.842,2.459,11.54,4.25,-0.597,2.477,6.437,2.087,0.597,2.477,12.22,4.323,-0.226,0.8,6.354,2.112,0.226,0.8,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,57.84,24.99,7.43,4.113,5.324,7.074,1.389,14.33,61.39,44.21,60,10.06,38.5,4.026,6.125,9.492,2.358,5.466,1.732,3.331,0,9.2,90.8,0,0,0,0,0,0,0,0,0,9.2,23.8,15.3,14.1,14.1,9.8,13.7
20170330_G24,"Trimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,28.33,25.48,0.564,1.944,13.5,4.542,-0.803,2.775,6.211,2.183,0.803,2.775,14.48,4.442,-0.371,0.802,6.11,2.151,0.371,0.802,Medium Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,57.84,27.43,8.954,4.113,5.19,6.805,1.404,19.91,66.1,47.09,64.7,10.6,46.67,3.919,5.65,9.476,2.418,5.557,1.796,3.405,0,13.5,86.5,0,0,0,0,0,0,0,0,0,13.5,26.5,14.4,12.3,11.7,8.5,13.1
