Sample,WWTP_influence_as_tracer_mean_dist__sed_18µm_allseasons_444,WWTP_influence_as_endpoints_mean_dist__sed_18µm_allseasons_444,WWTP_influence_as_cumulated_residence__sed_18µm_allseasons_444,WWTP_influence_as_mean_time_travelled__sed_18µm_allseasons_444,WWTP_influence_as_tracer_mean_dist__nosed_18µm_spring_444,WWTP_influence_as_endpoints_mean_dist__nosed_18µm_spring_444,WWTP_influence_as_cumulated_residence__nosed_18µm_spring_444,WWTP_influence_as_mean_time_travelled__nosed_18µm_spring_444,WWTP_influence_as_tracer_mean_dist__nosed_allsizes_spring_444,WWTP_influence_as_endpoints_mean_dist__nosed_allsizes_spring_444,WWTP_influence_as_cumulated_residence__nosed_allsizes_spring_444,WWTP_influence_as_mean_time_travelled__nosed_allsizes_spring_444,WWTP_influence_as_tracer_mean_dist__sed_18µm_autumn_222,WWTP_influence_as_endpoints_mean_dist__sed_18µm_autumn_222,WWTP_influence_as_cumulated_residence__sed_18µm_autumn_222,WWTP_influence_as_mean_time_travelled__sed_18µm_autumn_222,WWTP_influence_as_tracer_mean_dist__sed_18µm_autumn_444,WWTP_influence_as_endpoints_mean_dist__sed_18µm_autumn_444,WWTP_influence_as_cumulated_residence__sed_18µm_autumn_444,WWTP_influence_as_mean_time_travelled__sed_18µm_autumn_444,WWTP_influence_as_tracer_mean_dist__nosed_18µm_autumn_222,WWTP_influence_as_endpoints_mean_dist__nosed_18µm_autumn_222,WWTP_influence_as_cumulated_residence__nosed_18µm_autumn_222,WWTP_influence_as_mean_time_travelled__nosed_18µm_autumn_222,WWTP_influence_as_tracer_mean_dist__nosed_allsizes_autumn_222,WWTP_influence_as_endpoints_mean_dist__nosed_allsizes_autumn_222,WWTP_influence_as_cumulated_residence__nosed_allsizes_autumn_222,WWTP_influence_as_mean_time_travelled__nosed_allsizes_autumn_222,WWTP_influence_as_tracer_mean_dist__nosed_allsizes_allseasons_444,WWTP_influence_as_endpoints_mean_dist__nosed_allsizes_allseasons_444,WWTP_influence_as_cumulated_residence__nosed_allsizes_allseasons_444,WWTP_influence_as_mean_time_travelled__nosed_allsizes_allseasons_444,WWTP_influence_as_tracer_mean_dist__sed_allsizes_allseasons_444,WWTP_influence_as_endpoints_mean_dist__sed_allsizes_allseasons_444,WWTP_influence_as_cumulated_residence__sed_allsizes_allseasons_444,WWTP_influence_as_mean_time_travelled__sed_allsizes_allseasons_444,WWTP_influence_as_tracer_mean_dist__sed_18µm_allseasons_222,WWTP_influence_as_endpoints_mean_dist__sed_18µm_allseasons_222,WWTP_influence_as_cumulated_residence__sed_18µm_allseasons_222,WWTP_influence_as_mean_time_travelled__sed_18µm_allseasons_222,WWTP_influence_as_tracer_mean_dist__nosed_18µm_allseasons_222,WWTP_influence_as_endpoints_mean_dist__nosed_18µm_allseasons_222,WWTP_influence_as_cumulated_residence__nosed_18µm_allseasons_222,WWTP_influence_as_mean_time_travelled__nosed_18µm_allseasons_222,WWTP_influence_as_tracer_mean_dist__nosed_18µm_spring_222,WWTP_influence_as_endpoints_mean_dist__nosed_18µm_spring_222,WWTP_influence_as_cumulated_residence__nosed_18µm_spring_222,WWTP_influence_as_mean_time_travelled__nosed_18µm_spring_222,WWTP_influence_as_tracer_mean_dist__nosed_allsizes_allseasons_222,WWTP_influence_as_endpoints_mean_dist__nosed_allsizes_allseasons_222,WWTP_influence_as_cumulated_residence__nosed_allsizes_allseasons_222,WWTP_influence_as_mean_time_travelled__nosed_allsizes_allseasons_222,WWTP_influence_as_tracer_mean_dist__nosed_allsizes_autumn_444,WWTP_influence_as_endpoints_mean_dist__nosed_allsizes_autumn_444,WWTP_influence_as_cumulated_residence__nosed_allsizes_autumn_444,WWTP_influence_as_mean_time_travelled__nosed_allsizes_autumn_444,WWTP_influence_as_tracer_mean_dist__sed_18µm_spring_444,WWTP_influence_as_endpoints_mean_dist__sed_18µm_spring_444,WWTP_influence_as_cumulated_residence__sed_18µm_spring_444,WWTP_influence_as_mean_time_travelled__sed_18µm_spring_444,WWTP_influence_as_tracer_mean_dist__nosed_18µm_autumn_444,WWTP_influence_as_endpoints_mean_dist__nosed_18µm_autumn_444,WWTP_influence_as_cumulated_residence__nosed_18µm_autumn_444,WWTP_influence_as_mean_time_travelled__nosed_18µm_autumn_444,WWTP_influence_as_tracer_mean_dist__sed_18µm_spring_222,WWTP_influence_as_endpoints_mean_dist__sed_18µm_spring_222,WWTP_influence_as_cumulated_residence__sed_18µm_spring_222,WWTP_influence_as_mean_time_travelled__sed_18µm_spring_222,WWTP_influence_as_tracer_mean_dist__sed_allsizes_allseasons_222,WWTP_influence_as_endpoints_mean_dist__sed_allsizes_allseasons_222,WWTP_influence_as_cumulated_residence__sed_allsizes_allseasons_222,WWTP_influence_as_mean_time_travelled__sed_allsizes_allseasons_222,WWTP_influence_as_tracer_mean_dist__nosed_allsizes_spring_222,WWTP_influence_as_endpoints_mean_dist__nosed_allsizes_spring_222,WWTP_influence_as_cumulated_residence__nosed_allsizes_spring_222,WWTP_influence_as_mean_time_travelled__nosed_allsizes_spring_222
Schlei_S10,2645.435861971805,2967.0985785669645,25847,38.05345211581292,3004.1436010176585,3413.9091782533783,8241,16.475501113585747,607.7282628255759,665.5445694025262,268456,61.60913140311804,3118.133644929983,3872.959519162043,4808,6.47909604519774,3118.133644929983,3872.959519162043,7862,25.7603121516165,3396.873378310732,4686.97557062754,4841,10.025988700564971,923.5675952129214,1221.9875654101554,155614,34.962138084632514,672.4396261464681,836.4306375269408,795025,66.62026726057907,643.8346241435842,769.6326158330354,795100,63.67928730512249,2645.435861971805,2967.0985785669645,15477,9.344097995545656,2871.866871778582,3546.0568797769247,15553,7.178173719376392,3004.1436010176585,3413.9091782533783,4896,4.794183445190156,672.4396261464681,836.4306375269408,694159,66.62026726057907,923.5675952129214,1221.9875654101554,241449,41.54342984409799,2756.756432559383,2845.0363140700783,7937,23.8630289532294,3396.873378310732,4686.97557062754,8291,41.366778149386846,2756.756432559383,2845.0363140700783,4869,6.072706935123042,643.8346241435842,769.6326158330354,694567,63.67928730512249,607.7282628255759,665.5445694025262,266020,58.88084632516704
Schlei_S10_15cm,2645.435861971805,2967.0985785669645,25847,38.05345211581292,3004.1436010176585,3413.9091782533783,8241,16.475501113585747,607.7282628255759,665.5445694025262,268456,61.60913140311804,3118.133644929983,3872.959519162043,4808,6.47909604519774,3118.133644929983,3872.959519162043,7862,25.7603121516165,3396.873378310732,4686.97557062754,4841,10.025988700564971,923.5675952129214,1221.9875654101554,155614,34.962138084632514,672.4396261464681,836.4306375269408,795025,66.62026726057907,643.8346241435842,769.6326158330354,795100,63.67928730512249,2645.435861971805,2967.0985785669645,15477,9.344097995545656,2871.866871778582,3546.0568797769247,15553,7.178173719376392,3004.1436010176585,3413.9091782533783,4896,4.794183445190156,672.4396261464681,836.4306375269408,694159,66.62026726057907,923.5675952129214,1221.9875654101554,241449,41.54342984409799,2756.756432559383,2845.0363140700783,7937,23.8630289532294,3396.873378310732,4686.97557062754,8291,41.366778149386846,2756.756432559383,2845.0363140700783,4869,6.072706935123042,643.8346241435842,769.6326158330354,694567,63.67928730512249,607.7282628255759,665.5445694025262,266020,58.88084632516704
Schlei_S11,2399.929707612565,2734.722215774402,57682,68.51805869074492,2684.0536245643502,3048.089193234331,22570,91.559375,1021.0956791879964,1095.911062213632,7936,109.6747572815534,2885.8017274466333,3626.81150039314,4231,69.51344743276283,2885.8017274466333,3626.81150039314,16575,49.53681710213777,3125.4141312490915,4361.321181840201,5664,100.76972281449892,1064.8156629354887,1234.4015318696768,1456,111.64485981308412,985.3209422318852,1084.2678639442977,58095,139.6009244992296,960.6833346774022,1021.4997593153626,53391,128.1340523882897,2399.929707612565,2734.722215774402,14753,81.72173913043478,2586.840325713565,3251.1139812105985,21174,112.08275862068966,2684.0536245643502,3048.089193234331,5522,119.23053892215567,985.3209422318852,1084.2678639442977,4952,129.1265060240964,1064.8156629354887,1234.4015318696768,23288,120.78817733990148,2471.2323319673847,2557.6718936548014,17433,68.36806722689076,3125.4141312490915,4361.321181840201,20841,62.06823529411765,2471.2323319673847,2557.6718936548014,4110,86.22101449275362,960.6833346774022,1021.4997593153626,3579,103.61392405063292,1021.0956791879964,1095.911062213632,1166,140.29166666666666
Schlei_S13,2290.5795664990287,2548.402336987478,50855,90.47467608951708,2538.6138791053227,2821.7806073148345,16561,122.99721835883172,1618.586570881447,1689.065052820769,6833,124.1340782122905,2757.811349431191,3396.0708698697517,4316,92.03944315545245,2757.811349431191,3396.0708698697517,16278,87.95952023988006,3001.625630167613,4131.924387022172,2741,117.72540983606558,1590.7105308750554,1699.433263815927,1366,123.59574468085108,1582.643849810751,1648.7465059902777,27742,128.4835164835165,1555.6624373853629,1584.3769632545288,31409,124.26373626373626,2290.5795664990287,2548.402336987478,13148,91.10597826086956,2487.541822703816,3061.963856255209,8929,120.06869220607662,2538.6138791053227,2821.7806073148345,3396,120.75757575757576,1582.643849810751,1648.7465059902777,2494,113.3862433862434,1590.7105308750554,1699.433263815927,17265,145.0548780487805,2324.618902595548,2357.334278775404,18054,82.41906202723146,3001.625630167613,4131.924387022172,10711,116.410437235543,2324.618902595548,2357.334278775404,4867,83.88235294117646,1555.6624373853629,1584.3769632545288,4924,96.34408602150538,1618.586570881447,1689.065052820769,574,120.8125
Schlei_S14,2773.638801014055,3047.1917188648868,4836,109.71330275229356,2853.780758026396,3032.625836910476,2334,148.72758620689655,2424.560061855708,2485.159117830212,571,149.56060606060606,3190.112452217364,3785.094092546514,456,117.27678571428572,3190.112452217364,3785.094092546514,1596,130.82075471698113,3296.063411379849,4249.821688534375,676,157.99401197604791,2311.0364379499265,2378.0633603350016,112,139.1875,2359.615396139848,2390.4917304620285,1368,132.3716814159292,2346.274259858329,2346.953234469568,950,89.32978723404256,2773.638801014055,3047.1917188648868,1415,105.6733870967742,2867.5035755929807,3348.0441727034745,1666,147.2123076923077,2853.780758026396,3032.625836910476,580,132.7795275590551,2359.615396139848,2390.4917304620285,344,129.94117647058823,2311.0364379499265,2378.0633603350016,520,139.9375,2738.5889205004905,2805.276553465079,1825,98.97222222222224,3296.063411379849,4249.821688534375,2561,168.81730769230768,2738.5889205004905,2805.276553465079,640,94.09278350515464,2346.274259858329,2346.953234469568,231,81.98076923076923,2424.560061855708,2485.159117830212,146,136.76666666666668
Schlei_S15,3039.0917340769824,3311.417524084227,3394,137.85015290519877,3060.3973644418043,3203.171674791205,1604,160.45355191256832,2760.922237266983,2813.9316089474173,379,164.5121951219512,3435.103815775353,4008.709578565189,397,143.83898305084745,3435.103815775353,4008.709578565189,1305,140.5174418604651,3495.102452058074,4378.670138912674,638,178.69398907103826,2622.426519645904,2673.768595209379,101,171.29032258064515,2685.652353575756,2703.100199370416,1016,159.98863636363637,2676.7792964955806,2666.241388772592,633,115.66153846153846,3039.0917340769824,3311.417524084227,983,135.56485355648536,3099.754237140715,3542.23412589886,1451,171.7283950617284,3060.3973644418043,3203.171674791205,445,157.44915254237287,2685.652353575756,2703.100199370416,294,163.59677419354838,2622.426519645904,2673.768595209379,399,152.32,2975.1784304345856,3049.290394290313,1091,123.83453237410072,3495.102452058074,4378.670138912674,2113,179.47528517110266,2975.1784304345856,3049.290394290313,304,118.83333333333331,2676.7792964955806,2666.241388772592,179,123.35714285714286,2760.922237266983,2813.9316089474173,120,178.75
Schlei_S16,3949.0231329370777,4177.791912195176,8913,148.69017632241813,3781.120102948433,3768.1686975653024,4150,183.7913907284768,4325.681477800193,4340.980967105528,888,185.62686567164175,4263.235736761239,4761.770297258707,405,178.38135593220338,4263.235736761239,4761.770297258707,2284,166.80526315789473,4180.127724632934,4837.981024943682,741,214.88324873096445,4096.033388438927,4141.274897927226,129,230.13513513513516,4235.88845304734,4237.766309484504,2011,187.6168224299065,4239.963210387141,4222.560591156791,1285,152.17073170731706,3949.0231329370777,4177.791912195176,1791,162.4758620689655,3910.934363399137,4193.060626990282,2661,199.0125313283208,3781.120102948433,3768.1686975653024,1132,188.9590909090909,4235.88845304734,4237.766309484504,534,212.6625,4096.033388438927,4141.274897927226,569,223.47457627118644,3794.695090834,3851.277855998914,3910,135.03508771929825,4180.127724632934,4837.981024943682,3144,211.54545454545453,3794.695090834,3851.277855998914,767,144.69375,4239.963210387141,4222.560591156791,343,169.0,4325.681477800193,4340.980967105528,231,208.86046511627907
Schlei_S17,4645.958876919515,4868.631034266337,7203,171.5496688741722,4394.960039549312,4310.268042011612,3319,209.25824175824172,5303.795693251903,5299.036922293455,688,213.7297297297297,4910.240828208852,5403.984846185974,494,164.97345132743362,4910.240828208852,5403.984846185974,2882,168.1509433962264,4751.395018313076,5322.332064023864,711,204.08187134502924,5022.83272368212,5075.377714031448,194,215.675,5204.601675612587,5203.2725448259525,2029,204.7051282051282,5215.859470531173,5201.296543497631,1554,161.1639344262295,4645.958876919515,4868.631034266337,1112,177.3125,4549.671470235391,4765.173563179298,1540,205.05243445692884,4394.960039549312,4310.268042011612,421,216.6382978723404,5204.601675612587,5203.2725448259525,336,210.66666666666663,5022.83272368212,5075.377714031448,921,212.5625,4472.827646959465,4527.435994611833,2376,177.1578947368421,4751.395018313076,5322.332064023864,3988,204.1604938271605,4472.827646959465,4527.435994611833,315,197.98507462686567,5215.859470531173,5201.296543497631,256,172.8,5303.795693251903,5299.036922293455,67,210.05
Schlei_S19,5594.727903115092,5791.549858839736,1118,179.66666666666666,5253.118135852507,5128.470525057088,588,201.30281690140845,6351.676746244055,6338.310611647454,146,206.70967741935485,5813.546678176551,6230.579359534367,37,203.4814814814815,5813.546678176551,6230.579359534367,490,192.86274509803923,5603.295041984819,5988.845271590099,62,249.3617021276596,6049.230606149807,6075.57918536286,11,238.4,6242.855518659678,6224.385278801905,401,207.2075471698113,6259.740761739701,6233.573102397666,213,155.15384615384616,5594.727903115092,5791.549858839736,127,175.6888888888889,5455.896820850729,5581.195000268845,176,212.5206611570248,5253.118135852507,5128.470525057088,66,208.92156862745097,6242.855518659678,6224.385278801905,39,206.72,6049.230606149807,6075.57918536286,162,206.0,5372.81637875916,5436.887614278017,399,166.42990654205607,5603.295041984819,5988.845271590099,705,219.9078947368421,5372.81637875916,5436.887614278017,48,176.6153846153846,6259.740761739701,6233.573102397666,23,173.2941176470588,6351.676746244055,6338.310611647454,16,243.54545454545453
Schlei_S1_15cm,4839.080092764852,5080.981994459796,11142,136.88837209302326,5329.7786561546,5776.524714414926,3490,149.83908045977012,3730.052720338192,3804.8789501270726,723,188.94117647058823,5110.555203324376,5798.162553596924,1445,151.56140350877192,5110.555203324376,5798.162553596924,5332,148.16129032258064,5414.986137870218,6805.942699476727,2197,184.993670886076,4118.408556341866,4318.173346510492,337,147.52380952380952,3884.095488824669,4014.5188166418952,2399,182.97727272727272,3854.128912845103,3944.759676746648,2045,139.94285714285715,4839.080092764852,5080.981994459796,3151,132.9536082474227,5090.5016022775735,5759.459475615781,4482,172.5529411764706,5329.7786561546,5776.524714414926,1041,149.5921052631579,3884.095488824669,4014.5188166418952,759,163.2051282051282,4118.408556341866,4318.173346510492,878,195.69565217391303,5061.345248359807,5123.4623401310455,3200,110.8955223880597,5414.986137870218,6805.942699476727,6311,187.84795321637424,5061.345248359807,5123.4623401310455,805,104.32758620689656,3854.128912845103,3944.759676746648,757,124.41935483870968,3730.052720338192,3804.8789501270726,200,199.6
