IDParticles,Sample,Site_name,GPS_LON,GPS_LAT,Compartment,Contributor,Project,Size_1_[µm],Size_2_[µm],Shape,Colour,polymer_type,library_entry,lab_blank_ID,sample_ID,Sampling_weight_[kg],Fraction_analysed,size_geom_mean
26452_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,236.0,24.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,75.25955088890711
26453_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,1151.0,230.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,514.5191930336516
26454_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,509.0,85.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,208.00240383226344
26455_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,115.0,23.0,irregular,unspecific,Polyethylene,Polyethylene,1391.0,1213,0.093,1.0,51.42956348249516
26456_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,59.0,48.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,53.21653878260028
26457_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,180.0,49.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,93.91485505499116
26459_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,142.0,95.0,irregular,green,Unknown,PG7,1391.0,1213,0.093,1.0,116.14645926587689
26460_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,396.0,76.0,irregular,unspecific,Polypropylene,PP + PB15,1391.0,1213,0.093,1.0,173.48198753761153
26463_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,161.0,82.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,114.8999564838908
26464_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,65.0,30.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,44.15880433163923
26467_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,389.0,49.0,fibre,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,138.06158046321215
26468_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,119.0,18.0,fibre,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,46.281745861624536
26470_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,299.0,59.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,132.81942628998215
26471_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,239.0,41.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,98.98989847454133
26472_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,181.0,46.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,91.24691775616314
