sample,0_10,10_20,20_30,30_40,40_50,50_60,60_70,70_80,80_90,90_100,100_110,110_120,120_130,130_140,140_150,150_160,160_170,170_180,180_190,190_200,200_210,210_220,220_230,230_240,240_250,250_260,260_270,270_280,280_290,290_300,300_310,310_320,320_330,330_340,340_350,350_360,360_370,370_380,380_390,390_400,400_410,410_420,420_430,430_440,440_450,450_460,460_470,470_480,480_490,490_500,500_510,510_520,520_530,530_540,540_550,550_560,560_570,570_580,580_590,590_600,600_610,610_620,620_630,630_640,640_650,650_660,660_670,670_680,680_690,690_700,700_710,710_720,720_730,730_740,740_750,750_760,760_770,770_780,780_790,790_800,800_810,810_820,820_830,830_840,840_850,850_860,860_870,870_880,880_890,890_900,900_910,910_920,920_930,930_940,940_950,950_960,960_970,970_980,980_990,990_1000,1000_1010,1010_1020,1020_1030,1030_1040,1040_1050,1050_1060,1060_1070,1070_1080,1080_1090,1090_1100,1100_1110,1110_1120,1120_1130,1130_1140,1140_1150,1150_1160,1160_1170,1170_1180,1180_1190,1190_1200,1200_1210,1210_1220,1220_1230,1230_1240,1240_1250,1250_1260,1260_1270,1270_1280,1280_1290,1290_1300,1300_1310,1310_1320,1320_1330,1330_1340,1340_1350,1350_1360,1360_1370,1370_1380,1380_1390,1390_1400,1400_1410,1410_1420,1420_1430,1430_1440,1440_1450,1450_1460,1460_1470,1470_1480,1480_1490,1490_1500,1500_1510,1510_1520,1520_1530,1530_1540,1540_1550,1550_1560,1560_1570,1570_1580,1580_1590,1590_1600,1600_1610,1610_1620,1620_1630,1630_1640,1640_1650,1650_1660,1660_1670,1670_1680,1680_1690,1690_1700,1700_1710,1710_1720,1720_1730,1730_1740,1740_1750,1750_1760,1760_1770,1770_1780,1780_1790,1790_1800,1800_1810,1810_1820,1820_1830,1830_1840,1840_1850,1850_1860,1860_1870,1870_1880,1880_1890,1890_1900,1900_1910,1910_1920,1920_1930,1930_1940,1940_1950,1950_1960,1960_1970,1970_1980,1980_1990,1990_2000
Schlei_S10,1.5619999999999998,0.8949999999999999,0.5700000000000001,0.346,0.462,0.825,1.356,1.844,2.2809999999999997,2.607,2.907,3.1830000000000003,3.194,3.2939999999999996,3.308,3.246,3.222,3.127,3.017,2.9419999999999997,2.7969999999999997,2.697,2.5789999999999997,2.468,2.319,2.228,2.144,1.982,1.886,1.8219999999999998,1.754,1.56,1.512,1.4689999999999999,1.424,1.251,1.19,1.158,1.128,1.092,0.9119999999999999,0.892,0.8710000000000001,0.851,0.833,0.724,0.654,0.64,0.625,0.6140000000000001,0.603,0.5359999999999999,0.457,0.44799999999999995,0.44000000000000006,0.43200000000000005,0.42300000000000004,0.42000000000000004,0.371,0.308,0.3,0.296,0.29100000000000004,0.286,0.281,0.277,0.242,0.194,0.193,0.19,0.187,0.184,0.184,0.179,0.177,0.156,0.12,0.119,0.11700000000000002,0.11600000000000002,0.11300000000000002,0.11300000000000002,0.11000000000000001,0.10900000000000001,0.10800000000000001,0.10500000000000001,0.06999999999999999,0.068,0.068,0.067,0.066,0.066,0.066,0.064,0.064,0.064,0.064,0.05500000000000001,0.041,0.041,0.041,0.04,0.034999999999999996,0.034999999999999996,0.034999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.02,0.019,0.019,0.019,0.019,0.019,0.019,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
Schlei_S10_15cm,4.215999999999999,2.0053333333333336,1.172,1.028,1.226,1.5073333333333332,1.844,2.0973333333333333,2.302,2.4393333333333334,2.5633333333333335,2.691333333333333,2.6566666666666667,2.6966666666666668,2.6973333333333334,2.638,2.6326666666666667,2.5646666666666667,2.497333333333333,2.4680000000000004,2.3466666666666667,2.3306666666666667,2.2366666666666664,2.1413333333333333,2.0900000000000003,2.0086666666666666,1.9326666666666665,1.8453333333333333,1.7753333333333332,1.7160000000000002,1.656,1.5333333333333334,1.486,1.4426666666666668,1.4,1.27,1.2146666666666666,1.1833333333333333,1.1526666666666665,1.1179999999999999,0.9640000000000001,0.94,0.9186666666666667,0.8966666666666666,0.8766666666666667,0.7753333333333334,0.7046666666666667,0.6893333333333334,0.6753333333333332,0.662,0.648,0.5813333333333334,0.4953333333333333,0.486,0.4766666666666667,0.4686666666666667,0.46066666666666667,0.4533333333333333,0.402,0.32866666666666666,0.32266666666666666,0.3186666666666667,0.3126666666666667,0.30666666666666664,0.3026666666666667,0.3,0.256,0.19933333333333333,0.198,0.19333333333333333,0.19066666666666665,0.188,0.18533333333333332,0.18266666666666667,0.18066666666666667,0.15866666666666665,0.12133333333333333,0.11866666666666667,0.11733333333333333,0.116,0.114,0.11266666666666666,0.11133333333333334,0.11066666666666668,0.11066666666666668,0.10466666666666667,0.07066666666666667,0.07066666666666667,0.07,0.06933333333333333,0.068,0.06666666666666667,0.066,0.066,0.06466666666666666,0.064,0.06333333333333332,0.05533333333333334,0.043333333333333335,0.042666666666666665,0.042,0.042,0.04066666666666666,0.04066666666666666,0.04066666666666666,0.04066666666666666,0.04000000000000001,0.03933333333333334,0.03933333333333334,0.038000000000000006,0.037333333333333336,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.024666666666666667,0.024666666666666667,0.024666666666666667,0.02266666666666667,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.014666666666666666,0.014,0.014,0.014,0.014,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.012666666666666666,0.012666666666666666,0.012666666666666666,0.012666666666666666,0.012666666666666666,0.012666666666666666,0.01,0.008666666666666666,0.008666666666666666,0.008666666666666666,0.008666666666666666,0.008666666666666666,0.008666666666666666,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.006666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.004,0.0033333333333333335,0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0.002,0.002,0.002,0.002,0.002
Schlei_S11,30.674,11.848,8.8,8.762,8.126999999999999,6.797,5.343999999999999,4.053,2.995,2.194,1.548,1.042,0.794,0.536,0.385,0.29100000000000004,0.21400000000000002,0.172,0.155,0.134,0.127,0.137,0.132,0.128,0.153,0.148,0.14300000000000002,0.16,0.163,0.156,0.153,0.16599999999999998,0.161,0.156,0.153,0.154,0.15,0.146,0.14300000000000002,0.137,0.13,0.126,0.122,0.119,0.11699999999999999,0.10600000000000001,0.096,0.095,0.091,0.09,0.089,0.079,0.064,0.063,0.062,0.061,0.061,0.06,0.05,0.039,0.038,0.036,0.034,0.034,0.034,0.034,0.026000000000000002,0.016,0.016,0.016,0.016,0.016,0.016,0.015000000000000003,0.015000000000000003,0.013000000000000001,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schlei_S13,26.681,9.271,5.89,6.406000000000001,7.2459999999999996,7.205,6.703,5.840999999999999,4.914,4.05,3.242,2.471,2.013,1.519,1.145,0.906,0.6439999999999999,0.49800000000000005,0.385,0.24700000000000003,0.236,0.124,0.10700000000000001,0.101,0.048,0.048,0.046,0.041,0.038,0.037,0.037,0.046,0.044,0.043,0.041,0.049,0.049,0.049,0.048,0.046,0.052000000000000005,0.052000000000000005,0.05,0.046,0.046,0.046,0.046,0.045,0.044,0.043,0.043,0.041,0.038,0.038,0.036,0.036,0.036,0.036,0.033,0.028999999999999998,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.026000000000000002,0.026000000000000002,0.023,0.018,0.018,0.018,0.018,0.018,0.016,0.016,0.016,0.015,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schlei_S14,14.612,3.9560000000000004,2.052,1.904,2.15,2.304,2.414,2.398,2.346,2.274,2.21,2.166,2.08,2.042,2.008,1.9420000000000002,1.938,1.886,1.848,1.8379999999999999,1.748,1.7760000000000002,1.7079999999999997,1.636,1.6440000000000001,1.576,1.516,1.48,1.434,1.384,1.34,1.27,1.232,1.194,1.162,1.074,1.03,1.004,0.9780000000000001,0.9480000000000001,0.836,0.8160000000000001,0.796,0.778,0.762,0.6799999999999999,0.624,0.61,0.598,0.586,0.576,0.518,0.44800000000000006,0.44000000000000006,0.43200000000000005,0.42400000000000004,0.41600000000000004,0.41,0.364,0.3,0.294,0.29,0.286,0.282,0.27599999999999997,0.272,0.236,0.186,0.182,0.18,0.178,0.174,0.172,0.172,0.16799999999999998,0.144,0.10400000000000001,0.10200000000000001,0.1,0.098,0.098,0.096,0.094,0.094,0.09,0.088,0.044,0.044,0.044,0.044,0.042,0.04,0.04,0.04,0.04,0.038,0.038,0.028000000000000004,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schlei_S15,10.764,4.561333333333334,2.5266666666666664,1.9846666666666666,1.6366666666666667,1.276,0.9406666666666667,0.6886666666666666,0.5333333333333333,0.46199999999999997,0.4646666666666667,0.578,0.6586666666666667,0.8066666666666666,0.9926666666666667,1.0799999999999998,1.3093333333333335,1.3866666666666667,1.504,1.682,1.6,1.8793333333333335,1.8353333333333335,1.7646666666666666,1.9833333333333334,1.9066666666666665,1.8346666666666667,1.9046666666666667,1.8806666666666667,1.8166666666666667,1.7600000000000002,1.762,1.7073333333333334,1.6566666666666667,1.6099999999999999,1.53,1.4826666666666668,1.4426666666666668,1.406,1.3653333333333333,1.23,1.2,1.1713333333333333,1.1446666666666665,1.1179999999999999,1.008,0.9306666666666666,0.9093333333333333,0.892,0.8733333333333333,0.856,0.7773333333333333,0.6786666666666666,0.6653333333333333,0.654,0.642,0.6306666666666667,0.62,0.5553333333333333,0.4673333333333333,0.46066666666666667,0.452,0.444,0.43733333333333335,0.43066666666666664,0.4233333333333333,0.372,0.30533333333333335,0.30066666666666664,0.296,0.29133333333333333,0.28800000000000003,0.2833333333333333,0.28,0.27466666666666667,0.24666666666666667,0.194,0.19266666666666668,0.18933333333333333,0.186,0.186,0.18266666666666667,0.18000000000000002,0.17866666666666667,0.17600000000000002,0.1713333333333333,0.12266666666666667,0.12133333333333333,0.12000000000000001,0.11866666666666667,0.11733333333333333,0.116,0.11466666666666667,0.114,0.11266666666666666,0.11,0.10933333333333334,0.098,0.078,0.07666666666666666,0.07666666666666666,0.07533333333333332,0.07533333333333332,0.07266666666666667,0.07266666666666667,0.07200000000000001,0.07066666666666667,0.07066666666666667,0.07,0.07,0.06933333333333333,0.052000000000000005,0.051333333333333335,0.05,0.04933333333333333,0.04933333333333333,0.048,0.048,0.048,0.04733333333333333,0.04733333333333333,0.04666666666666666,0.046,0.046,0.046,0.046,0.037333333333333336,0.034666666666666665,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.03333333333333333,0.03333333333333333,0.03266666666666666,0.03133333333333333,0.027333333333333334,0.025333333333333333,0.025333333333333333,0.025333333333333333,0.025333333333333333,0.025333333333333333,0.025333333333333333,0.025333333333333333,0.025333333333333333,0.025333333333333333,0.025333333333333333,0.024666666666666667,0.024,0.02333333333333333,0.02333333333333333,0.02333333333333333,0.02333333333333333,0.02333333333333333,0.02333333333333333,0.02333333333333333,0.02,0.02,0.02,0.019333333333333334,0.018666666666666668,0.018000000000000002,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.014,0.014,0.014,0.014,0.014,0.014,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334
Schlei_S17,3.992,1.83,0.782,0.549,0.47000000000000003,0.375,0.255,0.146,0.059,0.012,0.014000000000000002,0.086,0.154,0.258,0.41600000000000004,0.5,0.717,0.806,0.95,1.151,1.0950000000000002,1.4529999999999998,1.436,1.384,1.7429999999999999,1.6759999999999997,1.613,1.825,1.847,1.786,1.736,1.9280000000000002,1.8690000000000002,1.814,1.761,1.8359999999999999,1.809,1.762,1.716,1.6759999999999997,1.6759999999999997,1.636,1.597,1.561,1.525,1.47,1.42,1.391,1.363,1.333,1.31,1.242,1.1640000000000001,1.143,1.1219999999999999,1.1019999999999999,1.082,1.064,0.9940000000000001,0.9019999999999999,0.8879999999999999,0.873,0.859,0.8460000000000001,0.8320000000000001,0.82,0.751,0.666,0.655,0.646,0.637,0.629,0.621,0.612,0.604,0.553,0.469,0.46399999999999997,0.457,0.45199999999999996,0.445,0.441,0.43499999999999994,0.43,0.425,0.414,0.317,0.314,0.31,0.30700000000000005,0.302,0.3,0.297,0.29300000000000004,0.29,0.28900000000000003,0.28300000000000003,0.253,0.20400000000000001,0.20099999999999998,0.20099999999999998,0.199,0.196,0.194,0.193,0.191,0.19,0.186,0.185,0.185,0.178,0.128,0.127,0.125,0.123,0.123,0.122,0.121,0.121,0.12000000000000002,0.11800000000000002,0.11699999999999999,0.11699999999999999,0.11499999999999999,0.11300000000000002,0.11300000000000002,0.076,0.075,0.075,0.075,0.075,0.074,0.072,0.072,0.071,0.06999999999999999,0.06999999999999999,0.06899999999999999,0.06899999999999999,0.068,0.068,0.068,0.067,0.046,0.041,0.04,0.04,0.04,0.04,0.039,0.039,0.039,0.039,0.038,0.038,0.037,0.037,0.036,0.036,0.034999999999999996,0.034999999999999996,0.034999999999999996,0.03,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.016,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
Schlei_S19,0.701,0.623,0.172,0.0,0.0,0.076,0.619,1.44,2.343,3.128,3.871,4.551,4.6770000000000005,4.947,4.991,4.9079999999999995,4.8,4.627000000000001,4.377000000000001,4.151,3.9490000000000003,3.567,3.3840000000000003,3.2329999999999997,2.752,2.645,2.544,2.1390000000000002,1.9649999999999999,1.8969999999999998,1.8150000000000002,1.376,1.3350000000000002,1.2950000000000002,1.2550000000000001,0.932,0.8470000000000001,0.825,0.8039999999999999,0.772,0.495,0.48200000000000004,0.471,0.45999999999999996,0.45,0.327,0.24500000000000002,0.24,0.23500000000000001,0.22999999999999998,0.225,0.173,0.10300000000000001,0.10200000000000001,0.1,0.097,0.095,0.094,0.068,0.031,0.031,0.03,0.03,0.03,0.028999999999999998,0.027999999999999997,0.018,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003
Schlei_S1_15cm,41.266000000000005,18.771,9.517999999999999,6.420999999999999,5.142,4.289,3.5130000000000003,2.778,2.123,1.583,1.1179999999999999,0.721,0.521,0.311,0.244,0.2,0.154,0.127,0.10400000000000001,0.078,0.075,0.052000000000000005,0.047,0.043,0.031,0.028000000000000004,0.028000000000000004,0.023,0.022,0.021,0.019,0.018,0.016999999999999998,0.016999999999999998,0.016999999999999998,0.016999999999999998,0.016,0.016,0.016,0.015,0.017,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schlei_S2,6.165,2.539,1.453,1.311,1.207,1.038,0.8960000000000001,0.8230000000000001,0.834,0.9029999999999999,1.04,1.29,1.4120000000000001,1.6320000000000001,1.861,1.952,2.198,2.262,2.354,2.513,2.393,2.628,2.548,2.446,2.585,2.4810000000000003,2.387,2.37,2.309,2.229,2.1550000000000002,2.0439999999999996,1.98,1.922,1.866,1.693,1.623,1.58,1.5390000000000001,1.49,1.262,1.233,1.2029999999999998,1.174,1.149,0.992,0.8869999999999999,0.868,0.85,0.8320000000000001,0.817,0.716,0.588,0.5780000000000001,0.567,0.557,0.547,0.537,0.462,0.359,0.354,0.347,0.341,0.337,0.33,0.327,0.271,0.198,0.198,0.193,0.189,0.188,0.186,0.184,0.179,0.149,0.093,0.093,0.09,0.089,0.089,0.088,0.086,0.086,0.086,0.08,0.034,0.032,0.032,0.032,0.031,0.031,0.028999999999999998,0.028999999999999998,0.028999999999999998,0.028999999999999998,0.028999999999999998,0.024,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.007000000000000001,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
