OBJECTID,Probennumm,Datum,Zeit,x,y,Textural_Group (Folk 1954),Special_Type (Macroscopic description),LOI_550 [%],Corg [%]
76,20170425_G1,25/04/2017,08:28,535646.249399999,6040430.855,,Mud,28.5537263199999,13.0505
77,20170425_G2,25/04/2017,08:34,535838.9392,6040066.08499999,Sandy Mud,,23.56306546,11.1565
78,20170425_G3,25/04/2017,08:40,535990.129599999,6040272.20899999,Sandy Mud,,25.25996534,12.8685
79,20170425_G4,25/04/2017,08:46,536190.4629,6040118.01099999,Sand,,1.870286576,0.7015
80,20170425_G5,25/04/2017,08:54,536666.6938,6039826.382,Sandy Mud,,21.0147671299999,8.603
81,20170425_G6,25/04/2017,09:00,536917.1152,6040009.597,Sand,,1.116884668,0.532
82,20170425_G7,25/04/2017,09:07,537145.2371,6039867.72099999,Muddy Sand,,15.65527326,7.068
83,20170425_G8,25/04/2017,09:19,537421.8974,6039678.77599999,Sandy Mud,,9.296953047,12.1205
84,20170425_G9,25/04/2017,09:24,537661.4451,6039960.60699999,Sandy Mud,,22.41357478,11.347
85,20170425_G10,25/04/2017,09:28,537425.3399,6040153.20899999,Sandy Mud,,26.83496961,12.706
86,20170425_G11,25/04/2017,09:35,536994.561299999,6040280.80999999,,Sand,1.800641246,0.9105
87,20170425_G12,25/04/2017,09:42,537588.766399999,6040201.47499999,Sand,,2.111929124,0.949
88,20170425_G13,25/04/2017,09:48,538069.714599999,6040014.074,Sand,,2.1913448,1.0825
89,20170425_G14,25/04/2017,09:55,538949.0603,6040547.65699999,Mud,,20.75495518,10.7
90,20170425_G15,25/04/2017,10:01,539300.751999999,6040959.98799999,Sand,,3.126306985,2.0115
91,20170425_G16,25/04/2017,10:08,539042.901399999,6041169.56599999,Muddy Sand,,16.37554585,6.2665
92,20170425_G17,25/04/2017,10:13,539787.250699999,6040877.786,Sandy Mud,,13.74191408,7.7705
93,20170425_G18,25/04/2017,10:18,539662.103699999,6041246.875,Sandy Mud,,20.27917798,8.883
94,20170425_G19,25/04/2017,10:23,539764.5666,6041560.269,Sandy Mud,,20.94684587,10.0015
95,20170425_G20,25/04/2017,10:27,539550.4412,6041916.53,Sand,,1.598401598,0.609
96,20170425_G21,25/04/2017,10:32,539735.3743,6042148.483,Sandy Mud,,21.16318601,9.0565
97,20170425_G22,25/04/2017,10:38,540325.4816,6042352.29999999,Muddy Sand,,4.743276284,1.6515
98,20170425_G23,25/04/2017,10:43,540095.529399999,6042165.364,Sandy Mud,,12.4261665699999,5.005
99,20170425_G24,25/04/2017,10:48,539884.6942,6041862.87899999,Sandy Mud,,19.94392762,8.821
100,20170425_G25,25/04/2017,10:53,540330.242199999,6041522.40199999,Sand,,1.258660857,0.483
101,20170425_G26,25/04/2017,10:58,540141.6428,6041106.973,Sandy Mud,,15.9009880799999,6.6985
102,20170425_G27,25/04/2017,11:02,540529.3323,6041070.16,Sand,,1.264824628,0.414
103,20170425_G28,25/04/2017,11:12,541643.8789,6041066.67599999,Sandy Mud,,13.68133194,6.5335
104,20170425_G29,25/04/2017,11:17,541617.1918,6041401.19,Sandy Mud,,10.71076822,6.2965
