,Sample,Frequency,FrequencyA500,FrequencyB500,Mass,GPS_LONs,GPS_LATs,Split,MP_D50,Concentration,ConcentrationA500,ConcentrationB500,Station ID,+ 15 cm ?,Date,Arrival,Sediment,CTD,Departure,GPS LAT,GPS LON,Depth,Comments,D50,Unnamed: 2,20,25,32,38,45,53,63,75,90,106,125,150,180,212,250,300,355,425,500,600,710,850,1000,1180,1400,1700,2000,2360,2800,3350,4000,4750,5600,6300,6700,8000,9500, Below 63 µm, Below 90 µm, Below 125 µm, Below 180 µm, Below 250 µm, Below 355 µm, Below 500 µm, Below 710 µm, Below 1000 µm, Below 1400 µm, Below 2000 µm, Above 2000 µm,Dx 10,Dx 16,Dx 25,Dx 50,Dx 75,Dx 84,Dx 90,TOC,Hg,Dist_WWTP,Regio_Sep
0,Schlei_S10,306,4,302,0.25,9.60355,54.5253,1.0,85.86019690647024,1224.0,16.0,1208.0,S10,1.0,15-05-18,10:20:00,,,,54° 31.516’,09° 36.213’,0.8,Klärwerk 3 (direkt am Auslauf),221.5,,4.61,4.75,2.98,2.67,2.34,2.29,2.2,2.25,2.0,2.0,2.16,2.1,1.85,1.88,2.16,2.13,2.46,2.37,2.79,2.64,2.84,2.56,2.62,2.72,3.05,2.38,2.11,1.59,0.93,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.05,52.5,56.5,60.76,64.48,68.78,73.61,79.04,84.44,89.78,95.22,4.78,7.65,10.9,17.0,73.5,548.0,972.0,1420.0,0.3995,5.0,27.5,inner
1,Schlei_S10_15cm,470,69,401,0.03,9.60355,54.5253,1.0,108.67542894359079,15667.0,2300.0,13367.0,S10_d,,,,,,,54° 31.516’,09° 36.213’,0.8,,209.5,,7.14,8.04,5.54,5.3,4.9,4.85,4.5,4.1,3.12,2.59,2.14,1.55,1.01,0.74,0.67,0.54,0.51,0.42,0.44,0.37,0.38,0.29,0.23,0.17,0.1,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.07,84.67,90.38,94.07,95.82,97.03,97.97,98.77,99.44,99.84,99.98,0.02,5.89,8.11,11.8,27.1,60.6,87.1,122.0,0.1685,16.27916431427,27.5,inner
2,Schlei_S11,191,3,188,0.081,9.61442,54.5238,0.5,93.76566535784832,4716.0,74.0,4642.0,S11,,15-05-18,10:30:00,10:32:00,10:33:00,,54° 31.426’,09° 36.865’,2.9,,28.55,,4.25,5.02,3.83,4.12,4.43,5.12,5.49,5.86,5.06,4.66,4.29,3.38,2.31,1.72,1.51,1.17,1.1,0.91,0.88,0.63,0.48,0.27,0.18,0.16,0.18,0.14,0.12,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.35,70.71,80.43,88.09,92.11,94.79,96.8,98.32,99.06,99.4,99.72,0.28,5.45,8.0,13.3,45.4,103.0,145.0,206.0,10.8215,221.3,750.0,inner
3,Schlei_S13,348,4,344,0.071,9.62153,54.515699999999995,0.25,91.91300234460846,19606.0,225.0,19380.0,S13,,15-05-18,12:32:00,12:33:00,12:35:00,,54° 30.94’,09° 37.292’,3.0,,42.2,,3.76,4.78,3.81,4.17,4.53,5.28,5.72,6.27,5.63,5.46,5.49,4.83,3.75,3.2,3.07,2.46,2.29,1.83,1.75,1.3,1.05,0.61,0.34,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.77,56.77,67.85,78.18,85.13,90.66,94.77,97.83,99.49,99.97,100.0,6e-07,10.6,17.0,29.0,73.9,159.0,235.0,339.0,6.9315,172.9,1605.0,inner
4,Schlei_S14,36,0,36,0.25,9.63885,54.5172,1.0,82.87403266890279,144.0,0.0,144.0,S14,,15-05-18,13:30:00,13:31:00,13:33:00,13:36:00,54° 31.030’,09° 38.331’,2.3,Nordwestl. Stexwiger Enge,166.0,,3.36,3.77,2.69,2.75,2.87,3.34,3.72,4.31,4.12,4.28,4.73,4.6,3.95,3.79,4.03,3.57,3.62,3.08,3.15,2.52,2.26,1.57,1.18,0.87,0.6,0.26,0.16,0.1,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.48,47.51,55.91,65.24,72.99,80.58,87.28,92.95,96.78,98.83,99.69,0.31,9.16,14.5,26.6,99.5,273.0,421.0,584.0,1.05033333333333,31.2,2933.0,outlier
5,Schlei_S15,205,20,185,0.25,9.64575,54.52009999999999,1.0,101.85283501208988,820.0,80.0,740.0,S15,,15-05-18,13:42:00,13:46:00,13:47:00,,54° 31.203’,09° 38.745’,2.2,Große Breite Nord West,323.5,,5.36,5.9,4.15,4.14,4.06,4.3,4.25,4.16,3.35,2.92,2.55,1.96,1.37,1.13,1.15,1.06,1.18,1.08,1.16,0.94,0.81,0.49,0.28,0.15,0.09,0.04,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8,78.22,84.49,88.99,91.49,93.7,95.96,98.07,99.36,99.8,99.93,0.07,5.2,6.97,10.1,28.0,78.1,121.0,203.0,0.64,11.0,3455.0,inner
6,Schlei_S16,464,0,464,0.09,9.67003,54.514,0.25,82.45885954427399,20622.0,0.0,20622.0,S16,,15-05-18,14:00:00,14:01:00,14:02:00,14:06:00,54° 30.838’,09° 40.202’,3.5,,19.9,,6.14,7.23,5.19,5.16,5.01,5.28,5.26,5.37,4.64,4.44,4.46,3.87,2.8,1.93,1.2,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.7,76.33,85.4,93.73,98.46,100.0,100.0,100.0,100.0,100.0,100.0,7e-14,6.86,9.93,15.3,37.7,86.0,119.0,151.0,12.146,230.9,4729.0,inner
7,Schlei_S17,196,1,195,0.25,9.68298,54.50719999999999,1.0,84.99411418616057,784.0,4.0,780.0,S17,,15-05-18,14:10:00,14:12:00,14:14:00,14:15:00,54° 30.433’,09° 40.979’,2.3,,416.5,,4.73,6.45,5.49,6.21,6.8,7.69,7.81,7.5,5.68,4.45,3.18,1.81,0.85,0.48,0.49,0.58,0.78,0.75,0.78,0.58,0.47,0.31,0.24,0.21,0.23,0.18,0.16,0.12,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.29,77.6,87.73,92.71,94.04,95.11,96.63,98.0,98.78,99.23,99.63,0.37,7.42,11.7,20.1,47.5,84.2,108.0,141.0,0.6665,10.0,5643.0,inner
8,Schlei_S19,56,0,56,0.25,9.70262,54.5126,1.0,69.50182945039697,224.0,0.0,224.0,S19,,15-05-18,14:45:00,14:00:00,15:20:00,,54° 30.753’,09° 42.157’,0.6,,188.0,,6.06,6.27,4.04,3.76,3.46,3.52,3.42,3.34,2.72,2.4,2.12,1.62,1.07,0.76,0.62,0.44,0.44,0.43,0.58,0.69,0.93,1.17,1.6,2.05,2.6,2.08,1.78,1.26,0.66,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.14,71.9,77.01,80.75,82.58,83.64,84.51,85.78,87.88,91.52,96.2,3.8,6.52,8.75,12.5,31.5,109.0,412.0,1240.0,0.0615,3.7,6836.0,outlier
9,Schlei_S1_15cm,527,4,523,0.063,9.55717,54.5075,0.5887,90.52071586106683,14209.0,108.0,14102.0,S1_d,,,,,,,54° 30.45’,09° 33.43’,2.7,,13.65,,3.52,4.31,3.36,3.63,3.92,4.58,4.99,5.48,4.9,4.67,4.51,3.76,2.75,2.22,2.08,1.66,1.51,1.14,1.01,0.72,0.71,0.76,1.06,1.46,2.07,1.87,1.79,1.42,0.85,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.47,56.94,66.51,74.78,79.76,83.5,86.15,87.87,89.35,91.86,95.81,4.19,7.44,12.1,22.5,71.3,182.0,376.0,1120.0,13.7,359.4,4490.0,inner
10,Schlei_S2,347,6,341,0.25,9.59055,54.50770000000001,0.5,93.48796714016194,2776.0,48.0,2728.0,S2,,14-05-18,18:50:00,18:50:00,18:58:00,18:58:00,54° 30.462’,09° 35.433’,3.6,Fahrdorf und Offizierskasino,257.0,,5.58,6.52,4.73,4.76,4.66,4.88,4.76,4.55,3.59,3.05,2.56,1.86,1.2,0.9,0.88,0.84,1.02,1.02,1.22,1.1,1.04,0.73,0.52,0.35,0.19,0.07,0.05,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.46,77.77,84.41,88.83,90.93,92.65,94.69,97.0,98.77,99.64,99.9,0.1,5.32,7.52,11.7,32.7,80.4,122.0,211.0,1.402,34.9,2468.0,inner
11,Schlei_S20,401,0,401,0.2,9.69137,54.5219,0.25,91.33454987024352,8020.0,0.0,8020.0,S20,,15-05-18,,,,16:15:00,54° 31.311’,09° 41.482’,3.5,,100.0,,4.8,5.55,4.09,4.26,4.43,4.99,5.25,5.5,4.69,4.29,4.0,3.29,2.43,2.02,1.87,1.32,0.85,0.34,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1,74.84,83.82,91.11,95.56,98.75,99.94,100.0,100.0,100.0,100.0,1e-11,4.88,7.15,11.7,37.4,90.5,126.0,168.0,1.3055,30.6,6230.0,outer
