Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,3396.8733783107314,4686.97557062754,8291,41.366778149386846
Schlei_S10_15cm,3396.8733783107314,4686.97557062754,8291,41.366778149386846
Schlei_S11,3125.4141312490915,4361.321181840201,20841,62.06823529411765
Schlei_S13,3001.6256301676135,4131.924387022172,10711,116.41043723554301
Schlei_S14,3296.063411379849,4249.8216885343745,2561,168.81730769230768
Schlei_S15,3495.102452058074,4378.670138912674,2113,179.47528517110266
Schlei_S16,4180.127724632934,4837.981024943682,3144,211.54545454545453
Schlei_S17,4751.395018313076,5322.3320640238635,3988,204.1604938271605
Schlei_S19,5603.295041984819,5988.845271590099,705,219.9078947368421
Schlei_S1_15cm,5414.986137870218,6805.942699476727,6311,187.84795321637426
Schlei_S2,3716.1355032536467,5077.399869572877,10231,135.33205374280232
Schlei_S20,5133.9728325926235,5559.367188326254,1904,212.60666666666665
Schlei_S21,7279.887517595388,7457.699369644124,773,230.01714285714286
Schlei_S22,10457.614614560596,10377.856665888348,771,239.46226415094338
Schlei_S23,11717.26730237247,11539.133880327909,287,302.4516129032258
Schlei_S24,13568.445490515362,13241.264939225786,475,254.43023255813952
Schlei_S25,19594.703365068108,18868.83201115583,185,308.0344827586207
Schlei_S26,22145.333473355477,21260.48939200684,117,279.5
Schlei_S27,23328.97782918949,22378.302277399383,50,293.8333333333333
Schlei_S29,25488.541558508314,24453.51478476624,117,263.06060606060606
Schlei_S2_15cm,3716.1355032536467,5077.399869572877,10231,135.33205374280232
Schlei_S3,3357.9580191017717,4654.694016805394,12758,130.70631424375918
Schlei_S30,26333.458577056877,25268.589312604232,117,285.4
Schlei_S31,30320.906316727556,28995.091489056154,22,282.15384615384613
Schlei_S32,29483.020468707076,28258.23220340339,3,434.0
Schlei_S4,3032.446848694763,4160.577856607078,9752,90.63341968911917
Schlei_S4_15cm,3032.446848694763,4160.577856607078,9752,90.63341968911917
Schlei_S5,3520.1718111990467,4618.973563059591,4429,59.17691342534504
Schlei_S6,3048.2711159844653,4258.297410078159,21258,74.8144690781797
Schlei_S7,2988.5983669010775,4224.169334162849,20239,89.57990314769975
Schlei_S8,3323.227588962619,4602.141319881782,11596,36.261692650334076
