Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,607.7282628255759,665.5445694025262,266020,58.880846325167035
Schlei_S10_15cm,607.7282628255759,665.5445694025262,266020,58.880846325167035
Schlei_S11,1021.0956791879964,1095.911062213632,1166,140.29166666666666
Schlei_S13,1618.586570881447,1689.065052820769,574,120.8125
Schlei_S14,2424.5600618557078,2485.159117830212,146,136.76666666666668
Schlei_S15,2760.922237266983,2813.9316089474173,120,178.75
Schlei_S16,4325.681477800193,4340.980967105528,231,208.86046511627907
Schlei_S17,5303.795693251903,5299.036922293455,67,210.05
Schlei_S19,6351.676746244055,6338.310611647454,16,243.54545454545453
Schlei_S1_15cm,3730.052720338192,3804.8789501270726,200,199.6
Schlei_S2,2161.570276514813,2230.583346863825,338,180.37142857142857
Schlei_S20,5543.330911259941,5543.238366284393,138,219.75757575757575
Schlei_S21,8089.388785584375,8068.805430777812,31,284.1666666666667
Schlei_S22,11276.564842725174,11253.911679420788,63,204.85714285714286
Schlei_S23,12536.620447833222,12511.735086963454,2,163.0
Schlei_S24,14586.025979877857,14553.272536133407,38,169.66666666666666
Schlei_S25,20765.60503812789,20721.734518090998,0,489.0
Schlei_S26,23387.84255869697,23340.37272034182,1,262.0
Schlei_S27,24540.83126002153,24493.30584122347,0,489.0
Schlei_S29,26574.762001984167,26529.002218323163,0,489.0
Schlei_S2_15cm,2161.570276514813,2230.583346863825,338,180.37142857142857
Schlei_S3,1881.2982686361668,1942.9266439695737,746,141.546875
Schlei_S30,27389.403946087157,27343.811590163838,0,489.0
Schlei_S31,31552.201636560654,31496.803824645027,1,269.0
Schlei_S32,30585.46575540092,30535.573058542366,0,489.0
Schlei_S4,1543.5509230608736,1624.0362581076197,9622,126.47133757961784
Schlei_S4_15cm,1543.5509230608736,1624.0362581076197,9622,126.47133757961784
Schlei_S5,1789.7889256897279,1860.2113073540756,706,70.13422818791946
Schlei_S6,1154.9313995009481,1233.0612196335019,2754,115.51754385964912
Schlei_S7,1130.0298088129953,1193.9132097514237,1219,104.78761061946902
Schlei_S8,707.4572209161627,771.1339849987015,267767,59.724944320712694
