Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,3118.133644929983,3872.959519162043,7862,25.7603121516165
Schlei_S10_15cm,3118.133644929983,3872.959519162043,7862,25.7603121516165
Schlei_S11,2885.8017274466333,3626.8115003931402,16575,49.53681710213777
Schlei_S13,2757.811349431191,3396.0708698697513,16278,87.95952023988006
Schlei_S14,3190.112452217364,3785.0940925465143,1596,130.82075471698113
Schlei_S15,3435.103815775353,4008.709578565189,1305,140.5174418604651
Schlei_S16,4263.2357367612385,4761.770297258707,2284,166.80526315789473
Schlei_S17,4910.240828208852,5403.984846185974,2882,168.1509433962264
Schlei_S19,5813.546678176551,6230.579359534367,490,192.86274509803923
Schlei_S1_15cm,5110.555203324376,5798.162553596924,5332,148.16129032258064
Schlei_S2,3374.921236267246,4058.9120014001564,12706,106.89578713968957
Schlei_S20,5295.820919695455,5706.220794413494,1660,173.8820512820513
Schlei_S21,7507.77269819048,7817.168411893178,444,196.85245901639345
Schlei_S22,10656.977107170653,10782.948449382795,1182,210.52631578947367
Schlei_S23,11908.835746754494,11961.306242449165,96,277.77777777777777
Schlei_S24,13776.085671488636,13739.361603246321,249,206.58333333333334
Schlei_S25,19796.245516228275,19483.66384436046,52,254.28571428571428
Schlei_S26,22362.089440820033,21946.8296317291,81,233.42857142857142
Schlei_S27,23545.67461724244,23085.1859360293,35,253.92307692307693
Schlei_S29,25697.785407396874,25181.48596690188,82,226.1
Schlei_S2_15cm,3374.921236267246,4058.9120014001564,12706,106.89578713968957
Schlei_S3,3018.568856697775,3675.6877230641862,18128,100.36842105263158
Schlei_S30,26540.960644516817,26004.385710008173,89,251.8
Schlei_S31,30552.20472506018,29870.61924947891,13,276.625
Schlei_S32,29699.630390061706,29068.06404384876,3,434.0
Schlei_S4,2824.267888153519,3492.663950195726,7597,66.41755319148936
Schlei_S4_15cm,2824.267888153519,3492.663950195726,7597,66.41755319148936
Schlei_S5,3369.81638729495,4065.9408008051814,3815,41.06812339331619
Schlei_S6,2812.8634003634083,3534.6200435373985,16895,54.05950991831972
Schlei_S7,2692.5842630669463,3388.25067318646,25821,65.94174757281553
Schlei_S8,3054.756267698668,3810.0672591781376,10497,30.47327394209354
