Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,4246.0456742543565,6293.266575180691,25427,45.478841870824056
Schlei_S10_15cm,4246.0456742543565,6293.266575180691,25427,45.478841870824056
Schlei_S11,3855.1483154168723,5876.163223954966,51797,76.96071829405163
Schlei_S13,3661.079477504025,5658.802788978262,40339,112.78356481481481
Schlei_S14,3689.223835812342,5537.355438350566,9499,133.74550898203591
Schlei_S15,3784.065539836914,5551.738058582187,7097,165.61092150170649
Schlei_S16,4190.9586099036405,5738.824443152778,12979,174.0
Schlei_S17,4679.737591992296,6128.7978493931105,11435,183.74588665447897
Schlei_S19,5346.47796649683,6587.085078344637,3039,195.9954954954955
Schlei_S1_15cm,6705.462024493556,8795.314774728391,6411,142.87545787545787
Schlei_S2,4834.644101936116,6922.839287541736,16448,121.13399153737659
Schlei_S20,4917.695053452002,6214.78007979086,9849,179.88059701492537
Schlei_S21,6797.378955029387,7708.030298873097,4185,200.65198237885463
Schlei_S22,9726.948817911705,10077.845249111313,3334,223.96096096096096
Schlei_S23,10924.926991004499,11073.797748513009,1982,277.7014925373134
Schlei_S24,12666.855076260772,12539.584033848416,2043,237.34397163120568
Schlei_S25,18506.329261683775,17646.00660983287,833,283.85869565217394
Schlei_S26,20994.819636215787,19847.18938970032,792,269.6518987341772
Schlei_S27,22167.338847095307,20888.945212011684,349,288.6
Schlei_S29,24338.69648810311,22859.91163086745,668,276.4539877300613
Schlei_S2_15cm,4834.644101936116,6922.839287541736,16448,121.13399153737659
Schlei_S3,4360.479522541439,6428.297631910406,28487,110.08165680473373
Schlei_S30,25186.965775882516,23640.60810646537,509,277.15714285714284
Schlei_S31,29104.745954217997,27076.787002334815,145,291.2463768115942
Schlei_S32,28303.72807491658,26448.621637676533,129,335.3333333333333
Schlei_S4,3640.8925103709958,5620.643829633639,36003,94.22945205479452
Schlei_S4_15cm,3640.8925103709958,5620.643829633639,36003,94.22945205479452
Schlei_S5,4037.702099557681,5920.283534206683,13469,70.72166105499439
Schlei_S6,3749.6507022553683,5765.962171685928,54108,83.54842342342343
Schlei_S7,3789.5377055452655,5839.247303902299,51730,96.7909604519774
Schlei_S8,4139.517046680102,6180.862663981387,34737,58.025612472160354
