Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,4213.620366280514,6186.108910165238,25391,36.99331848552338
Schlei_S10_15cm,4213.620366280514,6186.108910165238,25391,36.99331848552338
Schlei_S11,3826.037765071788,5774.51825325872,50619,77.55443322109988
Schlei_S13,3630.8527405096775,5554.9808607592895,41379,109.98379629629629
Schlei_S14,3672.393402294794,5463.641172675341,9494,131.65714285714284
Schlei_S15,3771.9726085048874,5489.543729691168,6939,159.984375
Schlei_S16,4191.1069060325435,5709.124384882743,12741,170.05651491365776
Schlei_S17,4684.392411173574,6109.2525440693125,11203,179.35055350553506
Schlei_S19,5356.437129169681,6581.664793599269,2974,194.6485260770975
Schlei_S1_15cm,6668.097671381091,8682.854769638792,6585,140.46666666666667
Schlei_S2,4797.45411983175,6809.870751423778,16178,116.97733711048159
Schlei_S20,4925.462426912391,6203.916980113423,9669,178.11
Schlei_S21,6811.584808652306,7716.73248286131,4033,196.23777777777778
Schlei_S22,9746.553802255308,10106.59346481627,3262,221.89877300613497
Schlei_S23,10945.739764674365,11108.182517720712,1939,275.484375
Schlei_S24,12690.584195793965,12582.94099450318,2025,234.57971014492753
Schlei_S25,18535.825951228835,17710.66837767027,778,281.8
Schlei_S26,21026.525126966197,19924.714488182075,772,268.53205128205127
Schlei_S27,22199.336515197516,20970.813422564734,331,285.78409090909093
Schlei_S29,24369.99274278573,22944.648759759853,654,273.7826086956522
Schlei_S2_15cm,4797.45411983175,6809.870751423778,16178,116.97733711048159
Schlei_S3,4322.844716117138,6313.862080755265,29173,108.60473372781065
Schlei_S30,25218.056000559318,23726.293711738683,504,276.6231884057971
Schlei_S31,29137.976166815806,27180.585000104955,142,290.0
Schlei_S32,28335.681025619542,26543.38965619906,112,332.55555555555554
Schlei_S4,3614.4440349840042,5524.193537233197,35160,89.64269406392694
Schlei_S4_15cm,3614.4440349840042,5524.193537233197,35160,89.64269406392694
Schlei_S5,4017.7228421043537,5839.453657938741,13293,71.06060606060606
Schlei_S6,3720.7298817938313,5664.334919696913,52840,85.74549549549549
Schlei_S7,3754.1919186933733,5724.728566323722,53851,90.98418079096045
Schlei_S8,4107.9883302707085,6075.169633590295,34452,39.28173719376392
