Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,2645.435861971805,2967.0985785669645,25847,38.05345211581292
Schlei_S10_15cm,2645.435861971805,2967.0985785669645,25847,38.05345211581292
Schlei_S11,2399.929707612565,2734.722215774402,57682,68.51805869074492
Schlei_S13,2290.5795664990287,2548.402336987478,50855,90.47467608951708
Schlei_S14,2773.638801014055,3047.1917188648868,4836,109.71330275229357
Schlei_S15,3039.0917340769824,3311.417524084227,3394,137.85015290519877
Schlei_S16,3949.0231329370777,4177.791912195176,8913,148.69017632241813
Schlei_S17,4645.958876919515,4868.631034266337,7203,171.5496688741722
Schlei_S19,5594.727903115092,5791.549858839736,1118,179.66666666666666
Schlei_S1_15cm,4839.080092764852,5080.981994459796,11142,136.88837209302326
Schlei_S2,3034.681657614282,3244.323812653494,22287,106.8140625
Schlei_S20,5039.9484471635205,5243.090820462667,3810,158.7927927927928
Schlei_S21,7356.12647432403,7509.483183797523,1575,181.22748815165878
Schlei_S22,10631.922061411533,10702.215178332252,2302,192.6904761904762
Schlei_S23,11922.942221923859,11962.934973126301,314,236.39473684210526
Schlei_S24,13847.95339028926,13847.916881914618,591,206.70212765957447
Schlei_S25,19986.361751095697,19879.45870231229,235,244.55555555555554
Schlei_S26,22575.02274039487,22431.618451951763,126,229.875
Schlei_S27,23763.428039950482,23604.971045677008,46,261.0625
Schlei_S29,25914.578605581235,25739.4991225978,83,233.52380952380952
Schlei_S2_15cm,3034.681657614282,3244.323812653494,22287,106.8140625
Schlei_S3,2624.0573473351897,2817.359790632134,49738,100.8484076433121
Schlei_S30,26757.59207431591,26576.136520914053,91,261.9375
Schlei_S31,30789.84454173809,30555.550720706957,14,290.44444444444446
Schlei_S32,29927.13649591232,29712.166019756525,3,434.0
Schlei_S4,2352.52523938044,2652.424223769153,32034,70.72653534183083
Schlei_S4_15cm,2352.52523938044,2652.424223769153,32034,70.72653534183083
Schlei_S5,2928.2890757030764,3269.6815695685136,10867,49.62979683972912
Schlei_S6,2324.9294495110094,2650.903258750413,63331,73.89152542372881
Schlei_S7,2197.8727722898966,2465.2266994396437,100083,74.18253968253968
Schlei_S8,2577.261156572306,2905.7392756346326,33120,55.96325167037862
