Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,3646.2987176524525,4879.464792464002,9787,14.88641425389755
Schlei_S10_15cm,3646.2987176524525,4879.464792464002,9787,14.88641425389755
Schlei_S11,3253.5944499037696,4470.961839915199,21135,72.35330836454432
Schlei_S13,3065.928490547254,4265.235706885076,15020,109.19523099850969
Schlei_S14,3174.691088420445,4228.743582847626,2734,143.67173252279636
Schlei_S15,3314.6660034378383,4293.627282691965,1802,176.01769911504425
Schlei_S16,3816.4438491819014,4600.26663799738,3935,190.81203007518798
Schlei_S17,4319.112930245714,5043.799490749852,3905,189.66511627906976
Schlei_S19,5095.301912486969,5655.9759648979525,969,211.1958762886598
Schlei_S1_15cm,6153.6652163387735,7391.674577083289,1227,156.31666666666666
Schlei_S2,4245.113735505214,5466.519005772918,4584,123.56923076923077
Schlei_S20,4674.051188785283,5249.957742802927,2668,218.40926640926642
Schlei_S21,6745.692490904336,7087.5543917264595,1271,228.92156862745097
Schlei_S22,9965.438695827626,9936.818701309072,469,251.79012345679013
Schlei_S23,11233.003627690705,11084.15657986661,340,332.0
Schlei_S24,13053.603796737778,12744.366287181843,467,238.83098591549296
Schlei_S25,19035.92523666043,18382.28395732233,183,284.6666666666667
Schlei_S26,21549.420605119703,20760.738860684454,210,263.1875
Schlei_S27,22728.602414134035,21887.705553028467,95,262.2142857142857
Schlei_S29,24900.248166712343,23983.71227187682,163,281.75
Schlei_S2_15cm,4245.113735505214,5466.519005772918,4584,123.56923076923077
Schlei_S3,3756.5280777497574,4967.342642383747,10114,122.25171232876713
Schlei_S30,25747.89575348931,24801.52389368175,120,298.6551724137931
Schlei_S31,29683.826764354653,28475.728881818293,38,313.6875
Schlei_S32,28874.792080529143,27772.125395728843,45,379.0
Schlei_S4,3055.385813567422,4245.084726493766,14457,80.96648793565684
Schlei_S4_15cm,3055.385813567422,4245.084726493766,14457,80.96648793565684
Schlei_S5,3510.941405457199,4602.632390314316,5338,61.08152866242038
Schlei_S6,3147.429888702406,4365.723731972385,21946,80.12077922077923
Schlei_S7,3171.463563064755,4410.623462085363,20614,99.43869209809264
Schlei_S8,3538.754025453699,4768.803142438089,13645,36.902004454342986
