Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,923.5675952129214,1221.9875654101554,155614,34.962138084632514
Schlei_S10_15cm,923.5675952129214,1221.9875654101554,155614,34.962138084632514
Schlei_S11,1064.8156629354887,1234.4015318696768,1456,111.64485981308411
Schlei_S13,1590.7105308750554,1699.433263815927,1366,123.59574468085107
Schlei_S14,2311.0364379499265,2378.0633603350016,112,139.1875
Schlei_S15,2622.4265196459037,2673.768595209379,101,171.29032258064515
Schlei_S16,4096.0333884389265,4141.274897927226,129,230.13513513513513
Schlei_S17,5022.83272368212,5075.377714031448,194,215.675
Schlei_S19,6049.230606149807,6075.57918536286,11,238.4
Schlei_S1_15cm,4118.408556341866,4318.173346510492,337,147.52380952380952
Schlei_S2,2464.524487965629,2622.8259025525563,843,123.08196721311475
Schlei_S20,5280.952834828916,5299.672963979938,119,216.45833333333334
Schlei_S21,7787.8396627104485,7781.497113911514,44,204.64285714285714
Schlei_S22,10991.3288401366,10942.520329171202,49,212.58823529411765
Schlei_S23,12256.072613245306,12197.147021139073,26,327.1666666666667
Schlei_S24,14283.69323961902,14212.29512962238,60,191.64285714285714
Schlei_S25,20454.7730478936,20336.211317652767,4,357.0
Schlei_S26,23068.082550534615,22929.621010442424,1,405.0
Schlei_S27,24226.40417398854,24079.178395592204,0,489.0
Schlei_S29,26280.844289648463,26120.891552813246,10,327.8
Schlei_S2_15cm,2464.524487965629,2622.8259025525563,843,123.08196721311475
Schlei_S3,2089.708276187229,2216.8210847684436,1314,156.3679245283019
Schlei_S30,27100.57721872217,26936.10997654836,8,335.0
Schlei_S31,31236.028192386166,31033.466115300027,3,372.0
Schlei_S32,30289.94732124247,30102.310333903282,0,489.0
Schlei_S4,1502.7655067910925,1617.2342153242291,3179,105.1030042918455
Schlei_S4_15cm,1502.7655067910925,1617.2342153242291,3179,105.1030042918455
Schlei_S5,1752.0765406933986,1785.1808154109467,5282,78.56657963446476
Schlei_S6,1164.0269349645512,1318.9035906898093,4305,98.89644970414201
Schlei_S7,1188.0733381336431,1353.8189540558697,11071,160.5014164305949
Schlei_S8,909.2647659610527,1162.087588689537,215866,36.75946547884187
