Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,4552.014179261401,7000.167466539035,15640,46.1358574610245
Schlei_S10_15cm,4552.014179261401,7000.167466539035,15640,46.1358574610245
Schlei_S11,4162.038637887361,6578.763915974852,30662,69.5301478953356
Schlei_S13,3964.703290393999,6355.586330024853,25319,95.19153936545241
Schlei_S14,3951.7192328522046,6191.661366102035,6765,130.8894389438944
Schlei_S15,4023.535657729243,6180.7934465272965,5295,162.5515947467167
Schlei_S16,4382.02205787902,6308.103345730479,9044,172.55081967213115
Schlei_S17,4863.71483007358,6671.297028714739,7530,175.59839357429718
Schlei_S19,5474.618611302099,7052.639635067979,2070,196.57294429708222
Schlei_S1_15cm,6986.968154037523,9497.134873550942,5184,141.04347826086956
Schlei_S2,5135.40048408621,7650.999428426146,11864,117.06095551894563
Schlei_S20,5041.993056477461,6697.191248284827,7181,175.45774647887325
Schlei_S21,6823.747459251643,8018.268252446415,2914,196.524154589372
Schlei_S22,9605.280186496402,10148.358523012432,2865,219.8013468013468
Schlei_S23,10767.757793367298,11068.618332836204,1642,270.1764705882353
Schlei_S24,12469.550318787391,12437.192907181701,1576,237.5655737704918
Schlei_S25,18236.14916833331,17277.86793608814,650,282.0722891566265
Schlei_S26,20711.88292855422,19390.414654208253,582,269.6923076923077
Schlei_S27,21881.003130621215,20389.56504150329,254,287.125
Schlei_S29,24052.21378786273,22298.011310362763,505,271.4236111111111
Schlei_S2_15cm,5135.40048408621,7650.999428426146,11864,117.06095551894563
Schlei_S3,4668.593000443444,7158.775126673739,18373,110.26878980891719
Schlei_S30,24900.800244281654,23060.150212857174,389,273.7416666666667
Schlei_S31,28809.32054554287,26377.316062593083,107,288.41379310344826
Schlei_S32,28012.392540592926,25786.869758650373,84,318.53846153846155
Schlei_S4,3939.5961665056184,6308.423381203576,21546,89.44134727061557
Schlei_S4_15cm,3939.5961665056184,6308.423381203576,21546,89.44134727061557
Schlei_S5,4306.435738463628,6579.109106152867,8131,71.90448113207547
Schlei_S6,4056.8812767145114,6466.081391542699,32162,77.69017341040463
Schlei_S7,4104.85605652074,6553.559224810767,31116,87.09111617312072
Schlei_S8,4446.003909922609,6886.892424753038,21092,58.602449888641424
