Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,4221.341204017764,4988.932859683571,8176,9.130289532293986
Schlei_S10_15cm,4221.341204017764,4988.932859683571,8176,9.130289532293986
Schlei_S11,3840.4185586078784,4585.306968748912,15496,68.81666666666666
Schlei_S13,3642.7185288902883,4335.6409183715505,14129,90.85128205128206
Schlei_S14,3658.479606284281,4287.17807675427,3445,151.56770833333334
Schlei_S15,3742.2560266751207,4341.343818991051,2621,182.4701754385965
Schlei_S16,4132.038765484453,4581.396536132284,5047,172.9141531322506
Schlei_S17,4633.155809522238,4967.158665640543,4043,183.68928571428572
Schlei_S19,5267.059719968776,5524.006257507936,1062,205.50627615062763
Schlei_S1_15cm,6612.0516416065075,7345.441427491137,3508,135.37226277372264
Schlei_S2,4789.894179712332,5513.381279772591,5274,125.20821917808219
Schlei_S20,4819.343341241315,5172.865707596582,3762,188.97798742138366
Schlei_S21,6650.2878279278275,6854.862857541045,1491,197.23111111111112
Schlei_S22,9493.202420950935,9603.708797083467,1827,222.29457364341084
Schlei_S23,10691.28480059569,10728.925621490456,1166,261.968253968254
Schlei_S24,12464.691628479954,12386.739105496896,798,262.0879120879121
Schlei_S25,18436.738755273436,18110.26325306906,269,303.36
Schlei_S26,20975.123364454183,20560.65361137721,177,309.48275862068965
Schlei_S27,22166.61911065723,21718.70527828888,92,307.5263157894737
Schlei_S29,24363.340727102586,23876.25625880801,126,266.04761904761904
Schlei_S2_15cm,4789.894179712332,5513.381279772591,5274,125.20821917808219
Schlei_S3,4330.1871474474165,5043.6382547268895,8913,119.86907020872866
Schlei_S30,25218.90063838498,24716.924656252544,114,281.2352941176471
Schlei_S31,29170.003395276886,28541.505238136564,11,291.14285714285717
Schlei_S32,28361.753344544017,27777.37214021397,20,262.0
Schlei_S4,3622.8276553543465,4317.939459943765,12328,78.26047120418848
Schlei_S4_15cm,3622.8276553543465,4317.939459943765,12328,78.26047120418848
Schlei_S5,4009.00470477584,4704.66872650894,3694,72.90734265734265
Schlei_S6,3735.3716665962993,4467.135108535707,17001,80.52623456790124
Schlei_S7,3773.2353259169226,4507.681414707471,17011,85.44487678339819
Schlei_S8,4118.271096336842,4883.089046229509,10807,24.670378619153674
