Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,4246.0456742543565,6293.266575180691,14146,11.550111358574611
Schlei_S10_15cm,4246.0456742543565,6293.266575180691,14146,11.550111358574611
Schlei_S11,3855.1483154168723,5876.163223954966,12911,91.225
Schlei_S13,3661.079477504025,5658.802788978262,10038,108.78238993710691
Schlei_S14,3689.223835812342,5537.355438350566,2770,138.0164271047228
Schlei_S15,3784.065539836914,5551.738058582187,1969,165.73728813559322
Schlei_S16,4190.9586099036405,5738.824443152778,3189,171.7992565055762
Schlei_S17,4679.737591992296,6128.7978493931105,2425,189.02184466019418
Schlei_S19,5346.47796649683,6587.085078344637,473,208.46473029045643
Schlei_S1_15cm,6705.462024493556,8795.314774728391,1800,138.28936170212765
Schlei_S2,4834.644101936116,6922.839287541736,5881,122.90316205533597
Schlei_S20,4917.695053452002,6214.78007979086,2983,192.24293785310735
Schlei_S21,6797.378955029387,7708.030298873097,1230,207.4983498349835
Schlei_S22,9726.948817911705,10077.845249111313,1009,241.46534653465346
Schlei_S23,10924.926991004499,11073.797748513009,584,275.22105263157897
Schlei_S24,12666.855076260772,12539.584033848416,844,255.57009345794393
Schlei_S25,18506.329261683775,17646.00660983287,237,285.6271186440678
Schlei_S26,20994.819636215787,19847.18938970032,189,289.4578313253012
Schlei_S27,22167.338847095307,20888.945212011684,36,303.90909090909093
Schlei_S29,24338.69648810311,22859.91163086745,250,279.92857142857144
Schlei_S2_15cm,4834.644101936116,6922.839287541736,5881,122.90316205533597
Schlei_S3,4360.479522541439,6428.297631910406,9764,117.05812417437252
Schlei_S30,25186.965775882516,23640.60810646537,207,280.52525252525254
Schlei_S31,29104.745954217997,27076.787002334815,44,298.46875
Schlei_S32,28303.72807491658,26448.621637676533,33,378.875
Schlei_S4,3640.8925103709958,5620.643829633639,10316,93.55944931163955
Schlei_S4_15cm,3640.8925103709958,5620.643829633639,10316,93.55944931163955
Schlei_S5,4037.702099557681,5920.283534206683,3283,69.0796568627451
Schlei_S6,3749.6507022553683,5765.962171685928,14120,84.85530921820303
Schlei_S7,3789.5377055452655,5839.247303902299,12795,91.7841043890866
Schlei_S8,4139.517046680102,6180.862663981387,21420,21.35523385300668
