Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,607.7282628255759,665.5445694025262,268456,61.60913140311804
Schlei_S10_15cm,607.7282628255759,665.5445694025262,268456,61.60913140311804
Schlei_S11,1021.0956791879964,1095.911062213632,7936,109.6747572815534
Schlei_S13,1618.586570881447,1689.065052820769,6833,124.1340782122905
Schlei_S14,2424.5600618557078,2485.159117830212,571,149.56060606060606
Schlei_S15,2760.922237266983,2813.9316089474173,379,164.5121951219512
Schlei_S16,4325.681477800193,4340.980967105528,888,185.62686567164178
Schlei_S17,5303.795693251903,5299.036922293455,688,213.72972972972974
Schlei_S19,6351.676746244055,6338.310611647454,146,206.70967741935485
Schlei_S1_15cm,3730.052720338192,3804.8789501270726,723,188.94117647058823
Schlei_S2,2161.570276514813,2230.583346863825,958,151.9344262295082
Schlei_S20,5543.330911259941,5543.238366284393,464,207.73170731707316
Schlei_S21,8089.388785584375,8068.805430777812,193,215.5
Schlei_S22,11276.564842725174,11253.911679420788,144,199.28571428571428
Schlei_S23,12536.620447833222,12511.735086963454,28,190.0
Schlei_S24,14586.025979877857,14553.272536133407,59,185.66666666666666
Schlei_S25,20765.60503812789,20721.734518090998,0,489.0
Schlei_S26,23387.84255869697,23340.37272034182,3,223.0
Schlei_S27,24540.83126002153,24493.30584122347,2,243.0
Schlei_S29,26574.762001984167,26529.002218323163,2,234.0
Schlei_S2_15cm,2161.570276514813,2230.583346863825,958,151.9344262295082
Schlei_S3,1881.2982686361668,1942.9266439695737,2379,138.57894736842104
Schlei_S30,27389.403946087157,27343.811590163838,1,264.0
Schlei_S31,31552.201636560654,31496.803824645027,1,269.0
Schlei_S32,30585.46575540092,30535.573058542366,0,489.0
Schlei_S4,1543.5509230608736,1624.0362581076197,24939,115.81042654028435
Schlei_S4_15cm,1543.5509230608736,1624.0362581076197,24939,115.81042654028435
Schlei_S5,1789.7889256897279,1860.2113073540756,5307,95.23115577889448
Schlei_S6,1154.9313995009481,1233.0612196335019,25900,122.6201923076923
Schlei_S7,1130.0298088129953,1193.9132097514237,11234,112.02369668246446
Schlei_S8,707.4572209161627,771.1339849987015,269492,64.56347438752783
