Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,2756.756432559383,2845.0363140700783,4869,6.072706935123042
Schlei_S10_15cm,2756.756432559383,2845.0363140700783,4869,6.072706935123042
Schlei_S11,2471.2323319673847,2557.6718936548014,4110,86.22101449275362
Schlei_S13,2324.618902595548,2357.334278775404,4867,83.88235294117646
Schlei_S14,2738.5889205004905,2805.276553465079,640,94.09278350515464
Schlei_S15,2975.1784304345856,3049.2903942903135,304,118.83333333333333
Schlei_S16,3794.6950908339995,3851.277855998914,767,144.69375
Schlei_S17,4472.827646959465,4527.435994611833,315,197.98507462686567
Schlei_S19,5372.81637875916,5436.887614278017,48,176.6153846153846
Schlei_S1_15cm,5061.345248359807,5123.4623401310455,805,104.32758620689656
Schlei_S2,3214.943327204806,3257.7659485354525,1645,114.8905109489051
Schlei_S20,4823.95142800149,4896.773210367586,417,169.73043478260868
Schlei_S21,7080.477125569611,7138.654520216183,170,189.61111111111111
Schlei_S22,10327.967496662886,10352.8045237347,354,177.26829268292684
Schlei_S23,11630.895836673997,11641.1680625545,66,170.85714285714286
Schlei_S24,13559.527147313302,13548.265778617173,185,209.41176470588235
Schlei_S25,19753.538928922186,19709.706073842255,3,272.0
Schlei_S26,22352.64784864554,22304.60760581066,1,192.0
Schlei_S27,23547.749560902022,23499.50817844524,0,489.0
Schlei_S29,25713.99516154615,25670.291451361612,0,489.0
Schlei_S2_15cm,3214.943327204806,3257.7659485354525,1645,114.8905109489051
Schlei_S3,2759.0839593208857,2786.699489241653,6454,117.16793893129771
Schlei_S30,26561.00875256454,26518.509229519932,0,489.0
Schlei_S31,30586.982654077543,30538.917255619126,0,489.0
Schlei_S32,29732.598937360544,29688.573946735178,0,489.0
Schlei_S4,2379.040108834062,2442.737428039738,3459,78.49748743718592
Schlei_S4_15cm,2379.040108834062,2442.737428039738,3459,78.49748743718592
Schlei_S5,2945.1819698516542,3048.550285149845,543,45.039855072463766
Schlei_S6,2383.3472952115535,2463.2533253106662,5948,82.17633928571429
Schlei_S7,2273.9809698458866,2307.888012208045,13494,81.34705882352941
Schlei_S8,2678.580583463989,2768.028494043616,6893,14.089385474860336
