Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,643.8346241435842,769.6326158330354,795100,63.67928730512249
Schlei_S10_15cm,643.8346241435842,769.6326158330354,795100,63.67928730512249
Schlei_S11,960.6833346774022,1021.4997593153626,53391,128.1340523882897
Schlei_S13,1555.6624373853629,1584.3769632545288,31409,124.26373626373626
Schlei_S14,2346.2742598583295,2346.953234469568,950,89.32978723404256
Schlei_S15,2676.7792964955806,2666.241388772592,633,115.66153846153846
Schlei_S16,4239.963210387141,4222.560591156791,1285,152.17073170731706
Schlei_S17,5215.859470531173,5201.296543497631,1554,161.1639344262295
Schlei_S19,6259.740761739701,6233.573102397666,213,155.15384615384616
Schlei_S1_15cm,3854.1289128451026,3944.759676746648,2045,139.94285714285715
Schlei_S2,2257.4231142031035,2323.116417058545,3621,109.64406779661017
Schlei_S20,5452.220235630093,5422.546670967623,635,149.41095890410958
Schlei_S21,7995.016882641895,7954.379739714887,260,172.05
Schlei_S22,11178.559838367793,11123.788033182893,373,196.1851851851852
Schlei_S23,12437.383243817889,12379.804702425308,33,247.6
Schlei_S24,14481.682075260298,14419.496124682457,258,196.1304347826087
Schlei_S25,20653.437401185136,20580.625413897716,184,198.0
Schlei_S26,23273.521782205382,23195.696123603782,31,217.66666666666666
Schlei_S27,24427.414198134797,24348.050914026993,9,286.3333333333333
Schlei_S29,26465.422272636024,26385.374760612147,12,238.4
Schlei_S2_15cm,2257.4231142031035,2323.116417058545,3621,109.64406779661017
Schlei_S3,1932.831320852808,1979.7202378719353,10900,122.31012658227849
Schlei_S30,27281.135290479215,27200.690721120776,8,284.0
Schlei_S31,31438.84243870391,31348.782153086893,6,287.5
Schlei_S32,30476.01895597988,30390.46222251325,0,489.0
Schlei_S4,1471.099173968687,1500.429674155026,67300,115.6588785046729
Schlei_S4_15cm,1471.099173968687,1500.429674155026,67300,115.6588785046729
Schlei_S5,1708.6181836711958,1691.6696442025304,26774,96.17224080267559
Schlei_S6,1085.5261136160893,1136.1765367267747,96711,139.100790513834
Schlei_S7,1085.6274363848238,1142.6328515060336,81877,165.68927789934355
Schlei_S8,701.457748991296,808.6791091054456,799981,63.67928730512249
