Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,2645.435861971805,2967.0985785669645,15477,9.344097995545656
Schlei_S10_15cm,2645.435861971805,2967.0985785669645,15477,9.344097995545656
Schlei_S11,2399.929707612565,2734.722215774402,14753,81.72173913043478
Schlei_S13,2290.5795664990287,2548.402336987478,13148,91.10597826086956
Schlei_S14,2773.638801014055,3047.1917188648868,1415,105.67338709677419
Schlei_S15,3039.0917340769824,3311.417524084227,983,135.56485355648536
Schlei_S16,3949.0231329370777,4177.791912195176,1791,162.4758620689655
Schlei_S17,4645.958876919515,4868.631034266337,1112,177.3125
Schlei_S19,5594.727903115092,5791.549858839736,127,175.6888888888889
Schlei_S1_15cm,4839.080092764852,5080.981994459796,3151,132.9536082474227
Schlei_S2,3034.681657614282,3244.323812653494,9747,110.96279069767442
Schlei_S20,5039.9484471635205,5243.090820462667,1219,173.36186770428014
Schlei_S21,7356.12647432403,7509.483183797523,571,184.04166666666666
Schlei_S22,10631.922061411533,10702.215178332252,537,186.6067415730337
Schlei_S23,11922.942221923859,11962.934973126301,104,257.47058823529414
Schlei_S24,13847.95339028926,13847.916881914618,321,211.1904761904762
Schlei_S25,19986.361751095697,19879.45870231229,11,245.71428571428572
Schlei_S26,22575.02274039487,22431.618451951763,29,251.92307692307693
Schlei_S27,23763.428039950482,23604.971045677008,5,193.0
Schlei_S29,25914.578605581235,25739.4991225978,40,229.4375
Schlei_S2_15cm,3034.681657614282,3244.323812653494,9747,110.96279069767442
Schlei_S3,2624.0573473351897,2817.359790632134,19792,105.9405487804878
Schlei_S30,26757.59207431591,26576.136520914053,42,255.5
Schlei_S31,30789.84454173809,30555.550720706957,6,325.2
Schlei_S32,29927.13649591232,29712.166019756525,0,489.0
Schlei_S4,2352.52523938044,2652.424223769153,9391,75.58672086720867
Schlei_S4_15cm,2352.52523938044,2652.424223769153,9391,75.58672086720867
Schlei_S5,2928.2890757030764,3269.6815695685136,2173,37.54520917678813
Schlei_S6,2324.9294495110094,2650.903258750413,18134,70.46875
Schlei_S7,2197.8727722898966,2465.2266994396437,38551,80.37098692033294
Schlei_S8,2577.261156572306,2905.7392756346326,22798,29.26837416481069
