Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,3118.133644929983,3872.959519162043,4808,6.47909604519774
Schlei_S10_15cm,3118.133644929983,3872.959519162043,4808,6.47909604519774
Schlei_S11,2885.8017274466333,3626.8115003931402,4231,69.51344743276283
Schlei_S13,2757.811349431191,3396.0708698697513,4316,92.03944315545243
Schlei_S14,3190.112452217364,3785.0940925465143,456,117.27678571428571
Schlei_S15,3435.103815775353,4008.709578565189,397,143.83898305084745
Schlei_S16,4263.2357367612385,4761.770297258707,405,178.38135593220338
Schlei_S17,4910.240828208852,5403.984846185974,494,164.97345132743362
Schlei_S19,5813.546678176551,6230.579359534367,37,203.4814814814815
Schlei_S1_15cm,5110.555203324376,5798.162553596924,1445,151.56140350877192
Schlei_S2,3374.921236267246,4058.9120014001564,6025,106.97394136807817
Schlei_S20,5295.820919695455,5706.220794413494,558,182.71851851851852
Schlei_S21,7507.77269819048,7817.168411893178,109,191.6315789473684
Schlei_S22,10656.977107170653,10782.948449382795,171,190.35416666666666
Schlei_S23,11908.835746754494,11961.306242449165,23,314.0
Schlei_S24,13776.085671488636,13739.361603246321,104,211.5121951219512
Schlei_S25,19796.245516228275,19483.66384436046,7,261.5
Schlei_S26,22362.089440820033,21946.8296317291,18,254.8
Schlei_S27,23545.67461724244,23085.1859360293,5,193.0
Schlei_S29,25697.785407396874,25181.48596690188,40,229.4375
Schlei_S2_15cm,3374.921236267246,4058.9120014001564,6025,106.97394136807817
Schlei_S3,3018.568856697775,3675.6877230641862,7783,104.33182844243792
Schlei_S30,26540.960644516817,26004.385710008173,42,255.5
Schlei_S31,30552.20472506018,29870.61924947891,5,306.25
Schlei_S32,29699.630390061706,29068.06404384876,0,489.0
Schlei_S4,2824.267888153519,3492.663950195726,1869,74.56194690265487
Schlei_S4_15cm,2824.267888153519,3492.663950195726,1869,74.56194690265487
Schlei_S5,3369.81638729495,4065.9408008051814,811,33.07390300230947
Schlei_S6,2812.8634003634083,3534.6200435373985,4357,59.983383685800604
Schlei_S7,2692.5842630669463,3388.25067318646,10180,69.06392694063926
Schlei_S8,3054.756267698668,3810.0672591781376,6826,19.036789297658864
