    Regressors:;[['TweedieRegressor', [{'regressor__power': [2]}, {'regressor__alpha': [1]}, {'regressor__link': ['log']}]], ['XGBRegressor', [{'regressor__booster': ['gblinear']}, {'regressor__objective': ['reg:gamma']}, {'regressor__n_estimators': [300]}, {'regressor__reg_alpha': [0]}, {'regressor__reg_lambda': [1]}]], ['XGBRegressor', [{'regressor__booster': ['gbtree']}, {'regressor__objective': ['reg:gamma']}, {'regressor__n_estimators': [300]}, {'regressor__reg_alpha': [0]}, {'regressor__reg_lambda': [1]}, {'regressor__tree_method': ['exact']}, {'regressor__learning_rate': [0.1, 0.25]}, {'regressor__max_depth': [2, 3]}, {'regressor__min_child_weight': [5, 7]}]], ['RandomForestRegressor', [{'regressor__n_estimators': [10, 100, 300]}, {'regressor__max_depth': [None, 2, 4]}, {'regressor__max_features': [None, 0.3333333333333333]}]]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Winning candidate of gridsearch (inner CV loop) determined by best;median R2 score; Note: results within each repetition are sorted by this!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    CV schemes:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        inner:;RepeatedKFold(n_repeats=100, n_splits=5, random_state=99);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        outer:;KFold(n_splits=5, random_state=99, shuffle=True);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Repetitions:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        inner:;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        outer:;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Aggregated scores:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    COMPARATIVE RUN: no common scores available. Look at the individual scores of each model class!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    run_with;NCV_repetition;OuterCV_fold;Intra-Rep_rank;Inter-Rep_rank;test_set_indices;test_set_samples;test_R2;test_MAPE;test_MedAE;test_MedAPE;inner_test_R2;inner_test_MAPE;inner_test_MedAE;inner_test_MedAPE;feature_combi_ID;features;regressor;regressor__alpha;regressor__link;regressor__power;regressor__booster;regressor__n_estimators;regressor__objective;regressor__reg_alpha;regressor__reg_lambda;regressor__learning_rate;regressor__max_depth;regressor__min_child_weight;regressor__tree_method;regressor__max_features
TweedieRegressor;0;0;4;1196;[ 2  5 11 14 17 20];['S03' 'S07' 'S15' 'S19' 'S22' 'S25'];0.412348903243636;-0.900720160415296;-1151.77077553382;-0.723796757928618;0.822118517483357;-0.911415762059327;-939.229199398116;-0.363163242871222;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;0;1;5;1639;[13 16 18 19 22];['S17' 'S21' 'S23' 'S24' 'S27'];-0.0355710554448976;-1.75188551247072;-858.018911299502;-0.443482334360234;0.863307527496062;-0.836085796761333;-1381.62727657542;-0.587099984817795;34;['WWTP_influence_as_mean_time_travelled__nosed_18µm_allseasons_222', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;0;2;1;167;[ 1  8 10 24 25];['S02' 'S11' 'S14' 'S30' 'S31'];0.903085776942835;-1.85540617371538;-924.186144742476;-0.522729719876966;0.820477910120671;-0.721892151059122;-727.25265630072;-0.411706963525653;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;0;3;3;321;[ 4  6  7  9 23];['S06' 'S08' 'S10' 'S13' 'S29'];0.839752807836637;-0.675749317445644;-3404.19030243513;-0.414611863053786;0.636421609904448;-0.93632368355766;-595.316983384043;-0.512978056618939;78;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'SED_D50'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;0;4;2;312;[ 0  3 12 15 21];['S01' 'S04' 'S16' 'S20' 'S26'];0.841386749273356;-0.726760420461046;-452.365178999663;-0.262286521408799;0.826422853837295;-0.704340727479737;-1002.1439047253;-0.45872355606274;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;1;0;5;1903;[ 3 10 13 17 18 22];['S04' 'S14' 'S17' 'S22' 'S23' 'S27'];-2.38242728999788;-1.95546464174979;-871.408835113511;-0.568309688750951;0.837979653163312;-0.580867037073491;-1267.47854599388;-0.4133734325964;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
